,Date,LocationName,counts
86,2025-03-25,Hwy 50 at Hwy 89   ,15193.0
87,2025-03-25,Hwy 50 at Meyers (roundabout),9872.0
88,2025-03-25,Hwy 50 at Pioneer Trail (Meyers),9362.0
89,2025-03-25,Hwy 89 at Hwy 28 ,2702.0
90,2025-03-25,Hwy 89 at Rampart,1288.0
91,2025-03-26,Hwy 267 at Brockway Summit ,8115.0
92,2025-03-26,Hwy 28 at Hwy 267 Kings Beach ,4634.0
93,2025-03-26,Hwy 50 at Hwy 89   ,14827.0
94,2025-03-26,Hwy 50 at Meyers (roundabout),7701.0
95,2025-03-26,Hwy 50 at Pioneer Trail (Meyers),10330.0
96,2025-03-26,Hwy 89 at Hwy 28 ,2659.0
97,2025-03-26,Hwy 89 at Rampart,1521.0
98,2025-03-27,Hwy 267 at Brockway Summit ,8110.0
99,2025-03-27,Hwy 28 at Hwy 267 Kings Beach ,4033.0
100,2025-03-27,Hwy 50 at Hwy 89   ,12483.0
101,2025-03-27,Hwy 50 at Meyers (roundabout),6771.0
102,2025-03-27,Hwy 50 at Pioneer Trail (Meyers),10007.0
103,2025-03-27,Hwy 89 at Hwy 28 ,2523.0
104,2025-03-27,Hwy 89 at Rampart,1615.0
105,2025-03-28,Hwy 267 at Brockway Summit ,8846.0
106,2025-03-28,Hwy 28 at Hwy 267 Kings Beach ,4999.0
107,2025-03-28,Hwy 50 at Hwy 89   ,14368.0
108,2025-03-28,Hwy 50 at Meyers (roundabout),10230.0
109,2025-03-28,Hwy 50 at Pioneer Trail (Meyers),10509.0
110,2025-03-28,Hwy 89 at Hwy 28 ,2624.0
111,2025-03-28,Hwy 89 at Rampart,1808.0
112,2025-03-29,Hwy 267 at Brockway Summit ,8264.0
113,2025-03-29,Hwy 28 at Hwy 267 Kings Beach ,4491.0
114,2025-03-29,Hwy 50 at Hwy 89   ,13915.0
115,2025-03-29,Hwy 50 at Meyers (roundabout),9343.0
116,2025-03-29,Hwy 50 at Pioneer Trail (Meyers),5272.0
117,2025-03-29,Hwy 89 at Hwy 28 ,2664.0
118,2025-03-29,Hwy 89 at Rampart,1684.0
119,2025-03-30,Hwy 267 at Brockway Summit ,5876.0
120,2025-03-30,Hwy 28 at Hwy 267 Kings Beach ,3163.0
121,2025-03-30,Hwy 50 at Hwy 89   ,11780.0
122,2025-03-30,Hwy 50 at Meyers (roundabout),9004.0
123,2025-03-30,Hwy 50 at Pioneer Trail (Meyers),8276.0
124,2025-03-30,Hwy 89 at Hwy 28 ,1743.0
125,2025-03-30,Hwy 89 at Rampart,1737.0
126,2025-03-31,Hwy 267 at Brockway Summit ,4596.0
127,2025-03-31,Hwy 28 at Hwy 267 Kings Beach ,1655.0
128,2025-03-31,Hwy 50 at Hwy 89   ,7561.0
129,2025-03-31,Hwy 50 at Meyers (roundabout),3776.0
130,2025-03-31,Hwy 50 at Pioneer Trail (Meyers),3515.0
131,2025-03-31,Hwy 89 at Hwy 28 ,1544.0
132,2025-03-31,Hwy 89 at Rampart,1491.0
133,2025-04-01,Hwy 267 at Brockway Summit ,3827.0
134,2025-04-01,Hwy 28 at Hwy 267 Kings Beach ,1560.0
135,2025-04-01,Hwy 50 at Hwy 89   ,2758.0
136,2025-04-01,Hwy 50 at Meyers (roundabout),2027.0
137,2025-04-01,Hwy 50 at Pioneer Trail (Meyers),178.0
138,2025-04-01,Hwy 89 at Hwy 28 ,758.0
139,2025-04-01,Hwy 89 at Rampart,375.0
140,2025-04-02,Hwy 267 at Brockway Summit ,6862.0
141,2025-04-02,Hwy 28 at Hwy 267 Kings Beach ,3470.0
142,2025-04-02,Hwy 50 at Hwy 89   ,11258.0
143,2025-04-02,Hwy 50 at Meyers (roundabout),6719.0
