speedinterval,approach,count,LocationId,LocationName
20-24 mph,NB,3.0,662a21668158988de375fe1b,US50 @ Cave Rock
25+ mph,NB,22984.0,662a21668158988de375fe1b,US50 @ Cave Rock
25+ mph,SB,8346.0,662a21668158988de375fe1b,US50 @ Cave Rock
00-04 mph,NB,1.0,662b77297fef510a4a70c205,US50 @ Zephyr Cove
05-09 mph,NB,4.0,662b77297fef510a4a70c205,US50 @ Zephyr Cove
05-09 mph,SB,14.0,662b77297fef510a4a70c205,US50 @ Zephyr Cove
10-14 mph,NB,6.0,662b77297fef510a4a70c205,US50 @ Zephyr Cove
10-14 mph,SB,7.0,662b77297fef510a4a70c205,US50 @ Zephyr Cove
15-19 mph,SB,2.0,662b77297fef510a4a70c205,US50 @ Zephyr Cove
25+ mph,NB,370.0,662b77297fef510a4a70c205,US50 @ Zephyr Cove
25+ mph,SB,962.0,662b77297fef510a4a70c205,US50 @ Zephyr Cove
00-04 mph,EB,4818.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
00-04 mph,NB,1099.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
00-04 mph,WB,417.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
05-09 mph,EB,11822.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
05-09 mph,NB,2187.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
05-09 mph,WB,2624.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
10-14 mph,EB,19198.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
10-14 mph,NB,13679.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
10-14 mph,WB,15392.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
15-19 mph,EB,24752.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
15-19 mph,NB,16031.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
15-19 mph,WB,30935.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
20-24 mph,EB,17348.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
20-24 mph,NB,3311.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
20-24 mph,WB,13348.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
25+ mph,EB,6115.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
25+ mph,NB,1026.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
25+ mph,WB,5347.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
00-04 mph,SB,1793.0,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
05-09 mph,SB,3481.0,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
10-14 mph,SB,3361.0,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
15-19 mph,SB,855.0,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
20-24 mph,SB,93.0,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
25+ mph,SB,16.0,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
00-04 mph,NB,8.0,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
05-09 mph,NB,26.0,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
10-14 mph,NB,89.0,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
15-19 mph,NB,143.0,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
20-24 mph,NB,216.0,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
25+ mph,NB,648.0,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
00-04 mph,EB,20.0,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
00-04 mph,WB,5.0,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
05-09 mph,EB,13.0,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
05-09 mph,WB,5.0,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
10-14 mph,EB,19.0,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
10-14 mph,WB,11.0,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
15-19 mph,EB,16.0,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
15-19 mph,WB,10.0,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
20-24 mph,EB,23.0,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
20-24 mph,WB,10.0,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
25+ mph,EB,5993.0,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
25+ mph,WB,34014.0,6786b324ddb02855b7542ff4,Hwy 89 at Rampart
00-04 mph,SB,1486.0,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
00-04 mph,WB,3449.0,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
05-09 mph,SB,16429.0,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
05-09 mph,WB,17051.0,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
10-14 mph,SB,65233.0,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
10-14 mph,WB,71309.0,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
15-19 mph,SB,28882.0,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
15-19 mph,WB,94269.0,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
20-24 mph,SB,7946.0,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
20-24 mph,WB,17953.0,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
25+ mph,SB,13512.0,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
25+ mph,WB,21541.0,6786b36fddb02855b754ae82,Hwy 50 at Hwy 89   
00-04 mph,NB,5.0,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
00-04 mph,SB,16.0,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
05-09 mph,NB,14.0,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
05-09 mph,SB,66.0,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
10-14 mph,NB,257.0,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
10-14 mph,SB,593.0,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
15-19 mph,NB,192.0,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
15-19 mph,SB,3096.0,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
20-24 mph,NB,1937.0,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
20-24 mph,SB,12595.0,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
25+ mph,NB,28744.0,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
25+ mph,SB,19705.0,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
00-04 mph,EB,12.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
00-04 mph,WB,3797.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
05-09 mph,EB,102.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
05-09 mph,WB,7677.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
10-14 mph,EB,322.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
