EventType,EventId,TimeAtSite,DetectionArea,Direction,CameraId,Object1Class,Object2Class,LocationId,LocationName,Movement
STPV,682dec7389793e00137ac48d,2025-05-21T08:08:19.937,Intersection Center,,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
STPV,682decf964a1c50012bc9802,2025-05-21T08:10:42.420,Intersection Center,,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
STPV,682f7e538c129a0012384609,2025-05-22T12:43:08.620,Intersection Center,,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
STPV,682f80c8c720b4001262bc71,2025-05-22T12:53:36.807,Intersection Center,,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
STPV,68371f6c2d81d700128e0142,2025-05-28T07:36:20.949,Intersection Center,,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
STPV,68371fb53290c000124509fa,2025-05-28T07:37:34.444,Intersection Center,,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
STPV,683dcc9dba8eac0012234e6d,2025-06-02T09:08:53.691,Intersection Center,,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
WWD,68286ee389793e0013763c73,2025-05-17T04:11:31.812,East Leg,East,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
WWD,6829e2a968f56b0012662863,2025-05-18T06:37:44.953,Intersection Center,,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
WWD,6830bae52787ea0012d29a4c,2025-05-23T11:13:57.027,West Leg,East,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
WWD,6833b5b54d454b0012dfa5aa,2025-05-25T17:28:37.312,West Leg,East,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
WWD,6833b5bac720b400126642ae,2025-05-25T17:28:42.524,Intersection Center,,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
WWD,683478bf96d1a60012d32539,2025-05-26T07:20:47.197,East Leg,East,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
WWD,6837e55c5224dd0012761f16,2025-05-28T21:41:00.056,East Leg,West,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
WWD,6839067a5224dd0012770cf0,2025-05-29T18:14:34.313,West Leg,East,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
WWD,683a855b1a0ff60012530111,2025-05-30T21:28:11.727,East Leg,West,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
WWD,683d466aba8eac001222e37b,2025-06-01T23:36:26.016,East Leg,West,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
WWD,683dcc1d2d81d70012937939,2025-06-02T09:06:53.337,East Leg,West,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
IC,682f7e8e96d1a60012cf0897,2025-05-22T12:44:14.504,Intersection Center,,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
IC,68320ef28c129a00123a71f5,2025-05-24T11:24:50.665,Intersection Center,,0,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
NM-VRU,682a42c668f56b00126676b0,2025-05-18T13:27:47.320,Intersection Center,,0,Bicycle,Passenger Vehicle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),
