,TAZ,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other,FORECASTED_RESIDENTIAL_UNITS,FORECASTED_OCCUPIED_UNITS,FORECASTED_RES_INCOME_LOW_UNITS,FORECASTED_RES_INCOME_MEDIUM_UNITS,FORECASTED_RES_INCOME_HIGH_UNITS,TOTAL_FORECASTED_UNITS_LOW_INCOME,TOTAL_FORECASTED_UNITS_MED_INCOME,TOTAL_FORECASTED_UNITS_HIGH_INCOME,TOTAL_FORECASTED_UNITS_OCCUPIED,NEW_OCCUPANCY_RATE,FORECASTED_POPULATION,Adjusted_Persons_Per_Occupied_Unit
0,229,127.0,0.2845786963434022,36.14149443561208,18.27265500794913,5.350556438791733,12.518282988871224,2.2950489204494557,82.9464977878815,0,0,0,0,0,13.0,9.4,6.7700000000000005,2.16,4.07,25.04265500794913,7.510556438791733,16.588282988871224,45.54149443561208,0.3252963888258006,101.3900982749801,2.226323477775382
1,230,986.0,0.2845786963434022,280.5945945945946,141.86486486486487,41.54054054054054,97.1891891891892,2.2950489204494557,643.9783214082768,0,0,0,0,0,23.0,15.15,10.44,3.56,9.0,152.30486486486487,45.10054054054054,106.1891891891892,295.74459459459456,0.2931066348806685,658.4231343711083,2.226323477775382
2,231,94.0,0.2807171341974814,26.46721623224561,13.356040679704885,3.947487682862676,9.163687869678055,2.2911715248477305,60.7028984740381,0,0,0,0,0,7.0,3.4,2.09,0.9600000000000001,3.95,15.446040679704884,4.907487682862676,13.113687869678056,29.86721623224561,0.2957150122004516,66.38174555201836,2.2225621911274906
3,228,3.0,0.2315814953859192,0.8537360890302066,0.431637519872814,0.1263910969793322,0.2957074721780604,2.2146545076755992,1.959366089477516,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.431637519872814,0.1263910969793322,0.2957074721780604,0.8537360890302066,0.2845786963434022,1.8341123867417257,2.148336482794312
4,225,69.0,0.0301921317474839,2.0832570905763954,2.0832570905763954,0.0,0.0,1.909155739134945,3.9772622305674927,0,0,0,0,0,12.0,4.199999999999999,0.12,0.24,11.64,2.2032570905763955,0.24,11.64,6.283257090576395,0.07757107519230118,11.636503549548614,1.8519859018662466
5,227,0.0,0.0810694446666676,0.0,0.0,0.0,0.0,1.9863343753978469,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.9268534170480736
6,226,0.0,0.0301921317474839,0.0,0.0,0.0,0.0,1.909155739134945,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.8519859018662466
7,224,282.0,0.0301921317474839,8.514181152790485,8.514181152790485,0.0,0.0,1.9091557391349447,16.254897811884536,0,0,0,0,0,20.0,5.949999999999999,1.66,1.82,16.52,10.174181152790485,1.82,16.52,14.464181152790484,0.04789463957877644,26.787459577007446,1.8519859018662463
8,223,0.0,0.0301921317474839,0.0,0.0,0.0,0.0,1.909155739134945,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.8519859018662466
9,222,305.0,0.0301921317474839,9.208600182982616,9.208600182982616,0.0,0.0,1.909155739134945,17.580651888740366,0,0,0,0,0,28.0,9.45,0.77,1.04,26.189999999999998,9.978600182982616,1.04,26.189999999999998,18.658600182982617,0.05603183238132918,34.55546448744278,1.8519859018662466
10,221,14.0,0.0301921317474839,0.4226898444647758,0.4226898444647758,0.0,0.0,1.9091557391349447,0.806980742433984,0,0,0,0,0,2.0,0.35,0.51,0.52,0.97,0.9326898444647758,0.52,0.97,0.7726898444647758,0.04829311527904849,1.4310106984639874,1.8519859018662463
11,220,16.0,0.0301921317474839,0.4830741079597438,0.4830741079597438,0.0,0.0,1.909155739134945,0.9222637056388387,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4830741079597438,0.0,0.0,0.4830741079597438,0.03019213174748399,0.8946464374980587,1.8519859018662466
12,219,0.0,0.0301921317474839,0.0,0.0,0.0,0.0,1.909155739134945,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.8519859018662466
13,218,1.0,0.0301921317474839,0.0301921317474839,0.0301921317474839,0.0,0.0,1.909155739134945,0.0576414816024274,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0301921317474839,0.0,0.0,0.0301921317474839,0.0301921317474839,0.05591540234362851,1.8519859018662466
14,217,22.0,0.0301921317474839,0.6642268984446478,0.6642268984446478,0.0,0.0,1.909155739134945,1.2681125952534034,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6642268984446478,0.0,0.0,0.6642268984446478,0.03019213174748399,1.2301388515598308,1.8519859018662466
15,216,0.0,0.0301921317474839,0.0,0.0,0.0,0.0,1.909155739134945,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.8519859018662466
16,109,172.0,0.2437869822485207,41.93136094674556,35.21420118343195,0.0,6.71715976331361,2.142722664667412,89.8472774609417,0,0,0,0,0,14.0,9.45,5.53,1.54,6.93,40.744201183431954,1.54,13.64715976331361,51.38136094674556,0.27624387605777184,106.7991719969551,2.0785586451796707
17,110,22.0,0.3409426260205228,10.804029660699571,6.527610915536915,1.8143459915611813,2.462072753601478,2.3567047858850447,29.33114302901915,0,0,0,0,0,17.0,5.949999999999999,0.17,0.34,16.49,6.697610915536915,2.1543459915611813,18.952072753601477,16.754029660699572,0.42959050412050187,38.30194097615073,2.2861330528736463
18,111,215.0,0.2437869822485207,52.41420118343196,44.01775147928994,0.0,8.396449704142013,2.142722664667412,112.30909682617713,0,0,0,0,0,39.0,14.599999999999998,2.63,1.4000000000000001,34.97,46.647751479289944,1.4000000000000001,43.36644970414201,67.01420118343196,0.2638354377300471,139.29294721963223,2.0785586451796707
19,215,42.0,0.0301921317474839,1.2680695333943277,1.2680695333943277,0.0,0.0,1.909155739134945,2.420942227301952,0,0,0,0,0,13.0,4.199999999999999,0.62,0.74,11.64,1.8880695333943276,0.74,11.64,5.468069533394327,0.09941944606171503,10.126787686270639,1.8519859018662466
20,116,4.0,0.5158227848101266,2.0632911392405062,1.2236286919831223,0.3628691983122362,0.4767932489451477,2.741872604076783,5.657281448917919,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.2236286919831223,0.3628691983122362,0.4767932489451477,2.0632911392405062,0.5158227848101266,5.487873656149578,2.6597669867228015
21,113,427.0,0.5621602851377204,246.3211730481956,152.39982178892473,45.67472547632151,48.246625782949394,2.7026062803640785,656.3121104377792,0,0,0,0,0,86.0,82.75,79.73,1.3,4.97,232.12982178892474,46.97472547632151,53.21662578294939,329.0711730481956,0.6414642749477497,862.7181600701484,2.6216764965425736
22,112,1135.0,0.5687899194032192,650.6985179760445,382.0782679996262,130.02611795703646,138.59413201938182,2.419677305709361,1585.6245434491575,0,0,0,0,0,64.0,45.65,33.52,11.0,19.48,415.59826799962616,141.02611795703646,158.0741320193818,696.3485179760445,0.5807744103219721,1634.4830674131465,2.34721985502865
23,118,314.0,0.5510791366906475,173.0388489208633,64.60719424460432,65.96258992805755,42.46906474820144,2.792648022670797,483.2365992840798,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,64.60719424460432,65.96258992805755,42.46906474820144,173.0388489208633,0.5510791366906475,468.7660366280086,2.7090219309213714
24,115,283.0,0.5158227848101266,145.9778481012658,86.57172995780591,25.672995780590718,33.7331223628692,2.741872604076783,400.2526625109428,0,0,0,0,0,26.0,10.35,3.54,2.0,20.46,90.11172995780592,27.672995780590718,54.193122362869204,156.3278481012658,0.505915366023514,415.79564948516355,2.6597669867228015
25,214,137.0,0.0301921317474839,4.136322049405306,4.136322049405306,0.0,0.0,1.9091557391349447,7.896882979532558,0,0,0,0,0,2.0,0.7,0.02,0.04,1.94,4.156322049405306,0.04,1.94,4.8363220494053065,0.03479368380867127,8.9568002523835,1.8519859018662463
26,124,369.0,0.6038269777737738,222.31269867826668,131.14834643912775,70.8410016173108,20.32335062182812,3.462571083997364,766.4763548135109,0,0,0,0,0,14.0,6.5,2.14,2.06,9.8,133.28834643912774,72.9010016173108,30.12335062182812,228.81269867826668,0.5974221897604874,768.5553324924883,3.3588840869935863
27,119,133.0,0.5422521442022019,71.9212463476318,39.12924104402485,20.397161588135635,12.39484371547131,2.2698174432096607,157.0198600748727,0,0,0,0,0,8.0,2.8,0.08,0.16,7.76,39.20924104402485,20.557161588135635,20.15484371547131,74.72124634763179,0.5299379173590907,164.52479390216456,2.201847559350554
28,212,0.0,0.0301921317474839,0.0,0.0,0.0,0.0,1.909155739134945,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.8519859018662466
29,117,0.0,0.5171527982206522,0.0,0.0,0.0,0.0,2.642014280841888,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.5628989297989464
30,120,24.0,0.538732623758036,12.9419795221843,7.372013651877133,3.48122866894198,2.088737201365188,2.102102329792201,27.07393842017176,0,0,0,0,0,1.0,0.35,0.01,0.02,0.97,7.382013651877132,3.50122866894198,3.0587372013651883,13.291979522184299,0.531679180887372,27.10440237966435,2.039154689820815
31,114,308.0,0.5365767649153438,165.38896084780689,84.96177018938278,4.004925915023059,76.42226474340104,2.6562823884867277,439.0196282421921,0,0,0,0,0,15.0,5.8999999999999995,0.92,0.48,13.6,85.88177018938278,4.484925915023059,90.02226474340104,171.2889608478069,0.5303063803337674,441.3670788974207,2.576739777699876
