,APN
0,111-190-031
1,1318-03-110-017
2,029-630-017
3,029-161-006
4,1319-07-002-014
5,027-155-018
6,025-754-006
7,091-100-026
8,034-331-010
9,1318-15-813-005
10,023-801-001
11,092-010-053
12,033-392-007
13,081-132-011
14,084-152-008
15,094-176-007
16,032-252-011
17,023-331-016
18,127-250-41
19,031-261-060
20,083-182-007
21,125-232-16
22,090-121-009
23,094-175-001
24,131-140-07
25,125-171-21
26,092-152-017
27,126-292-49
28,023-211-022
29,126-293-45
30,027-074-026
31,034-713-010
32,093-441-058
33,1318-23-610-014
34,023-374-004
35,112-050-019
36,032-211-013
37,081-103-008
38,034-132-028
39,084-091-018
40,027-225-025
41,034-224-014
42,097-073-032
43,125-531-08
44,085-350-013
45,029-095-016
46,093-620-047
47,022-251-024
48,016-483-002
49,025-883-002
50,016-410-001
51,028-153-022
52,025-541-008
53,129-292-21
54,025-791-003
55,031-143-005
56,1318-23-611-014
57,033-242-006
58,022-082-015
59,035-283-038
60,098-146-007
61,033-591-009
62,031-161-007
63,122-123-04
64,098-022-012
65,025-403-017
66,028-201-012
67,025-031-019
68,128-140-00
69,016-423-003
70,085-142-007
71,124-064-07
72,1318-23-511-009
73,080-142-009
74,095-100-008
75,023-511-010
76,090-222-050
77,034-300-010
78,025-252-003
79,025-372-032
80,034-793-002
81,092-190-055
82,036-412-006
83,126-081-20
84,028-100-056
85,031-174-007
86,083-350-002
87,034-704-005
88,111-190-011
89,111-170-012
90,015-064-011
91,1318-22-002-075
92,123-143-14
93,031-216-010
94,081-085-017
95,034-653-009
96,083-350-019
97,130-242-05
98,097-242-028
99,034-083-008
100,093-441-048
101,098-210-024
102,095-160-002
103,111-110-037
104,028-090-078
105,125-151-10
106,093-530-003
107,098-252-002
108,125-503-13
109,116-050-036
110,033-484-009
111,126-271-06
112,014-274-014
113,023-752-011
114,033-422-022
115,033-872-007
116,023-752-016
117,115-030-014
118,1319-30-514-017
119,029-604-001
120,083-254-020
121,094-533-016
122,112-120-033
123,031-233-006
124,016-181-020
125,130-180-05
126,128-032-21
127,030-380-080
128,028-051-005
129,034-295-008
130,098-200-005
131,022-031-049
132,132-192-10
133,083-350-018
134,093-220-004
135,090-113-005
136,023-102-032
137,031-241-013
138,022-111-020
139,027-342-011
140,111-230-027
141,032-278-002
142,1318-23-212-015
143,083-430-019
144,098-292-009
145,093-202-005
146,033-252-001
147,1318-23-510-016
148,025-754-005
149,016-101-071
150,023-683-003
151,034-098-004
152,036-572-005
153,1318-23-810-022
154,090-121-020
155,036-542-002
156,034-653-019
157,025-351-003
158,022-311-005
159,034-254-004
160,1318-15-711-026
161,033-362-012
162,098-320-014
163,122-112-14
164,033-822-002
165,033-821-012
166,022-321-001
167,1318-10-412-009
168,128-033-08
169,026-038-003
170,032-171-005
171,031-216-011
172,1318-15-210-003
173,021-251-011
174,083-390-043
175,084-092-020
176,081-042-016
177,034-803-003
178,122-135-20
179,110-051-048
180,125-222-03
181,023-161-032
182,083-153-002
183,034-681-006
184,132-061-24
185,098-114-008
186,015-391-002
187,132-064-32
188,1319-30-723-011
189,098-113-008
190,027-461-008
191,018-080-001
192,026-036-008
193,031-131-017
194,031-322-014
195,1318-15-511-003
196,023-821-013
197,129-270-20
198,1318-23-710-011
199,014-237-001
200,022-101-051
201,023-102-014
202,093-243-007
203,126-522-10
204,083-085-032
205,083-075-014
206,022-142-004
207,132-064-30
208,090-304-019
209,1318-25-101-006
210,127-362-05
211,081-087-001
212,028-221-005
213,026-035-020
214,085-330-010
215,025-551-018
216,027-225-008
217,034-132-025
218,123-146-04
219,094-540-027
220,125-432-07
221,083-107-002
222,083-290-001
223,025-580-004
224,034-343-016
225,036-541-010
226,027-344-013
227,1319-18-410-002
228,023-471-009
229,124-032-18
230,1319-30-628-020
231,085-280-066
232,112-240-020
233,1318-15-611-018
234,034-453-003
235,093-280-013
236,090-104-038
237,020-160-005
238,116-050-004
239,122-142-07
240,1418-34-110-009
241,034-221-038
242,025-372-020
243,022-301-045
244,083-380-033
245,122-202-21
246,031-321-008
247,030-403-010
248,007-031-01
249,085-142-017
250,090-056-039
251,1319-19-212-034
252,021-210-013
253,023-901-011
254,031-094-031
255,093-210-025
256,117-050-043
257,031-211-006
258,033-720-019
259,1318-10-417-003
260,090-161-036
261,034-162-023
262,090-323-001
263,093-031-004
264,035-282-014
265,023-182-010
266,028-320-010
267,1319-30-724-034
268,126-280-04
269,015-152-022
270,027-363-011
271,125-155-12
272,090-041-015
273,126-020-53
274,1318-23-710-061
275,125-201-00
276,021-210-009
277,094-535-019
278,031-094-001
279,032-410-026
280,081-093-009
281,1319-19-113-019
282,021-060-001
283,1318-23-212-076
284,022-182-009
285,129-280-07
286,029-510-006
287,090-030-007
288,034-070-010
289,092-100-018
290,026-035-006
291,031-115-008
292,026-243-010
293,111-180-020
294,085-222-008
295,1318-23-401-010
296,085-162-006
297,127-570-05
298,097-081-005
299,033-402-017
300,023-361-003
301,1318-23-810-093
302,016-562-006
303,1319-30-720-004
304,093-500-070
305,097-092-011
306,1319-30-544-013
307,1418-34-110-004
308,031-253-003
309,085-322-005
310,1418-27-402-001
311,093-073-002
312,016-371-013
313,111-130-019
314,023-912-013
315,035-245-003
316,014-284-002
317,132-432-11
318,021-231-005
319,091-164-016
320,092-021-018
321,084-231-004
322,095-120-012
323,093-460-013
324,1318-23-310-060
325,127-320-37
326,025-541-005
327,093-092-022
328,1319-30-644-096
329,034-334-002
330,032-261-011
331,130-242-09
332,126-295-07
333,034-231-017
334,022-301-017
335,090-222-039
336,016-321-009
337,033-222-006
338,016-211-016
339,031-253-001
340,021-031-016
341,083-071-037
342,035-151-008
343,034-641-006
344,034-171-018
345,015-312-032
346,080-081-001
347,1318-23-210-022
348,026-141-017
349,026-124-002
350,094-340-042
351,023-950-002
352,122-052-21
353,1318-10-316-020
354,031-333-029
355,1318-23-510-018
356,127-420-06
357,029-096-013
358,030-402-001
359,035-120-002
360,090-162-034
361,028-253-002
362,034-111-005
363,1418-11-201-004
364,023-211-049
365,091-162-005
366,093-081-001
367,130-221-12
368,036-240-003
369,032-342-002
370,034-792-003
371,1318-23-610-003
372,023-652-009
373,085-020-090
374,090-340-006
375,034-772-026
376,1319-30-628-030
377,034-161-036
378,015-061-019
379,033-841-001
380,031-342-007
381,1318-15-813-001
382,092-212-001
383,033-191-006
384,014-248-010
385,117-190-006
386,027-113-015
387,125-471-11
388,036-290-016
389,080-154-003
390,125-152-12
391,023-554-005
392,015-112-009
393,092-021-009
394,132-211-21
395,116-090-002
396,128-241-02
397,023-554-013
398,023-625-009
399,037-010-042
400,022-361-024
401,031-212-017
402,132-480-03
403,084-131-005
404,033-522-002
405,1319-19-112-006
406,093-620-059
407,025-642-001
408,124-042-11
409,081-151-028
410,029-620-005
411,034-772-025
412,128-033-01
413,080-192-029
414,112-173-010
415,034-212-008
416,132-480-04
417,034-714-003
418,125-362-10
419,122-142-20
420,027-135-025
421,026-133-015
422,025-225-031
423,033-702-005
424,022-171-023
425,127-076-23
426,126-292-38
427,025-510-003
428,027-084-021
429,117-150-025
430,1318-23-810-037
431,094-536-005
432,014-283-005
433,085-161-008
434,116-080-042
435,085-141-001
436,023-671-021
437,033-693-003
438,093-480-015
439,117-190-059
440,124-083-18
441,015-351-024
442,033-242-012
443,033-391-003
444,127-072-02
445,115-030-062
446,098-041-006
447,023-821-027
448,093-273-005
449,127-530-02
450,125-371-04
451,092-060-002
452,030-521-030
453,033-792-025
454,111-150-011
455,1318-23-410-030
456,090-311-007
457,1418-02-410-003
458,034-350-011
459,094-031-015
460,117-180-036
461,1318-15-713-011
462,098-330-004
463,084-071-003
464,132-062-07
465,025-633-006
466,029-402-017
467,080-144-021
468,032-142-002
469,1318-23-311-010
470,034-321-001
471,117-090-070
472,036-581-011
473,035-283-007
474,031-222-006
475,094-070-013
476,132-252-09
477,029-650-001
478,035-133-015
479,1319-30-643-052
480,014-235-005
481,027-431-011
482,1319-30-642-006
483,130-082-18
484,093-103-004
485,033-662-002
486,1318-25-101-008
487,093-490-034
488,029-062-033
489,081-053-002
490,122-194-01
491,034-402-016
492,129-650-19
493,025-702-003
494,1318-22-002-061
495,033-735-009
496,130-241-46
497,028-253-008
498,123-133-25
499,132-066-44
500,033-311-002
501,127-076-01
502,015-304-011
503,033-814-009
504,125-244-14
505,015-340-015
506,1318-23-212-034
507,026-066-014
508,1318-03-111-049
509,1319-30-536-002
510,1319-30-544-025
511,033-854-028
512,025-930-003
513,027-074-013
514,1318-10-314-022
515,029-093-010
516,1319-19-202-002
517,125-521-03
518,132-211-22
519,125-411-09
520,031-183-009
521,034-382-022
522,015-400-001
523,112-040-001
524,093-400-005
525,1319-18-310-012
526,025-702-018
527,022-421-049
528,094-060-008
529,028-201-001
530,034-665-028
531,025-544-010
532,027-371-002
533,093-141-006
534,090-231-051
535,025-483-013
536,092-110-013
537,034-221-026
538,031-314-016
539,083-151-027
540,032-263-014
541,026-073-025
542,033-413-012
543,032-510-005
544,032-341-006
545,1318-23-710-028
546,094-350-018
547,131-226-06
548,128-241-10
549,1318-10-310-008
550,1318-15-611-020
551,027-132-013
552,098-252-004
553,092-170-006
554,033-272-003
555,023-571-012
556,111-140-015
557,026-145-009
558,111-160-023
559,023-541-019
560,131-032-03
561,129-252-05
562,022-361-008
563,117-130-016
564,034-652-002
565,085-162-012
566,112-120-001
567,025-192-007
568,094-263-010
569,1318-24-701-006
570,124-400-25
571,129-260-17
572,097-200-004
573,1318-23-813-003
574,090-041-037
575,035-233-024
576,115-020-007
577,129-370-04
578,027-221-040
579,117-240-019
580,033-441-017
581,080-144-006
582,090-121-002
583,128-120-13
584,036-530-019
585,023-732-017
586,090-282-017
587,1318-10-313-021
588,112-290-025
589,1318-23-411-008
590,035-090-003
591,097-112-006
592,116-030-002
593,022-210-041
594,034-474-006
595,023-441-005
596,131-180-04
597,125-564-01
598,090-135-040
599,116-100-008
600,031-078-003
601,097-230-018
602,131-224-13
603,029-374-008
604,112-270-071
605,131-140-13
606,034-020-028
607,031-322-010
608,090-330-005
609,130-222-22
610,125-232-09
611,034-771-005
612,1319-30-639-006
613,111-070-010
614,027-222-019
615,129-270-13
616,122-510-49
617,025-580-014
618,027-131-017
619,090-163-019
620,1318-15-823-005
621,112-140-020
622,025-812-015
623,033-682-017
624,125-162-02
625,1318-15-712-003
626,130-241-56
627,031-232-010
628,016-101-090
629,015-212-010
