,APN
0,022-291-002
1,080-114-008
2,025-441-002
3,1318-15-703-001
4,033-825-001
5,030-590-005
6,036-170-002
7,034-221-025
8,033-604-003
9,1318-24-411-007
10,023-102-036
11,098-074-008
12,022-262-001
13,112-260-025
14,033-492-012
15,031-146-005
16,034-733-014
17,131-234-12
18,098-090-005
19,1319-30-519-004
20,097-246-007
21,093-071-001
22,033-352-009
23,029-403-024
24,014-050-002
25,016-312-004
26,125-451-10
27,034-300-028
28,036-424-004
29,029-604-022
30,035-242-005
31,094-070-010
32,029-414-008
33,029-381-046
34,034-581-008
35,023-771-013
36,093-230-044
37,085-111-007
38,021-381-005
39,1318-09-810-108
40,094-534-012
41,036-573-018
42,093-101-010
43,083-480-001
44,092-031-020
45,033-642-011
46,031-134-018
47,031-232-009
48,028-311-006
49,129-650-35
50,125-253-06
51,084-131-007
52,094-430-026
53,034-266-011
54,025-271-023
55,132-530-01
56,093-210-012
57,022-231-022
58,031-156-013
59,080-010-015
60,025-710-013
61,023-181-037
62,1319-19-210-002
63,126-580-22
64,031-084-016
65,112-240-005
66,029-352-013
67,1318-23-511-003
68,097-083-006
69,116-110-045
70,098-271-001
71,025-312-002
72,085-242-005
73,036-120-003
74,112-240-035
75,025-757-010
76,112-010-014
77,029-710-001
78,1319-18-310-026
79,025-381-009
80,031-195-018
81,127-250-19
82,094-254-007
83,025-520-016
84,031-020-036
85,090-041-032
86,033-492-022
87,090-064-021
88,033-313-004
89,034-693-006
90,029-105-022
91,128-120-05
92,081-113-004
93,111-080-015
94,016-382-015
95,033-421-003
96,025-331-003
97,029-290-011
98,124-340-24
99,023-743-027
100,016-461-005
101,025-551-009
102,028-301-026
103,092-215-004
104,098-271-002
105,117-060-011
106,031-142-003
107,034-221-034
108,015-103-021
109,124-061-13
110,122-162-15
111,015-032-028
112,097-245-021
113,033-524-003
114,125-820-02
115,023-231-003
116,034-112-005
117,016-600-004
118,125-544-02
119,083-500-011
120,025-911-039
121,014-274-009
122,122-112-11
123,1418-34-101-012
124,094-490-054
125,023-571-012
126,033-543-001
127,015-152-003
128,1418-27-410-003
129,029-343-003
130,034-232-015
131,033-401-009
132,035-212-006
133,116-020-010
134,035-293-027
135,027-101-002
136,090-203-005
137,084-232-002
138,031-370-019
139,027-082-015
140,032-391-004
141,080-132-010
142,031-322-013
143,1318-23-813-007
144,033-543-008
145,036-391-017
146,131-202-05
147,035-271-013
148,029-710-004
149,016-481-003
150,015-063-010
151,097-245-003
152,036-475-008
153,094-531-012
154,1418-10-710-032
155,1319-30-628-007
156,022-322-014
157,083-051-011
158,025-375-003
159,126-171-06
160,023-735-008
161,034-793-009
162,094-052-011
163,083-320-013
164,015-201-024
165,016-525-008
166,031-212-012
167,111-230-015
168,117-050-010
169,032-322-015
170,016-181-005
171,098-176-020
172,123-152-03
173,025-375-010
174,031-142-017
175,025-812-011
176,090-121-013
177,1318-15-804-006
178,027-311-015
179,130-180-03
180,1418-03-401-015
181,015-381-004
182,036-422-010
183,034-611-007
184,031-161-018
185,1418-03-811-027
186,117-200-040
187,125-243-38
188,023-654-008
189,1318-23-216-014
190,022-401-006
191,020-110-019
192,083-400-014
193,036-544-013
194,090-161-037
195,1418-34-310-006
196,026-061-012
197,083-300-032
198,015-212-024
199,028-311-049
200,125-161-34
201,083-063-011
202,035-285-006
203,127-320-02
204,033-352-012
205,094-370-028
206,1319-30-719-016
207,026-143-005
208,122-090-15
209,125-243-24
210,129-650-25
211,027-690-011
212,034-171-012
213,025-193-026
214,126-173-18
215,085-304-003
216,026-221-026
217,130-241-37
218,026-221-017
219,130-082-29
220,123-097-02
221,130-081-31
222,090-064-029
223,033-466-016
224,132-063-15
225,083-440-027
226,122-251-04
227,033-841-015
228,026-131-015
229,034-821-013
230,1318-15-823-004
231,122-530-37
232,1318-15-811-005
233,1318-10-316-006
234,027-233-029
235,122-181-77
236,1318-23-210-011
237,080-144-025
238,034-481-016
239,093-310-029
240,093-220-052
241,090-163-028
242,116-070-049
243,023-132-026
244,023-601-002
245,127-320-36
246,084-010-046
247,085-260-013
248,1318-09-810-084
249,093-416-023
250,028-272-004
251,092-216-002
252,033-381-013
253,098-114-015
254,1318-23-401-028
255,132-340-08
256,094-420-006
257,112-280-024
258,083-182-013
259,026-084-012
260,1319-19-611-001
261,130-222-30
262,033-422-024
263,025-541-014
264,1318-10-314-008
265,085-310-020
266,027-231-003
267,023-691-029
268,016-521-006
269,023-687-001
270,085-084-007
271,031-163-018
272,1418-03-301-009
273,125-472-07
274,033-273-018
275,112-250-045
276,125-544-06
277,098-210-038
278,112-172-020
279,032-120-013
280,027-251-021
281,090-350-018
282,027-290-004
283,130-222-23
284,029-010-026
285,125-161-41
286,036-300-000
287,023-802-013
288,031-206-002
289,015-103-007
290,033-343-006
291,1319-19-711-001
292,090-174-061
293,023-742-009
294,093-104-010
295,081-102-019
296,027-082-006
297,1319-19-310-008
298,080-144-006
299,093-441-007
300,1318-03-212-069
301,016-332-039
302,098-350-005
303,083-300-047
304,028-301-012
305,1318-23-710-059
306,031-344-003
307,023-773-030
308,1318-22-311-019
309,090-123-027
310,126-265-02
311,026-063-015
312,094-380-001
313,025-492-004
314,1318-25-110-005
315,034-224-009
316,027-561-010
317,126-081-22
318,090-134-011
319,025-202-014
320,016-422-003
321,030-581-015
322,1319-30-516-004
323,022-352-001
324,016-482-005
325,083-320-005
326,036-370-024
327,031-153-002
328,130-211-35
329,127-078-15
330,1318-24-404-020
331,016-381-010
332,016-282-002
333,036-552-005
334,122-133-18
335,027-680-035
336,126-500-03
337,1318-23-511-015
338,032-401-024
339,112-150-006
340,111-100-018
341,033-412-003
342,080-163-011
343,090-066-024
344,083-108-008
345,128-243-06
346,1318-23-810-057
347,035-301-008
348,027-641-001
349,093-330-018
350,036-573-006
351,127-560-04
352,015-370-008
353,025-701-024
354,022-181-010
355,022-371-014
356,081-141-006
357,029-373-031
358,033-305-015
359,023-482-007
360,033-814-001
361,080-121-026
362,035-171-001
363,117-210-009
364,080-172-007
365,022-031-051
366,031-333-015
367,085-302-003
368,029-332-011
369,022-322-045
370,093-210-015
371,1318-23-310-054
372,083-096-006
373,023-802-007
374,1318-10-417-020
375,090-123-022
376,092-213-008
377,016-502-009
378,090-311-021
379,033-160-014
380,1418-10-610-003
381,022-332-003
382,129-291-25
383,091-120-002
384,016-143-012
385,031-124-002
386,097-111-022
387,034-761-019
388,032-277-031
389,031-174-018
390,023-502-003
391,029-402-028
392,093-420-043
393,033-362-046
394,023-761-002
395,132-560-08
396,014-130-004
397,015-162-019
398,098-200-031
399,026-068-004
400,126-151-30
401,090-222-031
402,023-201-052
403,1318-16-810-052
404,015-381-010
405,025-231-026
406,094-400-014
407,026-045-004
408,025-603-003
409,112-230-013
410,083-143-019
411,116-070-022
