,APN
0,1319-19-112-007
1,123-133-25
2,031-144-010
3,1318-10-313-001
4,112-270-030
5,098-131-001
6,1318-25-201-011
7,031-166-017
8,112-190-017
9,094-211-013
10,090-080-024
11,023-753-003
12,026-025-018
13,031-253-006
14,094-390-017
15,032-390-054
16,131-190-02
17,1318-23-811-047
18,036-591-004
19,129-091-04
20,022-322-034
21,027-312-011
22,034-201-009
23,034-722-010
24,035-271-022
25,015-304-014
26,1318-10-415-014
27,117-010-015
28,032-261-002
29,094-535-025
30,124-042-09
31,036-543-004
32,127-060-11
33,1318-15-710-001
34,083-085-033
35,029-480-010
36,026-026-022
37,112-240-021
38,028-121-006
39,026-136-021
40,023-892-007
41,1318-23-602-014
42,093-600-020
43,094-160-018
44,093-141-006
45,027-142-034
46,034-265-002
47,016-552-009
48,117-100-032
49,029-181-032
50,116-130-009
51,094-534-028
52,1319-30-538-007
53,093-430-020
54,1319-19-710-029
55,025-701-024
56,117-071-004
57,085-410-034
58,026-243-011
59,083-310-036
60,022-311-015
61,034-436-003
62,097-164-004
63,1318-24-404-007
64,026-067-008
65,023-741-005
66,034-682-002
67,131-021-25
68,022-421-015
69,093-230-050
70,116-030-045
71,093-500-023
72,034-593-006
73,098-127-005
74,028-122-012
75,034-612-001
76,1319-19-212-057
77,1318-26-511-012
78,092-151-001
79,1319-18-310-031
80,1318-26-101-083
81,027-125-029
82,030-403-013
83,022-371-004
84,116-010-013
85,083-162-036
86,1319-30-530-002
87,033-213-003
88,025-510-075
89,1418-10-710-068
90,031-275-003
91,083-181-020
92,031-333-004
93,026-097-007
94,126-171-19
95,132-400-00
96,097-075-008
97,027-156-015
98,034-472-009
99,1319-18-401-004
100,128-060-21
101,132-063-24
102,094-031-003
103,023-830-015
104,124-810-00
105,094-535-002
106,1318-23-610-018
107,015-263-004
108,097-182-005
109,033-343-015
110,115-030-033
111,125-223-29
112,031-333-027
113,023-291-009
114,1318-03-212-006
115,034-761-001
116,033-363-001
117,084-081-026
118,1319-18-310-035
119,034-295-002
120,1318-23-510-003
121,127-073-11
122,1319-07-001-002
123,016-142-016
124,033-283-014
125,127-560-02
126,1318-24-402-003
127,112-250-037
128,033-413-014
129,031-152-006
130,125-181-25
131,130-061-01
132,111-250-033
133,083-195-015
134,023-391-003
135,127-073-29
136,090-042-003
137,031-333-018
138,016-221-005
139,028-063-005
140,035-090-009
141,083-410-022
142,090-390-008
143,033-234-001
144,034-641-011
145,083-340-017
146,031-261-019
147,090-112-035
148,131-225-12
149,094-532-023
150,016-590-007
151,027-621-002
152,032-282-032
153,023-693-026
154,034-652-016
155,098-272-020
156,125-382-11
157,092-180-036
158,034-223-008
159,126-083-39
160,032-322-004
161,090-273-003
162,115-010-013
163,122-124-11
164,094-052-005
165,091-184-007
166,128-250-00
167,022-195-034
168,116-210-029
169,097-050-086
170,030-351-017
171,130-180-51
172,126-220-09
173,032-252-002
174,126-550-09
175,128-060-08
176,091-140-011
177,022-031-015
178,023-452-001
179,036-582-018
180,081-072-018
181,117-080-040
182,034-300-024
183,080-172-001
184,116-020-008
185,1318-15-410-019
186,035-162-003
187,092-214-004
188,112-150-037
189,015-322-027
190,015-031-003
191,126-083-18
192,125-443-02
193,1318-10-415-072
194,093-620-040
195,124-400-17
196,023-681-012
197,025-282-010
198,031-166-019
199,125-251-07
200,094-531-020
201,027-125-022
202,094-490-064
203,014-244-011
204,023-902-007
205,028-301-036
206,095-150-001
207,094-271-004
208,098-171-004
209,116-010-014
210,1318-23-611-011
211,123-121-17
212,034-601-010
213,033-481-009
214,023-654-010
215,022-332-022
216,1318-10-312-031
217,117-110-026
218,033-591-005
219,130-180-21
220,092-160-015
221,023-773-033
222,016-443-002
223,034-082-003
224,029-640-001
225,093-560-012
226,036-553-005
227,015-113-003
228,027-321-016
229,026-105-015
230,085-241-006
231,132-192-12
232,031-277-010
233,1318-15-715-005
234,023-102-036
235,033-682-025
236,033-422-026
237,098-315-005
238,1319-30-523-004
239,126-020-51
240,031-275-002
241,126-083-03
242,015-164-015
243,125-491-04
244,127-290-09
245,085-131-015
246,015-323-015
247,1418-03-401-012
248,131-121-22
249,034-472-018
250,027-135-021
251,032-191-011
252,092-072-003
253,126-560-14
254,028-201-002
255,033-492-019
256,083-400-039
257,026-280-001
258,1318-15-711-002
259,020-041-019
260,093-120-010
261,036-290-006
262,1319-30-712-001
263,027-234-011
264,025-231-015
265,097-200-019
266,116-220-032
267,033-232-007
268,083-152-006
269,035-181-006
270,025-595-010
271,132-030-48
272,023-201-059
273,125-181-06
274,111-250-037
275,031-216-009
276,016-443-001
277,090-213-008
278,094-532-004
279,092-031-003
280,094-500-013
281,025-343-009
282,023-491-017
283,083-151-002
284,022-061-036
285,125-551-17
286,123-054-01
287,026-024-012
288,029-163-001
289,028-162-032
290,025-745-002
291,028-062-008
292,023-901-005
293,033-501-016
294,034-551-008
295,032-354-007
296,015-202-019
297,031-214-005
298,031-224-006
299,094-273-004
300,022-171-023
301,025-793-013
302,023-392-024
303,025-403-011
304,090-080-017
305,125-163-13
306,016-292-032
307,034-202-003
308,033-863-003
309,031-224-011
310,1318-26-101-026
311,092-141-002
312,033-511-006
313,022-411-006
314,094-124-006
315,036-170-011
316,1318-26-511-003
317,081-073-013
318,093-620-069
319,125-163-28
320,081-131-013
321,126-550-15
322,1318-15-613-003
323,025-443-006
324,034-161-042
325,027-641-003
326,033-201-010
327,1318-15-610-020
328,127-074-23
329,025-613-007
330,091-184-001
331,031-290-038
332,027-231-028
333,090-264-006
334,124-800-02
