TAZ,ZIPCODE,emp_other,emp_rec,STATE,emp_retail,emp_srvc,emp_gaming,adjustment_factor_CBP,job_change_CBP,2018,2022,adjustment_factor_EDD,job_change_EDD,emp_other_2022,emp_rec_2022,emp_retail_2022,emp_srvc_2022,emp_gaming_2022
158,96150,298.6666667,,CA,191.6666667,96.66666667,,1.140056908,1329,12025,11789,0.98037422,-236,292.8051005,,187.9050589,94.76950797,
159,96150,47,,CA,,32.33333333,,1.140056908,1329,12025,11789,0.98037422,-236,46.07758836,,,31.69876646,
160,96150,62.5,1.666666667,CA,,33,,1.140056908,1329,12025,11789,0.98037422,-236,61.27338877,1.633957034,,32.35234927,
161,96150,101.3333333,,CA,174,181.3333333,,1.140056908,1329,12025,11789,0.98037422,-236,99.34458763,,170.5851143,177.7745253,
162,96150,958.1666667,,CA,,2.333333333,,1.140056908,1329,12025,11789,0.98037422,-236,939.3618989,,,2.287539847,
165,96150,60.66666667,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,59.47603604,,,,
166,96150,8,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,7.842993763,,,,
167,96150,24.66666667,,CA,2,,,1.140056908,1329,12025,11789,0.98037422,-236,24.18256411,,1.960748441,,
168,96150,9.666666667,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,9.476950797,,,,
169,96150,2,1,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,1.960748441,0.98037422,,,
170,96150,24.33333333,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,23.85577269,,,,
171,96150,6,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,5.882245322,,,,
175,96150,28.33333333,6,CA,7.333333333,,,1.140056908,1329,12025,11789,0.98037422,-236,27.77726957,5.882245322,7.189410949,,
176,96150,7,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,6.862619543,,,,
178,96150,6.666666667,,CA,,12,,1.140056908,1329,12025,11789,0.98037422,-236,6.535828136,,,11.76449064,
179,96150,46.5,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,45.58740125,,,,
180,96150,532.5,149,CA,19.33333333,50,,1.140056908,1329,12025,11789,0.98037422,-236,522.0492723,146.0757588,18.95390159,49.01871102,
181,96150,22,,CA,,9,,1.140056908,1329,12025,11789,0.98037422,-236,21.56823285,,,8.823367983,
182,96150,2,,CA,1,,,1.140056908,1329,12025,11789,0.98037422,-236,1.960748441,,0.98037422,,
183,96150,10.33333333,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,10.13053361,,,,
185,96150,18.66666667,18.16666667,CA,,41,,1.140056908,1329,12025,11789,0.98037422,-236,18.30031878,17.81013167,,40.19534304,
186,96150,8.333333333,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,8.169785169,,,,
188,96150,20.33333333,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,19.93427581,,,,
190,96150,3,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,2.941122661,,,,
191,96150,4,,CA,1,,,1.140056908,1329,12025,11789,0.98037422,-236,3.921496881,,0.98037422,,
192,96150,12.33333333,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,12.09128205,,,,
194,96150,3,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,2.941122661,,,,
195,96150,55.83333333,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,54.73756063,,,,
196,96150,51,,CA,6.666666667,40,,1.140056908,1329,12025,11789,0.98037422,-236,49.99908524,,6.535828136,39.21496881,
197,96150,32.66666667,,CA,2.5,14.66666667,,1.140056908,1329,12025,11789,0.98037422,-236,32.02555787,,2.450935551,14.3788219,
198,96150,7.333333333,15.66666667,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,7.189410949,15.35919612,,,
200,96150,10,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,9.803742204,,,,
202,96150,15.66666667,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,15.35919612,,,,
203,96150,35.66666667,20.66666667,CA,14.33333333,228,,1.140056908,1329,12025,11789,0.98037422,-236,34.96668053,20.26106722,14.05203049,223.5253222,
224,96142,22,,CA,,,,1.484848485,32,91,109.3333333,1.201465201,18.33333333,26.43223443,,,,
228,96142,60.33333333,,CA,,19.16666667,,1.484848485,32,91,109.3333333,1.201465201,18.33333333,72.48840048,,,23.02808303,
229,96142,4.833333333,,CA,,,,1.484848485,32,91,109.3333333,1.201465201,18.33333333,5.807081807,,,,
230,96142,21.5,,CA,,,,1.484848485,32,91,109.3333333,1.201465201,18.33333333,25.83150183,,,,
232,96150,6.333333333,,CA,,15,,1.140056908,1329,12025,11789,0.98037422,-236,6.209036729,,,14.70561331,
234,96141,40,,CA,,,,1.204275534,86,257.3333333,301,1.169689119,43.66666667,46.78756477,,,,
236,96141,4.333333333,11,CA,,49.33333333,,1.204275534,86,257.3333333,301,1.169689119,43.66666667,5.068652849,12.86658031,,57.70466321,
239,96141,39.66666667,148.3333333,CA,29,,,1.204275534,86,257.3333333,301,1.169689119,43.66666667,46.3976684,173.503886,33.92098446,,
241,96141,22.33333333,,CA,,,,1.204275534,86,257.3333333,301,1.169689119,43.66666667,26.12305699,,,,
244,96141,13.33333333,,CA,,,,1.204275534,86,257.3333333,301,1.169689119,43.66666667,15.59585492,,,,
247,96141,12,,CA,,,,1.204275534,86,257.3333333,301,1.169689119,43.66666667,14.03626943,,,,
248,96145,14.33333333,,CA,,,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,14.48093777,,,,
249,96145,51.33333333,18.33333333,CA,36.66666667,258.3333333,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,51.86196319,18.52212971,37.04425942,260.9936459,
251,96145,22.66666667,,CA,,,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,22.90008765,,,,
253,96145,39,1,CA,,106,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,39.40162138,1.010297984,,107.0915863,
254,96145,271.8333333,9.666666667,CA,26,33.66666667,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,274.6326687,9.766213848,26.26774759,34.01336547,
255,96145,162.3333333,78.33333333,CA,118.3333333,151.6666667,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,164.0050394,79.14000876,119.5519281,153.2285276,
256,96145,64.33333333,1.333333333,CA,293.3333333,,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,64.99583698,1.347063979,296.3540753,,
257,96145,150,60.33333333,CA,149.6666667,323.6666667,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,151.5446976,60.95464504,151.2079317,326.9997809,
