Jurisdiction,Unit_Pool,Future_Units
CSLT,General,34
CSLT,ADU,1
DG,General,9
DG,ADU,1
EL,General,38
EL,ADU,1
PL,General,20
PL,ADU,2
TRPA,General,226
TRPA,Bonus Unit,559
TRPA,ADU,33
WA,General,16
WA,ADU,2
