taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,196.0,0.3252551020408163,64,44,5,15,2.098179154340333,134,14,469,57,0,75
110,22.0,0.5,11,8,1,2,2.302246856967293,25,117,820,23,0,155
111,243.0,0.2569958847736626,62,47,2,13,2.098179154340333,130,73,251,4,0,88
112,1173.0,0.5832054560954817,684,376,143,165,2.36937638584123,1621,0,142,7,0,24
113,531.0,0.6431261770244822,342,230,46,66,2.6465514958700718,905,82,89,3,0,42
114,313.0,0.5391373801916933,169,86,6,77,2.601062856834664,440,0,24,0,0,18
115,292.0,0.5208904109589041,152,88,26,38,2.684873799392843,408,0,0,0,0,101
116,4.0,0.5,2,2,0,0,2.684873799392843,5,0,0,0,0,0
117,0.0,0.0,0,0,0,0,2.5870913585507584,0,7,124,441,0,0
118,314.0,0.5509554140127388,173,65,66,42,2.7345936845667844,473,51,350,154,0,70
119,153.0,0.6013071895424836,92,42,23,27,2.2226318515372605,204,30,176,56,0,62
120,67.0,0.8313432835820896,56,24,15,17,2.05840324620118,115,0,121,16,0,231
121,424.0,0.5456367924528301,231,128,63,40,2.0767706406756306,480,0,8,0,0,3
122,0.0,0.0,0,0,0,0,2.7345936845667844,0,0,0,0,0,0
123,593.0,0.6101180438448567,362,209,77,76,2.575204773980485,932,0,2,0,0,19
124,374.0,0.6096256684491979,228,135,71,22,3.390590200338665,773,12,87,6,0,59
125,286.0,0.45104895104895104,129,59,26,44,2.814145500845091,363,0,5,0,0,4
126,299.0,0.6287625418060201,188,105,11,72,2.382831871305401,448,0,0,0,0,62
127,10.0,0.5,5,3,1,1,2.048459269166391,10,0,0,0,0,207
128,0.0,0.0,0,0,0,0,2.048459269166391,0,67,0,0,0,113
129,0.0,0.0,0,0,0,0,2.048459269166391,0,0,0,0,0,0
130,0.0,0.0,0,0,0,0,2.7345936845667844,0,0,0,0,0,8
131,62.0,0.6935483870967742,43,33,6,4,2.048459269166391,88,0,0,0,0,375
132,0.0,0.0,0,0,0,0,2.048459269166391,0,0,0,0,0,0
133,118.0,0.5508474576271186,65,24,25,16,2.7345936845667844,178,0,0,0,0,5
134,387.0,0.5702842377260982,221,92,29,100,2.5088192523971817,554,0,0,0,0,0
135,137.0,0.4551094890510949,62,29,12,21,2.814145500845091,174,0,0,0,0,0
136,0.0,0.0,0,0,0,0,2.7882911605546417,0,0,0,0,0,0
137,399.0,0.6424812030075189,256,112,48,96,2.0242208251440954,518,0,14,0,0,6
138,707.0,0.5615275813295615,397,177,67,153,2.04928221898996,814,7,141,12,0,52
139,564.0,0.4929078014184397,278,141,53,84,1.946213525100771,541,3,22,0,0,102
140,182.0,0.7087912087912088,129,78,44,7,2.20242237122197,284,15,42,6,0,16
141,376.0,0.6640957446808511,250,136,102,12,2.2075629017230045,552,25,58,0,0,54
142,982.0,0.6140529531568228,603,320,148,135,2.796438872324855,1686,26,61,1,0,62
143,562.0,0.7508896797153025,422,256,60,106,2.1063833618081422,889,13,91,4,0,63
144,275.0,0.27636363636363637,76,20,9,47,2.363614422516464,180,1,1,43,0,66
145,742.0,0.28099730458221023,208,64,42,102,2.2613021371944724,470,0,0,0,0,4
146,259.0,0.61003861003861,158,49,26,83,2.190865306952089,346,0,12,9,0,9
147,637.0,0.6379905808477236,406,198,97,111,2.419321174853511,982,0,3,0,0,99
148,535.0,0.5601869158878504,300,131,100,69,1.4418766700443046,433,24,10,0,0,15
149,297.0,0.6646464646464647,197,112,51,34,2.479176996090753,488,5,76,0,0,173
150,52.0,0.8269230769230769,43,26,8,9,2.238309221520223,96,144,30,4,0,337
151,129.0,0.5581395348837209,72,30,19,23,2.5066027908126527,180,1,0,0,0,2
152,170.0,0.6176470588235294,105,32,17,56,2.1894648635196896,230,0,0,0,0,11
153,363.0,0.2793388429752066,101,27,12,62,2.366373280265186,239,1,0,0,0,77
154,684.0,0.5002923976608187,342,209,47,86,1.8002823918958957,616,0,10,0,0,30
155,0.0,0.0,0,0,0,0,2.1478990395142747,0,0,0,0,0,0
156,377.0,0.879840848806366,332,205,88,39,2.217506878757793,736,9,27,0,0,37
157,29.0,0.896551724137931,26,17,6,3,2.2201237148195787,58,81,0,0,0,58
158,782.0,0.7957161125319693,622,378,105,139,2.2902251563155103,1425,209,106,0,0,326
159,601.0,0.7759567387687188,466,169,153,144,2.269326228804873,1058,0,32,0,0,46
160,611.0,0.7311783960720131,447,261,147,39,1.7302520040531657,773,0,32,2,0,61
161,110.0,0.9545454545454546,105,78,5,22,1.7302520040531657,182,171,178,0,0,99
162,299.0,0.7391304347826086,221,137,76,8,1.7302520040531657,382,0,2,0,0,345
163,0.0,0.0,0,0,0,0,1.6213916238828514,0,0,0,0,0,0
164,1.0,1.0,1,0,0,1,2.0635466825984845,2,0,0,0,0,0
165,387.0,0.5412144702842377,209,115,30,64,1.5114845092878229,316,0,0,0,0,59
166,245.0,0.533469387755102,131,73,18,40,1.5114845092878229,198,0,0,0,0,8
167,242.0,0.49876033057851243,121,46,29,46,2.9732491334017044,360,2,0,0,0,24
168,144.0,0.4979166666666667,72,27,17,28,2.9732491334017044,214,0,0,0,0,9
169,62.0,0.5,31,13,7,11,2.961689260098763,92,0,0,1,0,2
170,196.0,0.4969387755102041,97,38,23,36,2.965337186456634,288,0,0,0,0,24
171,69.0,0.5072463768115942,35,14,8,13,2.9732491334017044,104,0,0,0,0,6
172,0.0,0.0,0,0,0,0,2.2075629017230045,0,0,0,0,0,0
173,0.0,0.0,0,0,0,0,2.2075629017230045,0,0,0,0,0,0
174,0.0,0.0,0,0,0,0,2.2075629017230045,0,0,0,0,0,0
175,973.0,0.43237410071942445,421,78,73,270,2.59775278480582,1094,7,0,6,0,28
176,301.0,0.5196013289036545,156,43,39,74,2.3575986108630405,368,0,0,0,0,7
177,56.0,0.625,35,9,12,14,2.1974748090790164,77,0,0,0,0,0
178,422.0,0.5270142180094787,222,47,44,131,2.372421720988247,527,0,12,0,0,7
179,343.0,0.5190962099125365,178,49,39,90,2.6016104987283133,463,0,0,0,0,46
180,1.0,1.0,1,0,0,1,2.0086833610272383,2,19,50,147,0,324
181,0.0,0.0,0,0,0,0,1.7302520040531657,0,0,9,0,0,22
182,10.0,0.7,7,1,3,3,2.2473388098621583,16,1,0,0,0,2
183,33.0,0.7272727272727273,24,5,11,8,2.2473388098621583,54,0,0,0,0,10
184,1.0,0.0,0,0,0,0,2.9235292482277626,0,0,2,2,0,0
185,87.0,0.5408045977011494,47,10,12,25,2.4089284366774675,113,0,40,18,0,18
186,85.0,0.6235294117647059,53,14,18,21,2.2075629017230045,117,0,0,0,0,8
187,22.0,0.6363636363636364,14,4,5,5,2.2075629017230045,31,0,0,0,0,0
188,67.0,0.6268656716417911,42,11,14,17,2.2075629017230045,93,0,0,0,0,20
189,13.0,0.46153846153846156,6,2,1,3,2.8638653860190337,17,0,0,0,0,0
190,19.0,0.47368421052631576,9,4,1,4,2.8638653860190324,26,0,0,0,0,3
191,263.0,0.42984790874524714,113,41,19,53,2.863865386019033,324,1,0,0,0,4
192,463.0,0.4298056155507559,199,71,33,95,2.863865386019033,570,0,0,0,0,12
193,6.0,0.5,3,1,0,2,2.863865386019033,9,0,0,0,0,0
194,23.0,0.6521739130434783,15,3,5,7,2.2373948328273694,34,0,0,0,0,3
195,827.0,0.6008464328899636,497,149,100,248,2.3554112635699123,1171,0,0,0,0,55
196,28.0,0.7160714285714286,20,7,4,9,2.088235177305545,42,7,40,0,0,51
197,553.0,0.7486437613019892,414,146,91,177,2.088235177305545,865,2,14,0,0,32
198,0.0,0.0,0,0,0,0,2.088235177305545,0,0,0,15,0,7
199,4.0,0.5,2,1,0,1,2.297058695036099,5,0,0,0,0,0
200,535.0,0.5671028037383177,303,93,75,135,2.2522145663437314,682,0,0,0,0,10
201,0.0,0.0,0,0,0,0,2.1478990395142747,0,0,0,0,0,0
202,112.0,0.5241071428571429,59,20,16,23,2.1478990395142747,127,0,0,0,0,15
203,31.0,0.12903225806451613,4,0,4,0,2.0186273380620263,8,14,224,20,0,35
204,0.0,0.0,0,0,0,0,2.0186273380620263,0,0,0,0,0,0
205,0.0,0.0,0,0,0,0,2.0656352294992075,0,0,0,0,0,0
206,0.0,0.0,0,0,0,0,2.0186273380620263,0,0,0,0,0,0
207,44.0,0.045454545454545456,2,2,0,0,1.8904023710344928,4,0,0,0,0,0
208,167.0,0.10179640718562874,17,6,11,0,1.9705569277516757,33,0,0,0,0,0
209,26.0,0.11538461538461539,3,0,3,0,2.0186273380620263,6,0,0,0,0,0
210,18.0,0.1111111111111111,2,0,2,0,2.0186273380620263,4,0,0,0,0,0
211,45.0,0.08888888888888889,4,2,2,0,1.9450160794928144,8,0,0,0,0,0
212,0.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
213,0.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
214,137.0,0.029197080291970802,4,4,0,0,1.8694676825402012,7,0,0,0,0,0
215,43.0,0.031395348837209305,1,1,0,0,1.8694676825402017,2,0,0,0,0,0
216,0.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
217,22.0,0.045454545454545456,1,1,0,0,1.8694676825402017,2,0,0,0,0,0
218,1.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
219,0.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
220,16.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
221,14.0,0.0,0,0,0,0,1.8694676825402012,0,0,0,0,0,0
222,316.0,0.049841772151898736,16,10,1,5,1.8694676825402017,30,0,0,0,0,0
223,0.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
224,289.0,0.04636678200692042,13,11,0,2,1.8694676825402012,24,0,0,0,0,26
225,71.0,0.056338028169014086,4,2,0,2,1.8694676825402017,7,0,0,0,0,0
226,0.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
227,0.0,0.0,0,0,0,0,1.9450419080045929,0,0,0,0,0,0
228,3.0,0.3333333333333333,1,1,0,0,2.1686156583367504,2,0,23,0,0,72
229,131.0,0.2954198473282443,39,19,6,14,2.2473388098621583,88,0,0,0,0,6
230,1007.0,0.29165839126117177,294,146,43,105,2.2473388098621583,661,0,0,0,0,26
231,93.0,0.27956989247311825,26,13,4,9,2.2473388098621583,58,0,0,0,0,0
232,202.0,0.12871287128712872,26,0,26,0,2.0186273380620263,52,0,15,0,0,6
233,68.0,0.16176470588235295,11,4,2,5,2.1081231313751214,23,0,0,0,0,0
234,567.0,0.14814814814814814,84,36,20,28,2.1081231313751214,177,0,0,0,0,47
235,47.0,0.14893617021276595,7,3,2,2,2.1081231313751214,15,0,0,0,0,0
236,189.0,0.14814814814814814,28,12,7,9,2.1081231313751214,59,0,58,13,0,5
237,115.0,0.14782608695652175,17,8,4,5,2.1081231313751214,36,0,0,0,0,0
238,2.0,1.0,2,0,0,2,2.1081231313751214,4,0,0,0,0,0
239,98.0,0.17346938775510204,17,7,4,6,2.1348245511907566,36,34,0,174,0,46
240,5.0,0.2,1,0,0,1,2.176783925186755,2,4,12,13,0,0
241,342.0,0.24883040935672512,85,8,19,58,2.3964984653839823,204,0,0,0,0,26
242,97.0,0.25463917525773194,25,3,5,17,2.3945630604577484,60,0,0,0,0,0
243,117.0,0.17094017094017094,20,1,2,17,2.114099822235409,42,0,0,0,0,0
244,203.0,0.18423645320197043,37,3,5,29,2.1081231313751214,78,0,0,0,0,16
245,0.0,0.0,0,0,0,0,2.341309392840907,0,0,0,0,0,0
246,0.0,0.0,0,0,0,0,2.1081231313751214,0,0,0,0,0,0
247,97.0,0.16494845360824742,16,1,1,14,2.1081231313751214,34,0,0,0,0,14
248,358.0,0.28212290502793297,101,24,32,45,2.7730370997832767,280,0,0,0,0,14
249,637.0,0.2852433281004709,182,44,59,79,2.772498801078554,505,37,261,19,0,52
250,0.0,0.0,0,0,0,0,2.774369592705938,0,0,0,0,0,0
251,319.0,0.29278996865203766,93,28,13,52,1.9854726038207304,185,0,0,0,0,23
252,78.0,0.3333333333333333,26,11,3,12,2.1478990395142747,56,0,0,0,0,0
253,218.0,0.3165137614678899,69,24,9,36,2.023879135457024,140,0,110,1,0,40
254,274.0,0.21897810218978103,60,5,11,44,1.7203080270183773,103,26,34,10,0,275
255,50.0,0.32,16,4,3,9,1.8300949086051617,29,123,157,81,0,169
256,5.0,0.2,1,0,0,1,1.7203080270183773,2,296,0,1,0,65
257,28.0,0.32142857142857145,9,2,2,5,1.791895662594614,16,152,330,62,0,153
258,1.0,0.0,0,0,0,0,2.1478990395142747,0,0,0,0,0,0
259,0.0,0.0,0,0,0,0,1.934103533266326,0,0,0,0,0,0
260,251.0,0.3346613545816733,84,38,9,37,2.226570208379906,187,21,10,19,0,152
261,7.0,0.2857142857142857,2,1,0,1,2.146974018394759,4,0,0,0,0,0
262,12.0,0.3333333333333333,4,1,0,3,2.087674953247247,8,4,11,1,0,87
263,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
264,62.0,0.3548387096774194,22,8,2,12,2.903641294158186,64,0,0,0,0,0
265,0.0,0.0,0,0,0,0,2.903641294158186,0,0,0,0,0,0
266,693.0,0.3126984126984127,217,89,37,91,2.629638767292044,571,4,16,0,0,277
267,676.0,0.20813609467455618,141,36,51,54,2.088235177305545,294,1,0,0,0,2
268,172.0,0.22093023255813954,38,9,13,16,2.1461809701836567,82,0,0,0,0,19
269,166.0,0.891566265060241,148,144,2,2,2.1955615501292947,325,3,0,0,0,3
270,41.0,0.24390243902439024,10,5,4,1,2.1081231313751214,21,0,0,1,0,5
271,205.0,0.2682926829268293,55,28,19,8,2.1081231313751214,116,0,0,0,0,148
272,0.0,0.0,0,0,0,0,2.1081231313751214,0,0,0,0,0,0
273,109.0,0.24770642201834864,27,14,10,3,2.108350422278774,57,0,5,0,0,20
274,989.0,0.3385237613751264,335,99,61,175,2.615265960149325,876,0,0,0,0,168
275,29.0,0.2310344827586207,7,1,2,4,2.1786148796883986,15,0,0,0,0,0
276,105.0,0.37142857142857144,39,6,6,27,2.316946649105676,90,0,136,35,0,5
277,49.0,0.24489795918367346,12,3,3,6,1.859523705505414,22,6,38,3,0,30
278,576.0,0.23628472222222222,136,26,42,68,1.860214259466163,253,0,0,0,0,35
279,190.0,0.25263157894736843,48,11,13,24,2.1282083865763406,102,0,0,0,0,0
280,123.0,0.29593495934959346,36,10,15,11,2.307002672070888,83,1,0,0,0,13
281,562.0,0.2983985765124555,168,64,59,45,2.275402644167147,382,28,42,54,0,212
282,271.0,0.3236162361623616,88,41,25,22,2.2473388098621583,198,0,0,0,0,34
283,206.0,0.3237864077669903,67,32,20,15,2.2473388098621583,151,0,0,0,0,6
284,123.0,0.3008130081300813,37,13,14,10,2.287879639311679,85,0,0,0,0,0
285,0.0,0.0,0,0,0,0,2.307002672070888,0,0,0,0,0,0
286,239.0,0.29728033472803345,71,18,30,23,2.307002672070888,164,0,0,0,0,14
287,0.0,0.0,0,0,0,0,2.2473388098621583,0,0,0,0,0,0
288,446.0,0.318609865470852,142,69,40,33,2.2603451189249606,321,0,0,0,0,14
289,150.0,0.62,93,79,5,9,2.316593309820176,215,0,0,0,0,0
290,1401.0,0.6014989293361884,843,592,102,149,2.470404058381632,2083,110,418,37,0,520
291,219.0,0.5602739726027397,123,78,11,34,2.455650505245333,302,0,0,0,0,16
