"","TAZ","emp_other","emp_rec","emp_retail","emp_srvc","emp_gaming"
"171",273,13.0823437039945,0,3.27058592599863,29.4352733339876,0
"172",282,16.3529296299931,0,0,59.9607419766415,0
"173",284,53.4195701246442,34.8862498773187,13.0823437039945,16.3529296299931,0
"174",266,0,0,0,91.5764059279615,0
"175",290,29.4352733339876,7.63136716066346,13.0823437039945,4.36078123466483,0
"176",271,0,29.4352733339876,0,0,0
"177",272,25.0744920993228,32.7058592599863,163.529296299931,31.6156639513201,0
"178",281,2.18039061733242,1.09019530866621,13.0823437039945,17.4431249386593,0
"179",280,4.36078123466483,0,117.741093335951,94.8469918539602,0
"180",289,1.09019530866621,0,11.9921483953283,0,0
"181",277,45.7882029639808,1.09019530866621,73.043085680636,58.8705466679753,0
"182",294,3.27058592599863,0,0,3.27058592599863,0
"183",278,43.6078123466484,0,30.5254686426538,49.0587888899794,0
"184",288,0,0,0,0,0
"185",267,15.2627343213269,9.81175777799588,29.4352733339876,3.27058592599863,0
"186",279,138.454804200609,10.9019530866621,91.5764059279615,123.192069879282,0
"187",265,499.309451369124,2.18039061733242,115.560702718618,137.364608891942,0
"188",262,15.2627343213269,327.058592599863,0,0,0
"189",276,41.4274217293159,0,13.0823437039945,15.2627343213269,0
"190",275,0,0,0,0,0
"191",264,23.9842967906566,13.0823437039945,3.27058592599863,25.0744920993228,428.44675630582
"192",261,102.478359014624,0,83.9450387672981,26.164687407989,0
"193",263,0,0,0,0,0
"194",260,1.09019530866621,0,0,2.18039061733242,0
"195",295,179.882225929924,0,0,0,0
"196",259,0,0,0,0,0
"197",297,0,0,0,0,0
"198",257,0,0,0,0,0
"199",256,0,0,0,0,0
"200",255,21.8039061733242,10.9019530866621,3.27058592599863,3.27058592599863,0
"201",253,0,0,0,0,0
"202",254,0,0,0,0,0
"203",252,0,0,0,0,0
"204",235,1.09019530866621,0,0,0,0
"205",236,11.9921483953283,0,0,0,0
"206",240,7.63136716066346,0,0,7.63136716066346,0
"207",233,0,0,0,0,0
"208",232,0,0,0,0,0
"209",229,25.0744920993228,0,4.36078123466483,11.9921483953283,0
"210",216,7.63136716066346,0,0,4.36078123466483,0
"211",209,4.36078123466483,10.9019530866621,0,2.18039061733242,0
"212",296,1.09019530866621,0,1.09019530866621,3.27058592599863,28.3450780253214
"213",258,0,0,0,0,0
"214",231,8.72156246932967,0,1.09019530866621,1.09019530866621,0
