ScoreSheetUrl,APN,Status,ParcelNickname,IPESScore,IPESType,BaseAllowableCoveragePercent,IPESTotalAllowableCoverageSqFt,ParcelHasDOAC,HistoricOrImportedIpesScore,CalculationDate,FieldEvaluationDate,RelativeErosionHazardScore,RunoffPotentialScore,AccessScore,UtilityInSEZScore,ConditionOfWatershedScore,AbilityToRevegetateScore,WaterQualityImprovementsScore,ProximityToLakeScore,LimitedIncentivePoints,TotalParcelArea,IPESBuildingSiteArea,SEZLandArea,SEZSetbackArea,InternalNotes,PublicNotes
https://parcels.laketahoeinfo.org/IpesScore/Detail/5729,033-703-003,Active,,800,Official,25%,,Unknown,Yes,12/19/2016 16:38,,267,200,110,110,36,21,16,40,0,,21000,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5730,033-703-004,Active,,784,Official,24%,,Unknown,Yes,12/19/2016 16:38,,281,167,113,110,36,21,16,40,0,,17400,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5731,033-703-006,Active,,854,Official,27%,,Unknown,Yes,12/19/2016 16:38,,330,167,130,110,36,25,16,40,0,,10400,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5732,033-703-007,Active,,450,Official,0%,,Unknown,Yes,12/19/2016 16:38,,268,44,5,10,36,31,16,40,0,,23700,0,1000,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5733,033-703-008,Active,,575,Official,24%,,Unknown,Yes,12/19/2016 16:38,,247,200,5,10,36,21,16,40,0,,13900,0,800,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5734,033-703-009,Active,,577,Official,24%,,Unknown,Yes,12/19/2016 0:00,,249,200,5,10,36,21,16,40,0,,11727,0,1100,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5735,033-703-011,Active,,653,Official,0%,,Unknown,Yes,12/19/2016 16:38,,272,44,104,110,36,31,16,40,0,,15300,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5736,033-703-015,Inactive,,842,Official,26%,3775,Unknown,Yes,12/19/2016 16:38,,285,200,134,110,36,21,16,40,0,,14520,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5737,033-704-001,Active,,0,Official,1%,,Unknown,Yes,12/19/2016 16:38,,0,0,0,0,0,0,0,0,0,,11600,11600,0,ctc acquired,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5738,033-704-003,Active,,0,Official,0%,,Unknown,Yes,12/19/2016 16:38,,0,0,0,0,0,0,0,0,0,,11400,11400,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5739,033-705-002,Active,,706,Information Only,20%,,Unknown,Yes,12/31/1990 0:00,,240,167,68,110,36,21,24,40,0,,12000,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5740,033-705-002,Active,,732,Official,20%,,Unknown,Yes,12/19/2016 16:38,,240,167,68,110,36,21,50,40,0,,12000,0,0,WQIP added to max out at 50 points 02.29.08 sh.s.,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5741,033-705-003,Active,,743,Official,23%,,Unknown,Yes,12/19/2016 16:38,,261,167,80,110,36,25,24,40,0,,9400,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5742,033-705-004,Active,,788,Official,26%,,Unknown,Yes,12/19/2016 16:38,,277,200,92,110,36,25,24,40,0,,7800,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5743,033-705-007,Active,,789,Official,26%,,Unknown,Yes,12/19/2016 16:38,,314,167,106,110,36,25,24,40,0,,7200,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5744,033-705-009,Active,,640,Official,5%,,Unknown,Yes,12/19/2016 16:38,,295,44,93,110,36,25,24,40,0,,7200,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5745,033-705-010,Active,,647,Official,5%,,Unknown,Yes,12/19/2016 16:38,,305,34,100,110,36,25,24,40,0,,7200,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5746,033-705-012,Active,,906,Information Only,30%,,Unknown,Yes,12/31/1990 0:00,,382,200,127,110,36,25,24,40,0,,7200,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5747,033-705-012,Active,,931,Official,30%,,Unknown,Yes,12/19/2016 16:38,,382,200,127,110,36,25,50,40,0,,7200,0,0,WQIP added to max out at 50 points 02.29.08 sh.s.,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5748,033-711-001,Active,,544,Official,1%,,Unknown,Yes,12/19/2016 16:38,,219,44,158,10,36,21,16,40,0,,12900,1000,1400,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5749,033-711-002,Active,,501,Official,0%,,Unknown,Yes,,,272,98,23,10,36,21,16,40,0,,,4500,1600,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5750,033-711-006,Active,,719,Official,5%,,Unknown,Yes,12/31/1990 0:00,,240,98,158,110,36,21,16,40,0,,,1000,1100,,
