Year,Residential_Units,Percent_Change,Difference
2012,47251,,
2018,47415,0.34708260142641834,164
2019,47469,0.11388801012337524,54
2020,47699,0.4845267437696199,230
2021,47835,0.2851212813685722,136
2022,47947,0.2341381833385503,112
2023,48007,0.12513817339978583,60
