TAZ,block_group_id,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,Total_Res_Units,Total_TA_Units,Total_CommercialFloorArea_SqFt,Residential_Units_Proportion,TouristAccommodation_Units_Proportion,CommercialFloorArea_SqFt_Proportion
47,60170304041.0,244,0,0,628,0,58630,0.3885350318471338,nan,0.0
47,60170304042.0,171,0,0,628,0,58630,0.27229299363057324,nan,0.0
47,60170304043.0,213,0,58630,628,0,58630,0.339171974522293,nan,1.0
48,60170304031.0,516,143,46922,516,143,46922,1.0,1.0,1.0
49,60170304041.0,123,38,41714,278,38,118633,0.44244604316546765,1.0,0.35162222990230374
49,60170304043.0,155,0,76919,278,38,118633,0.5575539568345323,0.0,0.6483777700976963
50,60170304024.0,0,0,0,63,38,352162,0.0,0.0,0.0
50,60170304043.0,63,38,352162,63,38,352162,1.0,1.0,1.0
51,60170304033.0,0,0,0,124,0,424,0.0,nan,0.0
51,60170304041.0,70,0,424,124,0,424,0.5645161290322581,nan,1.0
51,60170304042.0,54,0,0,124,0,424,0.43548387096774194,nan,0.0
52,60170304033.0,1,0,0,166,0,0,0.006024096385542169,nan,nan
52,60170304042.0,165,0,0,166,0,0,0.9939759036144579,nan,nan
53,60170304032.0,1,0,0,358,0,0,0.002793296089385475,nan,nan
53,60170304033.0,357,0,0,358,0,0,0.9972067039106145,nan,nan
54,60170304021.0,610,16,2031,655,16,2031,0.9312977099236641,1.0,1.0
54,60170304023.0,27,0,0,655,16,2031,0.04122137404580153,0.0,0.0
54,60170305024.0,18,0,0,655,16,2031,0.02748091603053435,0.0,0.0
55,60170305024.0,0,0,0,0,0,0,nan,nan,nan
56,60170304023.0,356,0,35101,356,0,35101,1.0,nan,1.0
57,60170304023.0,30,0,97902,30,0,97902,1.0,nan,1.0
57,60170304024.0,0,0,0,30,0,97902,0.0,nan,0.0
58,60170304023.0,0,0,0,650,0,402864,0.0,nan,0.0
58,60170304024.0,647,0,186546,650,0,402864,0.9953846153846154,nan,0.4630495651137853
58,60170304025.0,3,0,216318,650,0,402864,0.004615384615384616,nan,0.5369504348862147
59,60170304024.0,198,0,12859,567,14,20312,0.3492063492063492,0.0,0.6330740448995668
59,60170304025.0,369,14,7453,567,14,20312,0.6507936507936508,1.0,0.36692595510043324
60,60170304022.0,559,79,58555,559,79,58555,1.0,1.0,1.0
61,60170304022.0,17,23,238570,17,23,238570,1.0,1.0,1.0
62,60170304022.0,281,0,40497,281,0,40497,1.0,nan,1.0
63,60170305042.0,0,0,0,0,0,0,nan,nan,nan
63,60170305071.0,0,0,0,0,0,0,nan,nan,nan
64,60170305042.0,0,0,0,1,0,0,0.0,nan,nan
64,60170305071.0,1,0,0,1,0,0,1.0,nan,nan
65,60170305042.0,358,0,0,358,0,0,1.0,nan,nan
66,60170305042.0,239,0,0,239,0,0,1.0,nan,nan
67,60170305041.0,231,0,0,231,0,0,1.0,nan,nan
68,60170305041.0,137,0,0,137,0,0,1.0,nan,nan
69,60170302011.0,0,0,0,61,0,0,0.0,nan,nan
69,60170305041.0,61,0,0,61,0,0,1.0,nan,nan
70,60170305041.0,190,0,0,190,0,0,1.0,nan,nan
70,60170305043.0,0,0,0,190,0,0,0.0,nan,nan
71,60170305041.0,64,0,0,64,0,0,1.0,nan,nan
72,60170305071.0,0,0,0,0,0,0,nan,nan,nan
73,60170305071.0,0,0,0,0,0,0,nan,nan,nan
74,60170305071.0,0,0,0,0,0,0,nan,nan,nan
75,60170305071.0,118,0,0,911,0,14294,0.12952799121844127,nan,0.0
75,60170305072.0,360,0,0,911,0,14294,0.3951701427003293,nan,0.0
75,60170305073.0,433,0,14294,911,0,14294,0.47530186608122943,nan,1.0
76,60170304022.0,0,0,0,280,0,0,0.0,nan,nan
76,60170305043.0,95,0,0,280,0,0,0.3392857142857143,nan,nan
76,60170305072.0,185,0,0,280,0,0,0.6607142857142857,nan,nan
77,60170305042.0,0,0,0,53,0,0,0.0,nan,nan
77,60170305071.0,53,0,0,53,0,0,1.0,nan,nan
78,60170305041.0,10,0,0,409,0,0,0.02444987775061125,nan,nan
78,60170305042.0,4,0,0,409,0,0,0.009779951100244499,nan,nan
78,60170305043.0,395,0,0,409,0,0,0.9657701711491442,nan,nan
79,60170305041.0,109,0,0,320,0,0,0.340625,nan,nan
79,60170305043.0,211,0,0,320,0,0,0.659375,nan,nan
80,60170304022.0,1,0,0,1,0,0,1.0,nan,nan
80,60170305043.0,0,0,0,1,0,0,0.0,nan,nan
81,60170304022.0,0,0,0,0,0,0,nan,nan,nan
82,60170304025.0,10,0,46536,10,0,46536,1.0,nan,1.0
83,60170304025.0,32,0,0,32,0,0,1.0,nan,nan
84,60170305073.0,1,0,14464,1,0,14464,1.0,nan,1.0
85,60170305071.0,59,0,14122,79,0,14222,0.7468354430379747,nan,0.9929686401350021
85,60170305073.0,20,0,100,79,0,14222,0.25316455696202533,nan,0.00703135986499789
86,60170305071.0,79,0,81892,79,0,81892,1.0,nan,1.0
87,60170305071.0,22,0,0,22,0,0,1.0,nan,nan
88,60170305071.0,62,0,0,62,0,0,1.0,nan,nan
89,60170305061.0,13,0,0,13,0,0,1.0,nan,nan
90,60170305061.0,18,0,0,18,0,0,1.0,nan,nan
91,60170305061.0,251,0,0,251,0,0,1.0,nan,nan
92,60170305061.0,454,0,0,454,0,0,1.0,nan,nan
93,60170305061.0,3,0,977,3,0,977,1.0,nan,1.0
94,60170305021.0,23,0,0,23,0,0,1.0,nan,nan
95,60170305021.0,443,0,0,786,0,0,0.5636132315521628,nan,nan
95,60170305022.0,343,0,0,786,0,0,0.43638676844783714,nan,nan
96,60170305023.0,21,0,80411,21,0,80411,1.0,nan,1.0
97,60170305023.0,523,0,0,523,0,0,1.0,nan,nan
98,60170305023.0,0,0,0,0,0,0,nan,nan,nan
99,60170305022.0,2,0,0,4,0,0,0.5,nan,nan
99,60170305024.0,2,0,0,4,0,0,0.5,nan,nan
100,60170305021.0,185,0,0,509,0,0,0.36345776031434185,nan,nan
100,60170305022.0,90,0,0,509,0,0,0.17681728880157171,nan,nan
100,60170305024.0,232,0,0,509,0,0,0.45579567779960706,nan,nan
100,60170320022.0,2,0,0,509,0,0,0.003929273084479371,nan,nan
101,60170305024.0,0,0,0,0,0,0,nan,nan,nan
102,60170305024.0,103,0,0,103,0,0,1.0,nan,nan
103,60170320022.0,31,71,0,31,71,0,1.0,1.0,nan
104,60170320022.0,0,0,0,0,0,0,nan,nan,nan
105,60170305024.0,0,0,0,0,0,0,nan,nan,nan
105,60170320022.0,0,0,0,0,0,0,nan,nan,nan
106,60170320022.0,0,0,0,0,0,0,nan,nan,nan
107,60170320021.0,39,0,0,44,0,0,0.8863636363636364,nan,nan
107,60170320022.0,5,0,0,44,0,0,0.11363636363636363,nan,nan
108,60170320021.0,47,0,0,164,0,0,0.2865853658536585,nan,nan
108,60170320022.0,117,0,0,164,0,0,0.7134146341463414,nan,nan
109,60170320022.0,27,0,0,27,0,0,1.0,nan,nan
110,60170320022.0,17,0,0,17,0,0,1.0,nan,nan
111,60170320021.0,14,0,0,39,0,0,0.358974358974359,nan,nan
111,60170320022.0,25,0,0,39,0,0,0.6410256410256411,nan,nan
112,60170320021.0,0,0,0,0,0,0,nan,nan,nan
113,60170320021.0,0,0,0,0,0,0,nan,nan,nan
114,60170320021.0,136,0,0,136,0,0,1.0,nan,nan
115,60170320021.0,42,0,0,42,0,0,1.0,nan,nan
116,60170320021.0,0,0,0,0,0,0,nan,nan,nan
117,60170320021.0,22,0,0,22,0,0,1.0,nan,nan
118,60170320021.0,1,0,0,1,0,0,1.0,nan,nan
119,60170320021.0,0,0,0,0,0,0,nan,nan,nan
120,60170320021.0,15,0,0,15,0,0,1.0,nan,nan
121,60170320021.0,14,0,0,14,0,0,1.0,nan,nan
122,60170320021.0,299,0,0,299,0,0,1.0,nan,nan
123,60170320021.0,0,0,0,0,0,0,nan,nan,nan
124,60170320021.0,277,0,0,277,0,0,1.0,nan,nan
125,60170320021.0,64,22,9136,64,22,9136,1.0,1.0,1.0
126,60170320021.0,0,0,0,0,0,0,nan,nan,nan
127,60170320011.0,0,0,0,0,0,0,nan,nan,nan
127,60170320021.0,0,0,0,0,0,0,nan,nan,nan
128,60170320011.0,3,0,0,3,0,0,1.0,nan,nan
128,60170320021.0,0,0,0,3,0,0,0.0,nan,nan
129,60170320011.0,125,0,0,125,0,0,1.0,nan,nan
130,60170320011.0,958,0,0,958,0,0,1.0,nan,nan
131,60170320011.0,89,19,9604,92,19,9604,0.967391304347826,1.0,1.0
131,60610223002.0,3,0,0,92,19,9604,0.03260869565217391,0.0,0.0
132,60170320022.0,201,0,0,201,0,0,1.0,nan,nan
133,60610223002.0,59,30,9717,59,30,9717,1.0,1.0,1.0
134,60170320011.0,0,0,0,551,0,0,0.0,nan,nan
134,60610223002.0,551,0,0,551,0,0,1.0,nan,nan
135,60610223002.0,46,0,2260,46,0,2260,1.0,nan,1.0
136,60610223002.0,186,0,0,186,0,0,1.0,nan,nan
137,60610223002.0,112,0,10068,112,0,10068,1.0,nan,1.0
138,60610223002.0,0,0,1808,0,0,1808,nan,nan,1.0
139,60610223001.0,13,0,4903,98,33,75737,0.1326530612244898,0.0,0.06473718261879927
139,60610223002.0,85,33,70834,98,33,75737,0.8673469387755102,1.0,0.9352628173812008
140,60610223001.0,0,0,0,5,0,0,0.0,nan,nan
140,60610223002.0,5,0,0,5,0,0,1.0,nan,nan
141,60610223001.0,333,9,0,333,9,0,1.0,1.0,nan
142,60610221002.0,1,0,0,87,0,0,0.011494252873563218,nan,nan
142,60610223001.0,86,0,0,87,0,0,0.9885057471264368,nan,nan
143,60610221002.0,115,0,0,116,0,0,0.9913793103448276,nan,nan
143,60610223001.0,1,0,0,116,0,0,0.008620689655172414,nan,nan
144,60610221002.0,193,0,0,193,0,0,1.0,nan,nan
145,60610221001.0,0,0,0,0,0,0,nan,nan,nan
145,60610221002.0,0,0,0,0,0,0,nan,nan,nan
146,60610221002.0,0,0,0,0,0,0,nan,nan,nan
147,60610221002.0,95,0,0,95,0,0,1.0,nan,nan
148,60610221001.0,356,0,0,356,0,0,1.0,nan,nan
148,60610221002.0,0,0,0,356,0,0,0.0,nan,nan
149,60610221001.0,606,45,18969,609,45,18969,0.9950738916256158,1.0,1.0
149,60610221002.0,3,0,0,609,45,18969,0.0049261083743842365,0.0,0.0
149,60610222002.0,0,0,0,609,45,18969,0.0,0.0,0.0
150,60610221001.0,0,0,0,0,0,0,nan,nan,nan
151,60610221001.0,1,0,0,307,0,0,0.003257328990228013,nan,nan
151,60610222001.0,135,0,0,307,0,0,0.43973941368078173,nan,nan
151,60610222002.0,171,0,0,307,0,0,0.5570032573289903,nan,nan
152,60610222002.0,49,165,45196,49,165,45196,1.0,1.0,1.0
153,60610222001.0,52,0,10943,211,0,35695,0.24644549763033174,nan,0.30656954755568006
153,60610222002.0,159,0,24752,211,0,35695,0.7535545023696683,nan,0.6934304524443199
154,60610222001.0,273,0,11326,273,0,11326,1.0,nan,1.0
155,60610222001.0,31,0,35156,32,46,151234,0.96875,0.0,0.2324609545472579
155,60610222002.0,1,46,116078,32,46,151234,0.03125,1.0,0.7675390454527421
156,60610222001.0,5,0,0,5,0,0,1.0,nan,nan
157,60610222001.0,3,33,139762,24,93,188314,0.125,0.3548387096774194,0.7421753029514534
157,60610222002.0,21,60,48552,24,93,188314,0.875,0.6451612903225806,0.2578246970485466
