Jurisdiction,Unit_Pool,Future_Units
CSLT,Bonus Unit,89
CSLT,General,429
DG,Bonus Unit,67
DG,General,169
EL,General,319
PL,General,602
PL,Bonus Unit,41
WA,General,212
WA,Bonus Unit,120
TRPA,General,1174
TRPA,Bonus Unit,947
TRPA,ADU,150
