Jurisdiction,Unit_Pool,Future_Units
CSLT,Bonus Unit,89
CSLT,General,395
DG,Bonus Unit,67
DG,General,160
EL,General,281
PL,Bonus Unit,41
PL,General,582
TRPA,Achievable Bonus,0
TRPA,Achievable General,0
TRPA,ADU,110
TRPA,Affordable,0
TRPA,Affordable by Design,0
TRPA,Bonus Unit,388
TRPA,General,948
TRPA,JADU,0
TRPA,Moderate,0
WA,Bonus Unit,120
WA,General,196
