Year,Residential_Units,Percent_Change,Difference
2012,47153,,
2018,47262,0.23116238627447494,109
2019,47334,0.15234226228260095,72
2020,47561,0.47957071027169285,227
2021,47665,0.21866655452997819,104
2022,47764,0.20769956991504301,99
2023,47828,0.13399212796247895,64
