TAZ,TRPAID,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,Total_Res_Units,Total_TA_Units,Total_CommercialFloorArea_SqFt,Residential_Units_Proportion,TouristAccommodation_Units_Proportion,CommercialFloorArea_SqFt_Proportion
263,3203100330722020,0,6,0,0,6,0,0.0,1.0,0.0
264,3203100330622020,4,0,0,218,476,11442,0.01834862385321101,0.0,0.0
264,3203100330712020,214,476,11442,218,476,11442,0.981651376146789,1.0,1.0
265,3203100330712020,14,0,228393,14,0,228393,1.0,0.0,1.0
266,3203100331022020,1,0,135587,1,0,135587,1.0,0.0,1.0
267,3203100331012020,0,0,0,562,0,53251,0.0,0.0,0.0
267,3203100331022020,562,0,53251,562,0,53251,1.0,0.0,1.0
268,3203100331012020,2,0,0,5,0,0,0.4,0.0,0.0
268,3203100331022020,3,0,0,5,0,0,0.6,0.0,0.0
269,3203100330822020,0,0,0,445,21,0,0.0,0.0,0.0
269,3203100331012020,445,21,0,445,21,0,1.0,1.0,0.0
270,3203100331012020,294,0,0,418,0,0,0.7033492822966507,0.0,0.0
270,3203100331112020,54,0,0,418,0,0,0.1291866028708134,0.0,0.0
270,3203100331122020,70,0,0,418,0,0,0.1674641148325359,0.0,0.0
271,3203100331122020,52,0,0,52,0,0,1.0,0.0,0.0
272,3203100331122020,168,0,155164,168,0,155164,1.0,0.0,1.0
273,3203100331122020,468,93,8521,468,93,8521,1.0,1.0,1.0
274,3203100330512020,12,0,0,594,0,0,0.020202020202020204,0.0,0.0
274,3203100331112020,582,0,0,594,0,0,0.9797979797979798,0.0,0.0
275,3203100330622020,60,0,0,60,0,0,1.0,0.0,0.0
276,3203100330622020,634,0,3479,634,0,3479,1.0,0.0,1.0
277,3203100330612020,52,0,73270,150,0,73270,0.3466666666666667,0.0,1.0
277,3203100330622020,98,0,0,150,0,73270,0.6533333333333333,0.0,0.0
278,3203100330612020,267,0,34910,287,0,34910,0.9303135888501742,0.0,1.0
278,3203100330622020,20,0,0,287,0,34910,0.06968641114982578,0.0,0.0
279,3203100330612020,112,0,147104,131,0,147104,0.8549618320610687,0.0,1.0
279,3203100330622020,19,0,0,131,0,147104,0.1450381679389313,0.0,0.0
280,3203100330512020,0,0,69383,2,0,69383,0.0,0.0,1.0
280,3203100330612020,2,0,0,2,0,69383,1.0,0.0,0.0
281,3203100330512020,129,0,10098,146,0,12222,0.8835616438356164,0.0,0.8262150220913107
281,3203100330612020,17,0,2124,146,0,12222,0.11643835616438356,0.0,0.17378497790868924
282,3203100330512020,261,0,18684,261,0,18684,1.0,0.0,1.0
283,3203100330512020,306,0,0,306,0,0,1.0,0.0,0.0
284,3203100330512020,0,0,19497,0,0,19497,0.0,0.0,1.0
285,3203100330822020,0,0,0,0,0,0,0.0,0.0,0.0
286,3203100330822020,183,0,0,183,0,0,1.0,0.0,0.0
287,3203100330812020,12,0,0,504,0,0,0.023809523809523808,0.0,0.0
287,3203100330822020,492,0,0,504,0,0,0.9761904761904762,0.0,0.0
288,3203100330832020,14,0,0,14,0,0,1.0,0.0,0.0
289,3203100330612020,26,0,0,98,0,10032,0.2653061224489796,0.0,0.0
289,3203100330832020,72,0,10032,98,0,10032,0.7346938775510204,0.0,1.0
290,3203100330512020,8,0,0,8,0,0,1.0,0.0,0.0
291,3203100330812020,545,0,0,686,0,0,0.7944606413994169,0.0,0.0
291,3203100330822020,79,0,0,686,0,0,0.1151603498542274,0.0,0.0
291,3203100330832020,62,0,0,686,0,0,0.09037900874635568,0.0,0.0
292,3203100330812020,3,0,0,10,0,0,0.3,0.0,0.0
292,3203100330832020,7,0,0,10,0,0,0.7,0.0,0.0
293,3203100330832020,137,0,0,137,0,0,1.0,0.0,0.0
294,3203100330832020,183,0,0,183,0,0,1.0,0.0,0.0
295,3203100330832020,15,104,146525,15,104,146525,1.0,1.0,1.0
296,3203100330832020,79,19,12328,79,19,12328,1.0,1.0,1.0
297,3203100330832020,9,186,0,9,186,0,1.0,1.0,0.0
