TAZ,persons_per_occ_unit
109,2.0096894131602103
110,2.205150654250591
111,2.0096894131602103
112,2.2694490261075932
113,2.53493440330438
114,2.4913642267065357
115,2.571640481295056
116,2.571640481295056
117,2.4779819699392487
118,2.6192634531708903
119,2.1288933750709527
120,1.971591035659543
121,1.9891837937165862
122,2.6192634531708903
123,2.466596696608277
124,3.247593617489591
125,2.695460208172226
126,2.2823370326585772
127,1.9620664412843758
128,1.9620664412843758
129,1.9620664412843758
130,2.6192634531708903
131,1.9620664412843758
132,1.9620664412843758
133,2.6192634531708903
134,2.40301095387649
135,2.695460208172226
136,2.670696262796792
137,1.9388502424949072
138,1.962854683577493
139,1.8641328644664477
140,2.1095362202964942
141,2.1144599512870466
142,2.67850034856907
143,2.0175476119500133
144,2.263930070936942
145,2.1659327592095363
146,2.0984665698987452
147,2.317287416605786
148,1.381066184399197
149,2.374618846101527
150,2.143909559182677
151,2.400887970540253
152,2.0971251895242426
153,2.2665725751285177
154,1.7243563097115144
155,2.0573123850360453
156,2.1239845456622133
157,2.126491017866204
158,2.1936359632967277
159,2.173618438445407
160,1.6572794212790363
161,1.6572794212790363
162,1.6572794212790363
163,1.5530101775929988
164,1.9765175499915264
165,1.4477383450253651
166,1.4477383450253651
167,2.8478537181748957
168,2.8478537181748957
169,2.836781377213765
170,2.8402754539546544
171,2.8478537181748957
172,2.1144599512870466
173,2.1144599512870466
174,2.1144599512870466
175,2.4881937554436764
176,2.258167973374185
177,2.1047973193122393
178,2.2723659256449014
179,2.491888772055103
180,1.9239680637837087
181,1.6572794212790363
182,2.1525583287877144
183,2.1525583287877144
184,2.800230746299061
185,2.3073329873841755
186,2.1144599512870466
187,2.1144599512870466
188,2.1144599512870466
189,2.743083180048061
190,2.7430831800480595
191,2.74308318004806
192,2.74308318004806
193,2.74308318004806
194,2.1430337344125467
195,2.2560728764474947
196,2.0001648187850436
197,2.0001648187850436
198,2.0001648187850436
199,2.2001813006635484
200,2.1572284524813443
201,2.0573123850360453
202,2.0573123850360453
203,1.9334926581588754
204,1.9334926581588754
205,1.978518013386937
206,1.9334926581588754
207,1.8106755201633025
208,1.8874495953026187
209,1.9334926581588754
210,1.9334926581588754
211,1.8629859205764712
212,1.7906237425313722
213,1.7906237425313722
214,1.790623742531372
215,1.7906237425313722
216,1.7906237425313722
