taz,Alternative_1_total_residential_units,Alternative_1_total_occ_units,Alternative_1_occ_units_low_inc,Alternative_1_occ_units_med_inc,Alternative_1_occ_units_high_inc,Alternative_1_total_persons,Alternative_2_total_residential_units,Alternative_2_total_occ_units,Alternative_2_occ_units_low_inc,Alternative_2_occ_units_med_inc,Alternative_2_occ_units_high_inc,Alternative_2_total_persons,Alternative_3_total_residential_units,Alternative_3_total_occ_units,Alternative_3_occ_units_low_inc,Alternative_3_occ_units_med_inc,Alternative_3_occ_units_high_inc,Alternative_3_total_persons,diff_Alternative_3_vs_Alternative_2_total_residential_units,diff_Alternative_3_vs_Alternative_2_total_occ_units,diff_Alternative_3_vs_Alternative_2_occ_units_low_inc,diff_Alternative_3_vs_Alternative_2_occ_units_med_inc,diff_Alternative_3_vs_Alternative_2_occ_units_high_inc,diff_Alternative_3_vs_Alternative_2_total_persons
269,183.0,165,157,6,2,347,183.0,165,151,6,8,347,183.0,170,157,6,7,358,0.0,5,6,0,-1,11
270,50.0,19,12,6,1,38,52.0,21,9,7,5,42,50.0,20,12,6,2,40,-2.0,-1,3,-1,-3,-2
271,227.0,76,46,23,7,153,237.0,85,39,28,18,172,227.0,78,46,25,7,158,-10.0,-7,7,-3,-11,-14
272,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
273,109.0,27,14,10,3,55,109.0,27,14,10,3,55,109.0,28,14,11,3,56,0.0,1,0,1,0,1
274,1033.0,375,130,69,176,939,1041.0,383,122,72,189,959,1033.0,387,130,75,182,970,-8.0,4,8,3,-7,11
275,29.0,7,1,2,4,15,29.0,7,1,2,4,15,29.0,7,1,2,4,15,0.0,0,0,0,0,0
276,114.0,48,13,8,27,107,115.0,49,10,8,31,109,114.0,50,13,9,28,110,-1.0,1,3,1,-3,1
277,51.0,14,4,4,6,25,51.0,14,3,4,7,25,51.0,14,4,4,6,26,0.0,0,1,0,-1,1
278,599.0,157,42,46,69,280,604.0,163,39,47,77,290,599.0,162,42,50,70,289,-5.0,-1,3,3,-7,-1
279,191.0,49,11,13,25,100,191.0,49,11,13,25,100,191.0,51,11,14,26,103,0.0,2,0,1,1,3
280,128.0,41,14,16,11,91,130.0,43,13,17,13,95,128.0,42,14,17,11,94,-2.0,-1,1,0,-2,-1
281,616.0,221,105,70,46,482,649.0,235,85,76,74,512,616.0,228,105,76,47,497,-33.0,-7,20,0,-27,-15
282,280.0,94,46,26,22,202,336.0,150,44,81,25,323,280.0,97,46,28,23,209,-56.0,-53,2,-53,-2,-114
283,228.0,88,49,24,15,189,230.0,90,43,25,22,194,228.0,91,49,26,16,196,-2.0,1,6,1,-6,2
284,128.0,42,17,15,10,92,128.0,42,15,15,12,92,128.0,43,17,16,10,95,0.0,1,2,1,-2,3
285,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
286,281.0,86,18,30,38,190,288.0,93,25,30,38,206,281.0,89,18,32,39,196,-7.0,-4,-7,2,1,-10
287,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
288,461.0,156,79,43,34,338,465.0,160,78,44,38,346,461.0,161,79,47,35,349,-4.0,1,1,3,-3,3
289,153.0,96,89,5,2,213,157.0,97,80,6,11,215,153.0,100,89,5,6,220,-4.0,3,9,-1,-5,5
290,1449.0,888,626,111,151,2101,1465.0,904,617,121,166,2139,1449.0,917,626,120,171,2169,-16.0,13,9,-1,5,30
291,238.0,141,91,15,35,332,241.0,144,87,16,41,339,238.0,146,91,16,39,342,-3.0,2,4,0,-2,3
292,188.0,110,71,11,28,258,194.0,116,72,12,32,273,188.0,114,71,12,31,267,-6.0,-2,-1,0,-1,-6
300,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
301,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
302,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
303,5.0,4,2,1,1,8,5.0,4,2,1,1,8,5.0,4,2,1,1,8,0.0,0,0,0,0,0
304,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
305,23.0,23,18,5,0,45,23.0,23,9,6,8,45,23.0,24,18,5,1,46,0.0,1,9,-1,-7,1
306,267.0,235,179,42,14,521,267.0,235,179,42,14,521,267.0,243,179,45,19,537,0.0,8,0,3,5,16
307,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
308,29.0,21,12,3,6,39,29.0,21,12,3,6,39,29.0,22,12,3,7,41,0.0,1,0,0,1,2
309,160.0,69,34,2,33,109,160.0,69,34,2,33,109,160.0,71,34,2,35,112,0.0,2,0,0,2,3
310,575.0,248,122,8,118,387,575.0,248,122,8,118,387,575.0,256,122,9,125,400,0.0,8,0,1,7,13
311,334.0,150,74,6,70,238,334.0,150,74,6,70,238,334.0,155,74,6,75,246,0.0,5,0,0,5,8
