key,value,State,FieldName
CLEAR,Clear,NV,Weather
CLOUDY,Cloudy,NV,Weather
SNOW,Snowing,NV,Weather
RAIN,Raining,NV,Weather
UNKNOWN,Unknown,NV,Weather
FOG,Fog/Smoke,NV,Weather
OTHER,Other,NV,Weather
WIND,Windy,NV,Weather
SMOKE,Fog/Smoke,NV,Weather
Clear,Clear,NV,Weather
Cloudy,Cloudy,NV,Weather
Snow,Snowing,NV,Weather
Rain,Raining,NV,Weather
Unknown,Unknown,NV,Weather
Fog,Fog/Smoke,NV,Weather
Other,Other,NV,Weather
Wind,Windy,NV,Weather
Smoke,Fog/Smoke,NV,Weather
