Jurisdiction,Unit_Pool,Future_Units
CSLT,Bonus Unit,109
CSLT,General,404
DG,Bonus Unit,67
DG,General,162
EL,General,317
PL,General,615
PL,Bonus Unit,41
WA,General,189
WA,Bonus Unit,120
TRPA,General,1250
TRPA,Bonus Unit,1111
TRPA,ADU,150
