Jurisdiction,Unit_Pool,Future_Units
CSLT,Bonus Unit,89
CSLT,General,395
DG,Bonus Unit,67
DG,General,160
EL,General,281
PL,General,41
PL,Bonus Unit,582
WA,General,196
WA,Bonus Unit,120
TRPA,General,948
TRPA,Bonus Unit,388
TRPA,ADU,110
TRPA,Affordable,1527
TRPA,Moderate,955
TRPA,Achievable Bonus,764
TRPA,Affordable by Design,382
TRPA,Achievable General,191
TRPA,JADU,792
