Jurisdiction,Unit_Pool,Future_Units
TRPA,ADU,110
CSLT,Bonus Unit,89
DG,Bonus Unit,67
PL,Bonus Unit,41
TRPA,Bonus Unit,388
WA,Bonus Unit,120
CSLT,General,395
DG,General,160
EL,General,281
PL,General,582
TRPA,General,948
WA,General,196
