taz,unit_diff,additional_jobs
111,1.0,0.5161
112,9.0,4.6452
113,7.0,3.6129
119,9.0,4.6452
121,2.0,1.0323
123,1.0,0.5161
124,4.0,2.0645
137,1.0,0.5161
139,2.0,1.0323
147,6.0,3.0968
149,4.0,2.0645
150,6.0,3.0968
154,9.0,4.6452
156,1.0,0.5161
157,2.0,1.0323
158,153.0,78.9677
159,4.0,2.0645
160,25.0,12.9032
162,2.0,1.0323
175,7.0,3.6129
185,1.0,0.5161
191,2.0,1.0323
197,5.0,2.5806
253,3.0,1.5484
257,2.0,1.0323
260,2.0,1.0323
264,1.0,0.5161
273,1.0,0.5161
281,1.0,0.5161
282,2.0,1.0323
289,21.0,10.8387
290,3.0,1.5484
291,1.0,0.5161
292,1.0,0.5161
306,1.0,0.5161
312,3.0,1.5484
313,8.0,4.129
361,15.0,7.7419
370,10.0,5.1613
376,1.0,0.5161
382,1.0,0.5161
383,1.0,0.5161
