TAZ,occ_unit_emp
109,4
111,21
112,24
113,3
119,2
123,9
124,8
125,3
137,3
138,1
139,5
147,6
148,8
149,17
150,5
154,7
156,1
158,36
159,18
160,32
162,2
175,17
185,2
186,1
191,3
197,9
253,4
254,1
257,4
260,2
264,1
273,0
281,5
282,30
289,1
290,14
292,1
306,1
312,8
313,8
360,1
361,4
362,8
365,5
370,7
371,3
373,1
376,12
377,3
379,3
380,5
382,2
383,3
384,5
396,1
