TAZ,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other,FORECASTED_RESIDENTIAL_UNITS,FORECASTED_OCCUPIED_UNITS,FORECASTED_RES_INCOME_LOW_UNITS,FORECASTED_RES_INCOME_MEDIUM_UNITS,FORECASTED_RES_INCOME_HIGH_UNITS,TOTAL_FORECASTED_UNITS_LOW_INCOME,TOTAL_FORECASTED_UNITS_MED_INCOME,TOTAL_FORECASTED_UNITS_HIGH_INCOME,TOTAL_FORECASTED_UNITS_OCCUPIED,TOTAL_FORECASTED_RESIDENTIAL_UNITS,FORECASTED_PERSONS,TOTAL_FORECASTED_PERSONS,NEW_OCCUPANCY_RATE
109,172,0.2437869822485207,42,35,0,7,2.1565560929127483,90,13,445,54,0,71,7.0,7.0,5.460000000000001,1.4,0.14,40.46,1.4,7.14,49.0,179.0,15.095892650389239,105.09589265038923,0.2737430167597765
110,22,0.338408130965601,11,8,1,2,2.3663015031445265,30,117,817,23,0,154,38.0,13.299999999999999,0.13299999999999998,0.26599999999999996,12.900999999999998,8.133,1.266,14.900999999999998,24.299999999999997,60.0,31.471809991822198,61.4718099918222,0.40499999999999997
111,216,0.2437869822485207,53,44,0,8,2.1565560929127483,114,73,251,4,0,88,1.0,0.7,0.45499999999999996,0.13999999999999999,0.105,44.455,0.13999999999999999,8.105,53.7,217.0,1.5095892650389238,115.50958926503893,0.24746543778801844
112,1137,0.5687899194032192,652,374,140,138,2.4352987545031533,1599,0,136,7,0,23,55.0,28.349999999999998,9.415999999999999,4.5120000000000005,14.421999999999999,383.416,144.512,152.422,680.35,1192.0,69.0407196901644,1668.0407196901645,0.570763422818792
113,435,0.5620063399539078,250,152,45,53,2.720185615141318,672,79,86,3,0,40,88.0,80.2,75.78,0.2,4.22,227.78,45.2,57.22,330.2,523.0,218.15888633433372,890.1588863343337,0.6313575525812619
114,309,0.5365767649153438,166,86,5,76,2.6734313608789084,443,0,24,0,0,18,1.0,0.7,0.45499999999999996,0.13999999999999999,0.105,86.455,5.14,76.105,166.7,310.0,1.8714019526152357,444.87140195261526,0.537741935483871
115,284,0.5158227848101266,146,87,26,34,2.7595741473291096,404,0,0,0,0,101,7.0,4.1499999999999995,2.3649999999999998,0.41999999999999993,1.365,89.365,26.42,35.365,150.15,291.0,11.452232711415803,415.45223271141583,0.515979381443299
116,4,0.5158227848101266,2,1,0,0,2.7595741473291096,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,6.0,0.5
117,0,0.5171527982206522,0,0,0,0,2.659071138259716,0,7,124,441,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
118,314,0.5510791366906475,173,65,66,42,2.8106773722796485,486,51,350,154,0,70,0.0,0.0,0.0,0.0,0.0,65.0,66.0,42.0,173.0,314.0,0.0,486.0,0.5509554140127388
