TAZ,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other,FORECASTED_RESIDENTIAL_UNITS,FORECASTED_OCCUPIED_UNITS,FORECASTED_RES_INCOME_LOW_UNITS,FORECASTED_RES_INCOME_MEDIUM_UNITS,FORECASTED_RES_INCOME_HIGH_UNITS,TOTAL_FORECASTED_UNITS_LOW_INCOME,TOTAL_FORECASTED_UNITS_MED_INCOME,TOTAL_FORECASTED_UNITS_HIGH_INCOME,TOTAL_FORECASTED_UNITS_OCCUPIED,TOTAL_FORECASTED_RESIDENTIAL_UNITS,FORECASTED_PERSONS,TOTAL_FORECASTED_PERSONS,NEW_OCCUPANCY_RATE
109,172,0.2437869822485207,42,35,0,7,2.142722664667412,90,13,445,54,0,71,111.0,102.54,38.7886,24.0712,39.6802,73.7886,24.0712,46.6802,144.54000000000002,283.0,219.71478203499643,309.71478203499646,0.5107420494699647
110,22,0.3384081309656009,11,8,1,2,2.35112264359241,29,117,817,23,0,154,159.0,146.08,55.6732,34.7644,55.6424,63.6732,35.7644,57.6424,157.08,181.0,343.4519957759793,372.4519957759793,0.8678453038674034
111,216,0.2437869822485207,53,44,0,8,2.142722664667412,113,73,251,4,0,88,89.0,78.46,25.5034,15.8728,37.083800000000004,69.5034,15.8728,45.083800000000004,131.45999999999998,305.0,168.11802026980513,281.11802026980513,0.4310163934426229
112,1137,0.5687899194032192,652,374,140,138,2.419677305709361,1589,0,136,7,0,23,169.0,138.29,48.8846,31.9432,57.462199999999996,422.8846,171.9432,195.4622,790.29,1306.0,334.6171746065475,1923.6171746065475,0.6051225114854517
113,435,0.5620063399539078,250,152,45,53,2.7027367332667787,668,79,86,3,0,40,126.0,111.94,87.9546,7.3632,16.6222,239.9546,52.3632,69.62219999999999,361.94,561.0,302.5443499218832,970.5443499218832,0.6451693404634581
114,309,0.5365767649153438,166,86,5,76,2.6562823884867277,440,0,24,0,0,18,50.0,42.38,15.5302,8.9584,17.8914,101.53020000000001,13.9584,93.8914,208.38,359.0,112.57324762406753,552.5732476240676,0.5804456824512535
115,284,0.5158227848101266,146,87,26,34,2.741872604076783,402,0,0,0,0,101,38.0,29.41,11.2624,5.8208,12.3268,98.2624,31.8208,46.3268,175.41,322.0,80.63847328589819,482.63847328589816,0.5447515527950311
116,4,0.5158227848101266,2,1,0,0,2.741872604076783,6,0,0,0,0,0,1.0,1.0,0.4,0.25,0.35,1.4,0.25,0.35,3.0,5.0,2.741872604076783,8.741872604076782,0.6
117,0,0.5171527982206522,0,0,0,0,2.642014280841888,0,7,124,441,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
118,314,0.5510791366906475,173,65,66,42,2.792648022670797,483,51,350,154,0,70,118.0,88.0,52.7,18.5,16.8,117.7,84.5,58.8,261.0,432.0,245.75302599503013,728.7530259950302,0.6041666666666666
