TAZ,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other,FORECASTED_RESIDENTIAL_UNITS,FORECASTED_OCCUPIED_UNITS,FORECASTED_RES_INCOME_LOW_UNITS,FORECASTED_RES_INCOME_MEDIUM_UNITS,FORECASTED_RES_INCOME_HIGH_UNITS,TOTAL_FORECASTED_UNITS_LOW_INCOME,TOTAL_FORECASTED_UNITS_MED_INCOME,TOTAL_FORECASTED_UNITS_HIGH_INCOME,TOTAL_FORECASTED_UNITS_OCCUPIED,TOTAL_FORECASTED_RESIDENTIAL_UNITS,FORECASTED_PERSONS,TOTAL_FORECASTED_PERSONS,NEW_OCCUPANCY_RATE
109,172,0.2437869822485207,42,35,0,7,2.142722664667412,90,13,445,54,0,71,57.0,50.85,19.2885,11.897,19.6645,54.2885,11.897,26.6645,92.85,229.0,108.9574474983379,198.9574474983379,0.40545851528384275
110,22,0.3384081309656009,11,8,1,2,2.35112264359241,29,117,817,23,0,154,51.0,51.0,20.400000000000002,12.75,17.849999999999998,28.400000000000002,13.75,19.849999999999998,62.0,73.0,119.90725482321292,148.90725482321292,0.8493150684931506
111,216,0.2437869822485207,53,44,0,8,2.142722664667412,113,73,251,4,0,88,82.0,52.849999999999994,23.766499999999997,10.493,18.5905,67.7665,10.493,26.5905,105.85,298.0,113.2428928276727,226.2428928276727,0.35520134228187916
112,1137,0.5687899194032192,652,374,140,138,2.419677305709361,1589,0,136,7,0,23,131.0,89.4,29.2985,20.287,39.814499999999995,403.2985,160.287,177.8145,741.4,1268.0,216.31915113041688,1805.319151130417,0.5847003154574132
113,435,0.5620063399539078,250,152,45,53,2.7027367332667787,668,79,86,3,0,40,110.0,92.5,80.131,2.912,9.456999999999999,232.131,47.912,62.457,342.5,545.0,250.00314782717703,918.003147827177,0.6284403669724771
114,309,0.5365767649153438,166,86,5,76,2.6562823884867277,440,0,24,0,0,18,30.0,18.4,7.004,3.788,7.608,93.004,8.788,83.608,184.4,339.0,48.875595948155784,488.87559594815576,0.543952802359882
115,284,0.5158227848101266,146,87,26,34,2.741872604076783,402,0,0,0,0,101,32.0,18.45,7.644,3.568,7.2379999999999995,94.644,29.568,41.238,164.45,316.0,50.587549545216646,452.58754954521663,0.5204113924050633
116,4,0.5158227848101266,2,1,0,0,2.741872604076783,6,0,0,0,0,0,1.0,1.0,0.29,0.18,0.53,1.29,0.18,0.53,3.0,5.0,2.741872604076783,8.741872604076782,0.6
117,0,0.5171527982206522,0,0,0,0,2.642014280841888,0,7,124,441,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
118,314,0.5510791366906475,173,65,66,42,2.792648022670797,483,51,350,154,0,70,0.0,0.0,0.0,0.0,0.0,65.0,66.0,42.0,173.0,314.0,0.0,483.0,0.5509554140127388
119,133,0.5422521442022019,72,37,21,13,2.2698174432096603,157,30,176,56,0,62,39.0,31.85,9.33,5.8100000000000005,16.71,46.33,26.810000000000002,29.71,103.85,172.0,72.29368556622768,229.29368556622768,0.6037790697674418
120,24,0.538732623758036,13,7,4,2,2.1021023297922,27,0,121,16,0,231,44.0,43.050000000000004,17.3565,10.703000000000001,14.990499999999999,24.3565,14.703000000000001,16.990499999999997,56.050000000000004,68.0,90.49550529755423,117.49550529755423,0.824264705882353
121,418,0.5397372774102531,226,127,62,37,2.120859656758241,477,0,8,0,0,3,7.0,3.75,0.603,1.376,1.771,127.603,63.376,38.771,229.75,425.0,7.953223712843403,484.9532237128434,0.5405882352941176
122,0,0.5510791366906475,0,0,0,0,2.792648022670797,0,0,0,0,0,0,2.0,0.7,0.20299999999999999,0.126,0.371,0.20299999999999999,0.126,0.371,0.7,2.0,1.9548536158695577,1.9548536158695577,0.35
123,587,0.6001650862572881,357,207,76,74,2.6298753488009687,929,0,2,0,0,19,50.0,33.25,12.4915,6.923,13.8355,219.4915,82.923,87.8355,390.25,637.0,87.4433553476322,1016.4433553476322,0.6126373626373627
124,368,0.6038269777737738,222,132,70,19,3.462571083997364,764,12,85,6,0,57,32.0,19.0,6.1255,4.821,8.0535,138.1255,74.821,27.0535,241.0,400.0,65.78885059594991,829.78885059595,0.6025
