Lighting_Raw,Lighting_Update,State
Dusk-Dawn,Dusk - Dawn,NV
Dusk-dawn,Dusk - Dawn,NV
Dark - street lights,Dark - Street Lights,NV
Dark - no street lights,Dark - No Street Lights,NV
Dark - Unknown Lighting,Dark - Unknown Lighting,NV
Not stated,Not Stated,NV
