TAZ,Residential_Units,adjusted_occupancy,adjusted_seasonal_rate,adjusted_high_income,adjusted_middle_income,adjusted_low_income,VHR_Count,occupancy,total_seasonal_units,adjusted_season_units,high_income,middle_income,low_income
9,325,0.24378698224852072,0.6828402366863905,0.16019417475728157,0.24271844660194175,0.5970873786407767,2.0,79.23076923076923,221.9230769230769,219.9230769230769,12.692307692307693,19.230769230769234,47.30769230769231
10,2,0.24378698224852072,0.6828402366863905,0.16019417475728157,0.24271844660194175,0.5970873786407767,1.0,0.48757396449704143,1.365680473372781,0.365680473372781,0.07810650887573965,0.1183431952662722,0.2911242603550296
11,285,0.24378698224852072,0.6828402366863905,0.16019417475728157,0.24271844660194175,0.5970873786407767,2.0,69.47928994082841,194.60946745562129,192.60946745562129,11.1301775147929,16.86390532544379,41.485207100591715
12,1107,0.5760223426259782,0.25649992802116756,0.36063670383501095,0.12936315110244004,0.510000145062549,6.0,637.6567332869579,283.94542031943246,277.94542031943246,229.9624224708092,82.48928433968904,325.20502647645964
13,452,0.575026117640183,0.40169569844292596,0.235929937845695,0.18041260568829265,0.5836574564660124,1.0,259.9118051733627,181.56645569620252,180.56645569620252,61.320976039913845,46.89136602047423,151.69946311297466
14,305,0.5369672372440485,0.36836253782266903,0.4622864061944631,0.1650793770408717,0.37263421676466524,8.0,163.7750073594348,112.35057403591405,104.35057403591405,75.71095957666486,27.035876189759673,61.02817159301026
15,281,0.5158227848101266,0.48417721518987344,0.2474437627811861,0.18200408997955012,0.5705521472392638,6.0,144.94620253164555,136.05379746835445,130.05379746835445,35.86603375527426,26.380801687763714,82.6993670886076
16,3,0.5158227848101266,0.48417721518987344,0.2474437627811861,0.18200408997955012,0.5705521472392638,,1.5474683544303796,1.4525316455696204,,0.3829113924050633,0.28164556962025317,0.8829113924050633
17,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
18,311,0.5510791366906475,0.40431654676258993,0.2819843342036554,0.4073107049608355,0.31070496083550914,,171.38561151079136,125.74244604316547,,48.32805755395683,69.80719424460432,53.250359712230214
19,101,0.5412403331820402,0.42854393672234853,0.25538350179665487,0.32122048837729067,0.42339600982605446,,54.665273651386066,43.2829376089572,,13.960609011763383,17.55960589957647,23.14505874004621
20,34,0.5392491467576792,0.4334470989761092,0.25,0.3037974683544304,0.4462025316455696,,18.334470989761094,14.737201365187714,,4.5836177474402735,5.5699658703071675,8.180887372013652
