TAZ,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other,FORECASTED_RESIDENTIAL_UNITS,FORECASTED_OCCUPIED_UNITS,FORECASTED_RES_INCOME_LOW_UNITS,FORECASTED_RES_INCOME_MEDIUM_UNITS,FORECASTED_RES_INCOME_HIGH_UNITS,TOTAL_FORECASTED_UNITS_LOW_INCOME,TOTAL_FORECASTED_UNITS_MED_INCOME,TOTAL_FORECASTED_UNITS_HIGH_INCOME,TOTAL_FORECASTED_UNITS_OCCUPIED,TOTAL_FORECASTED_RESIDENTIAL_UNITS,FORECASTED_PERSONS,TOTAL_FORECASTED_PERSONS,NEW_OCCUPANCY_RATE
109,172,0.2437869822485207,42,35,0,7,2.142722664667412,90,13,445,54,0,71,46.0,39.2,15.36,9.45,14.389999999999999,50.36,9.45,21.39,81.2,218.0,83.99472845496256,173.99472845496257,0.3724770642201835
110,22,0.3384081309656009,11,8,1,2,2.35112264359241,29,117,817,23,0,154,52.0,52.0,20.8,13.0,18.2,28.8,14.0,20.2,63.0,74.0,122.25837746680533,151.2583774668053,0.8513513513513513
111,216,0.2437869822485207,53,44,0,8,2.142722664667412,113,73,251,4,0,88,74.0,28.499999999999996,8.594999999999999,5.34,14.565,52.595,5.34,22.564999999999998,81.5,290.0,61.06759594302123,174.06759594302122,0.2810344827586207
112,1137,0.5687899194032192,652,374,140,138,2.419677305709361,1589,0,136,7,0,23,144.0,66.64999999999999,18.741,13.671999999999999,34.236999999999995,392.741,153.672,172.237,718.65,1281.0,161.2714924255289,1750.2714924255288,0.5610070257611242
113,435,0.5620063399539078,250,152,45,53,2.7027367332667787,668,79,86,3,0,40,120.0,92.10000000000001,79.35499999999999,2.42,10.325,231.355,47.42,63.325,342.1,555.0,248.92205313387035,916.9220531338703,0.6163963963963964
114,309,0.5365767649153438,166,86,5,76,2.6562823884867277,440,0,24,0,0,18,24.0,13.0,4.7139999999999995,2.648,5.638,90.714,7.648,81.638,179.0,333.0,34.53167105032746,474.5316710503275,0.5375375375375375
115,284,0.5158227848101266,146,87,26,34,2.741872604076783,402,0,0,0,0,101,30.0,17.099999999999998,7.1425,3.255,6.7025,94.1425,29.255,40.7025,163.1,314.0,46.886021529712984,448.886021529713,0.5194267515923566
116,4,0.5158227848101266,2,1,0,0,2.741872604076783,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,6.0,0.5
117,0,0.5171527982206522,0,0,0,0,2.642014280841888,0,7,124,441,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
118,314,0.5510791366906475,173,65,66,42,2.792648022670797,483,51,350,154,0,70,0.0,0.0,0.0,0.0,0.0,65.0,66.0,42.0,173.0,314.0,0.0,483.0,0.5509554140127388
119,133,0.5422521442022019,72,37,21,13,2.2698174432096603,157,30,176,56,0,62,35.0,24.6,8.1075,5.065,11.427499999999998,45.1075,26.065,24.4275,96.6,168.0,55.83750910295765,212.83750910295765,0.575
120,24,0.538732623758036,13,7,4,2,2.1021023297922,27,0,121,16,0,231,44.0,43.050000000000004,17.3565,10.703000000000001,14.990499999999999,24.3565,14.703000000000001,16.990499999999997,56.050000000000004,68.0,90.49550529755423,117.49550529755423,0.824264705882353
121,418,0.5397372774102531,226,127,62,37,2.120859656758241,477,0,8,0,0,3,7.0,3.75,0.603,1.376,1.771,127.603,63.376,38.771,229.75,425.0,7.953223712843403,484.9532237128434,0.5405882352941176
122,0,0.5510791366906475,0,0,0,0,2.792648022670797,0,0,0,0,0,0,2.0,0.7,0.20299999999999999,0.126,0.371,0.20299999999999999,0.126,0.371,0.7,2.0,1.9548536158695577,1.9548536158695577,0.35
123,587,0.6001650862572881,357,207,76,74,2.6298753488009687,929,0,2,0,0,19,38.0,22.2,8.485,4.57,9.145,215.485,80.57,83.145,379.2,625.0,58.383232743381505,987.3832327433815,0.60672
124,368,0.6038269777737738,222,132,70,19,3.462571083997364,764,12,85,6,0,57,26.0,13.65,4.024,3.508,6.117999999999999,136.024,73.508,25.118,235.65,394.0,47.264095296564015,811.264095296564,0.5980964467005077
125,285,0.4481546572934972,128,60,26,43,2.873888692421221,367,0,4,0,0,3,26.0,15.6,5.5225,3.445,6.632499999999999,65.5225,29.445,49.6325,143.6,311.0,44.832663601771046,411.83266360177106,0.46173633440514467
126,296,0.6312824693016833,185,105,11,69,2.4334184457871952,449,0,0,0,0,62,23.0,10.65,3.2239999999999998,2.008,5.418,108.224,13.008,74.418,195.65,319.0,25.91590644763363,474.91590644763363,0.6133228840125392
127,10,0.5392491467576792,5,3,1,1,2.091947246073397,11,0,0,0,0,207,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,10.0,0.0,11.0,0.5
128,0,0.5392491467576792,0,0,0,0,2.091947246073397,0,64,0,0,0,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
129,0,0.5392491467576792,0,0,0,0,2.091947246073397,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
130,0,0.5510791366906475,0,0,0,0,2.792648022670797,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
131,41,0.5392491467576792,22,13,6,4,2.091947246073397,46,0,0,0,0,375,21.0,21.0,21.0,0.0,0.0,34.0,6.0,4.0,43.0,62.0,43.93089216754134,89.93089216754134,0.6935483870967742
132,0,0.5392491467576792,0,0,0,0,2.091947246073397,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
133,118,0.5510791366906475,65,24,25,16,2.792648022670797,182,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,24.0,25.0,16.0,65.0,118.0,0.0,182.0,0.5508474576271186
134,382,0.5662615828499875,216,90,28,98,2.562080488954011,547,0,0,0,0,0,19.0,10.299999999999999,4.0815,2.113,4.1055,94.0815,30.113,102.1055,226.3,401.0,26.38942903622631,573.3894290362263,0.5643391521197008
135,135,0.4481546572934973,61,28,12,20,2.873888692421221,174,0,0,0,0,0,13.0,6.5,1.7834999999999999,1.107,3.6095,29.7835,13.107,23.6095,67.5,148.0,18.680276500737936,192.68027650073793,0.4560810810810811
