APN,TAU_Type,Name,Units
117-071-029,HotelMotel,,8
090-065-010,HotelMotel,,6
117-071-004,HotelMotel,,20
090-072-028,HotelMotel,,25
1319-30-629-000,HotelMotel,,18
1318-10-416-062,HotelMotel,,5
029-041-056,HotelMotel,,17
029-041-055,HotelMotel,,145
029-041-018,HotelMotel,,5
029-065-001,HotelMotel,,32
029-082-017,HotelMotel,,16
029-161-023,HotelMotel,,21
029-381-049,HotelMotel,,45
027-350-006,HotelMotel,,32
027-350-016,HotelMotel,,28
025-580-007,HotelMotel,,8
031-241-017,HotelMotel,,10
031-062-002,HotelMotel,,15
023-132-004,HotelMotel,,11
023-211-022,HotelMotel,,20
032-191-005,HotelMotel,,12
032-201-018,HotelMotel,,15
032-221-001,HotelMotel,,13
097-130-039,HotelMotel,,1
097-130-037,HotelMotel,,1
094-090-001,HotelMotel,,34
090-304-012,HotelMotel,,93
090-142-023,HotelMotel,,22
117-071-042,HotelMotel,,1
1319-30-616-000,HotelMotel,,29
1319-30-542-011,HotelMotel,,24
029-041-057,HotelMotel,,30
029-041-017,HotelMotel,,20
029-065-004,HotelMotel,,22
029-095-010,HotelMotel,,65
029-371-016,HotelMotel,,23
029-160-003,HotelMotel,,74
027-350-024,HotelMotel,,29
027-322-019,HotelMotel,,12
031-085-021,HotelMotel,,28
023-161-005,HotelMotel,,21
