,APN
0,125-244-24
1,023-732-025
2,1418-27-810-005
3,091-181-004
4,029-371-001
5,124-063-12
6,036-613-007
7,1318-03-111-015
8,132-240-18
9,018-030-012
10,130-083-09
11,033-864-018
12,080-115-005
13,015-103-004
14,033-705-004
15,034-382-026
16,083-360-046
17,027-364-013
18,034-084-005
19,080-081-022
20,023-781-006
21,112-280-001
22,126-172-07
23,132-201-02
24,090-242-005
25,083-490-029
26,1318-03-210-028
27,116-110-067
28,025-510-097
29,125-441-18
30,023-696-006
31,092-120-037
32,033-743-002
33,083-085-039
34,034-372-012
35,025-642-012
36,083-107-009
37,033-561-003
38,028-253-006
39,023-744-031
40,090-223-032
41,123-272-08
42,093-420-044
43,025-756-014
44,1319-19-715-000
45,090-192-017
46,025-541-003
47,090-134-058
48,034-653-004
49,029-062-032
50,085-303-002
51,116-110-019
52,029-415-005
53,016-332-029
54,023-442-009
55,031-079-021
56,1418-10-710-010
57,090-311-007
58,094-500-029
59,1318-09-701-002
60,117-100-083
61,1318-03-110-010
62,080-153-008
63,116-080-042
64,131-202-20
65,083-020-054
66,126-560-36
67,025-510-036
68,130-336-03
69,115-070-010
70,1319-30-710-011
71,034-512-012
72,033-233-018
73,1418-03-811-010
74,117-200-019
75,131-223-05
76,093-470-010
77,032-352-001
78,131-133-06
79,1418-34-112-009
80,026-094-012
81,116-030-007
82,023-950-004
83,1319-19-212-031
84,016-142-022
85,112-290-023
86,034-454-001
87,027-132-006
88,034-722-024
89,026-144-014
90,030-403-009
91,016-242-015
92,025-633-005
93,090-055-022
94,033-306-002
95,1318-15-820-001
96,1318-15-714-005
97,016-481-017
98,126-271-04
99,116-200-016
100,014-235-006
101,125-382-04
102,117-072-026
103,025-930-005
104,111-270-026
105,093-620-042
106,034-722-018
107,1319-07-002-018
108,085-040-027
109,034-692-025
110,022-171-040
111,033-481-001
112,125-151-04
113,111-210-012
114,083-191-010
115,090-174-023
116,094-190-011
117,1319-19-112-003
118,029-604-025
119,034-172-021
120,028-180-037
121,022-181-014
122,130-211-21
123,131-250-24
124,021-050-011
125,090-094-012
126,022-092-008
127,031-192-007
128,122-252-02
129,1318-26-510-006
130,018-310-001
131,033-351-003
132,1318-10-317-001
133,097-100-045
134,027-234-013
135,111-200-004
136,033-312-002
137,112-090-003
138,094-532-007
139,1418-34-211-019
140,1418-34-210-026
141,126-301-24
142,1318-16-710-007
143,127-100-26
144,094-520-001
145,034-112-026
146,032-252-030
147,035-151-001
