,APN
0,034-592-003
1,034-473-016
2,016-435-008
3,097-130-035
4,031-141-010
5,131-250-19
6,026-221-010
7,091-165-004
8,124-031-04
9,128-042-01
10,025-032-033
11,023-904-011
12,015-315-006
13,023-891-008
14,033-215-001
15,023-331-016
16,127-078-18
17,033-473-008
18,023-132-015
19,027-491-002
20,014-244-007
21,033-425-004
22,092-120-010
23,034-091-001
24,122-113-13
25,027-431-013
26,034-097-009
27,083-242-001
28,126-292-19
29,033-501-006
30,093-051-013
31,093-130-010
32,130-201-18
33,033-784-003
34,022-221-022
35,091-171-007
36,033-180-023
37,034-772-001
38,092-180-034
39,127-074-21
40,035-060-001
41,026-042-009
42,026-081-015
43,130-162-16
44,028-340-020
45,098-112-008
46,132-030-79
47,031-215-007
48,023-103-014
49,085-113-015
50,1318-24-710-003
51,023-904-014
52,033-213-007
53,031-114-010
54,023-773-021
55,013-020-001
56,023-555-005
57,036-551-002
58,126-294-58
59,029-105-021
60,036-582-006
61,090-174-036
62,123-272-10
63,097-245-027
64,083-108-004
65,016-071-013
66,031-322-011
67,126-082-30
68,1318-15-804-002
69,022-192-007
70,123-155-15
71,018-230-017
72,093-210-031
73,027-142-023
74,090-063-015
75,020-090-003
76,034-612-005
77,016-110-002
78,035-231-005
79,034-712-022
80,132-431-03
81,111-080-025
82,015-211-014
83,083-350-034
84,126-580-22
85,092-072-004
86,123-190-47
87,132-064-27
88,023-501-006
89,126-090-14
90,1418-34-110-046
91,1319-30-644-076
92,126-130-06
93,023-901-011
94,033-720-020
95,111-110-011
96,127-320-50
97,1318-23-410-059
98,117-100-070
99,036-544-007
100,1319-18-310-017
101,028-252-008
102,097-072-001
103,036-300-001
104,112-240-039
105,023-562-021
106,083-202-011
107,027-204-035
108,122-123-03
109,093-620-074
110,034-443-001
111,015-212-022
112,026-067-005
113,094-042-005
114,031-061-013
115,132-251-05
116,090-114-006
117,081-085-006
118,022-411-013
119,112-230-015
120,023-686-015
121,027-132-009
122,023-131-019
123,018-230-022
124,1319-19-710-042
125,031-155-004
126,090-223-003
127,123-142-09
128,034-295-007
129,032-390-005
130,124-500-27
131,015-203-018
132,025-891-022
133,083-095-002
134,022-322-031
135,1319-30-631-002
136,112-080-026
137,131-213-16
138,033-381-017
139,022-061-057
140,083-430-038
141,033-563-007
142,092-073-001
143,032-241-020
144,1418-10-710-006
145,025-510-002
146,031-103-022
147,125-161-01
148,1418-34-401-023
149,015-331-005
150,125-161-32
151,084-010-048
152,124-810-05
153,032-510-005
154,1319-30-110-001
155,111-140-034
156,098-312-011
157,083-230-078
158,023-645-023
159,131-231-05
160,036-530-020
161,1319-19-712-002
162,080-163-007
163,130-205-08
164,084-091-003
165,029-290-013
166,032-278-029
167,1418-10-601-001
168,081-081-004
169,083-078-011
170,111-280-042
171,034-586-005
172,098-240-009
173,023-830-007
174,031-213-006
175,129-390-12
176,1319-30-724-031
177,094-123-003
178,1318-25-111-015
179,083-390-039
180,032-313-021
181,093-480-038
182,111-120-022
183,085-010-013
184,092-120-025
185,023-757-008
186,126-130-07
187,1319-19-601-001
188,023-261-019
189,083-162-036
190,093-230-034
191,083-078-005
192,022-071-007
193,127-420-38
194,029-361-021
195,117-190-031
196,091-200-008
197,125-522-17
198,126-292-14
199,126-294-04
200,027-461-001
201,034-252-012
202,036-210-005
203,116-190-010
204,127-072-24
205,117-150-002
206,093-180-018
207,116-100-002
208,124-043-45
209,025-763-014
210,031-212-014
211,117-040-011
212,084-182-003
213,098-022-013
214,031-186-014
215,095-490-046
216,023-341-015
217,090-380-006
218,028-153-020
219,033-353-001
220,023-141-003
221,036-572-001
222,034-111-007
223,112-090-008
224,027-154-017
225,027-621-031
226,1319-30-724-038
227,126-550-01
228,1318-03-110-016
229,097-060-027
230,032-390-028
231,126-430-19
232,093-540-007
233,093-310-014
234,034-561-008
235,036-230-003
236,1318-09-811-008
237,014-352-003
238,034-511-003
239,025-376-011
240,083-253-015
241,032-282-049
242,035-283-032
243,125-503-29
244,131-160-04
245,093-194-002
246,031-194-016
247,033-372-004
248,034-661-004
249,116-200-009
250,033-245-005
251,117-080-056
252,033-424-006
253,022-301-049
254,031-205-003
255,090-030-002
256,014-245-001
257,098-231-029
258,1318-23-610-047
259,1418-03-402-001
260,027-521-006
261,033-441-026
262,023-645-022
263,023-950-008
264,033-201-017
265,1318-09-810-051
266,036-545-005
267,027-101-032
268,1319-30-101-003
269,084-140-024
270,1319-30-542-023
271,125-173-07
272,036-554-010
273,081-091-005
274,130-211-24
275,033-421-009
276,126-152-15
277,131-140-22
278,1319-30-527-005
279,025-381-009
280,007-021-15
281,092-051-004
282,031-131-019
283,016-443-002
284,084-121-009
285,083-253-006
286,033-100-019
287,029-064-007
288,033-313-003
289,132-251-32
290,027-231-047
291,1318-22-312-000
292,026-221-042
293,1318-24-711-005
294,091-220-015
295,015-252-007
296,126-295-14
297,023-172-031
298,035-090-007
299,092-024-001
300,015-034-017
301,122-252-07
302,033-873-028
303,124-062-01
304,033-713-005
305,032-354-008
306,123-170-02
307,111-130-013
308,022-421-068
309,130-213-10
310,016-284-003
311,038-030-044
312,030-030-001
313,031-084-009
314,116-100-054
315,126-251-34
316,015-370-005
317,034-192-014
318,083-162-014
319,033-353-007
320,023-111-030
321,014-352-005
322,033-422-018
323,030-362-017
324,1318-26-515-002
325,029-106-003
326,1319-30-636-000
327,126-152-01
328,081-062-013
329,1318-03-212-033
330,080-101-008
331,030-380-047
332,1318-23-216-009
333,093-330-035
334,132-030-04
335,022-342-005
336,097-073-011
337,124-031-16
338,034-753-015
339,027-720-001
340,029-093-012
341,036-190-003
342,080-193-010
343,081-072-003
344,091-186-004
345,132-211-08
346,033-752-010
347,026-139-010
348,025-613-009
349,085-215-013
350,033-272-008
351,032-313-003
352,025-791-007
353,036-541-007
354,092-154-008
355,031-221-015
356,026-103-013
357,122-510-26
358,1418-27-810-053
359,031-400-001
360,112-290-029
361,032-341-006
362,1418-27-710-007
363,025-226-006
364,094-053-006
365,122-202-08
366,016-563-001
367,034-572-004
368,014-244-010
369,123-271-09
370,129-500-05
371,093-520-016
372,090-203-008
373,094-253-020
374,034-714-001
375,127-330-12
376,026-222-010
377,025-343-004
378,094-533-016
379,129-180-04
380,127-320-32
381,014-283-009
382,117-090-078
383,031-351-008
384,129-301-03
385,032-279-008
386,094-180-023
387,032-241-007
388,083-350-041
