,APN
0,090-174-007
1,031-146-004
2,034-714-001
3,080-182-003
4,098-033-002
5,1318-23-814-009
6,033-160-006
7,084-093-004
8,085-070-001
9,094-253-019
10,033-591-009
11,080-152-011
12,116-070-052
13,034-772-019
14,097-073-015
15,1318-10-416-020
16,129-220-02
17,093-420-001
18,094-271-003
19,033-381-018
20,023-771-012
21,111-120-021
22,128-051-03
23,1318-03-212-025
24,032-279-002
25,031-143-017
26,127-076-11
27,033-814-011
28,025-372-014
29,1318-15-611-011
30,880-355-067
31,029-402-001
32,127-530-24
33,125-482-29
34,1318-23-314-008
35,084-103-017
36,031-370-015
37,023-684-005
38,126-271-21
39,093-111-012
40,095-500-034
41,1318-23-810-011
42,080-132-022
43,093-010-015
44,034-131-004
45,015-400-001
46,094-534-019
47,127-060-16
48,029-510-013
49,027-144-008
50,028-311-008
51,026-075-009
52,017-021-009
53,022-381-005
54,124-500-17
55,117-190-023
56,095-110-002
57,025-432-028
58,093-243-001
59,007-021-17
60,014-091-005
61,112-190-047
62,128-080-04
63,124-071-27
64,028-121-021
65,094-150-005
66,093-420-029
67,023-684-010
68,1318-10-415-010
69,1318-10-417-028
70,090-174-066
71,1319-30-532-015
72,093-420-053
73,092-082-011
74,112-270-032
75,027-357-013
76,028-152-024
77,016-372-006
78,093-310-007
79,125-563-01
80,027-075-016
81,031-152-015
82,094-235-002
83,026-063-012
84,093-051-006
85,1418-11-110-012
86,022-042-001
87,092-211-003
88,015-213-023
89,034-613-005
90,031-182-009
91,023-441-006
92,023-731-005
93,1318-26-101-012
94,093-260-006
95,093-400-005
96,1318-23-610-038
97,123-231-09
98,025-821-006
99,092-130-011
100,090-126-007
101,117-050-003
102,1418-34-210-006
103,031-284-001
104,084-074-005
105,025-302-006
106,035-182-005
107,034-511-002
108,032-278-040
109,034-722-027
110,030-351-006
111,125-223-09
112,129-210-00
113,126-500-05
114,022-261-005
115,034-211-005
116,098-031-006
117,015-101-002
118,1319-19-101-001
119,094-532-026
120,016-435-004
121,036-544-002
122,023-502-029
123,021-130-001
124,032-251-027
125,122-135-08
126,022-344-020
127,014-190-003
128,034-661-001
129,023-231-012
130,031-321-009
131,033-703-002
132,023-593-013
133,022-051-046
134,015-211-009
135,130-202-13
136,124-042-11
137,031-273-002
138,023-821-031
139,033-742-015
140,126-130-05
141,127-320-48
142,1418-34-310-005
143,034-263-003
144,130-180-01
145,026-089-006
146,129-251-08
147,016-491-001
148,092-023-006
149,127-320-09
150,025-763-003
151,028-081-014
152,130-241-07
153,085-142-001
154,033-643-010
155,1319-30-519-017
156,035-285-006
157,016-563-009
158,129-650-14
159,033-872-006
160,016-161-018
161,117-130-034
162,111-210-039
163,092-221-001
164,132-030-12
165,023-411-025
166,083-330-009
167,030-402-002
168,026-084-011
169,117-220-032
170,094-274-006
171,033-222-017
172,034-372-003
173,1319-18-310-001
174,033-581-011
175,1319-30-532-014
176,021-331-024
177,034-181-002
178,016-532-026
179,130-333-03
180,016-563-004
181,034-691-004
182,093-081-010
183,1318-25-111-004
184,092-010-051
185,117-210-061
186,112-120-043
187,034-683-001
188,091-165-009
189,090-052-035
190,027-076-002
191,025-631-003
192,084-032-026
193,015-351-006
194,083-500-005
195,023-773-023
196,025-261-008
197,112-070-007
198,026-134-016
199,032-332-004
200,132-231-22
201,122-530-32
202,036-474-004
203,1418-10-801-011
204,098-240-002
205,033-821-010
206,1318-15-712-001
207,125-162-13
208,125-511-01
209,085-151-001
210,025-312-006
211,025-432-005
212,084-140-024
213,090-350-001
214,090-125-028
215,085-020-087
216,010-190-005
217,131-234-16
218,1418-27-210-028
219,022-032-002
220,124-062-10
221,1319-30-638-001
222,1318-22-001-009
223,083-076-004
224,023-211-015
225,023-103-023
226,015-201-014
227,131-234-13
228,1319-30-110-003
229,084-081-003
230,112-250-050
231,028-293-004
232,111-250-043
233,083-062-049
234,028-131-014
235,033-491-001
236,023-830-007
237,027-364-002
238,127-320-16
239,1318-23-218-022
240,026-147-005
241,122-201-19
242,111-270-001
243,033-842-011
244,015-034-003
245,026-122-007
246,027-082-017
247,007-021-16
248,033-371-020
249,132-340-06
250,094-536-002
251,085-344-006
252,036-562-009
253,090-282-016
254,090-102-035
255,090-311-012
256,128-032-08
257,031-193-020
258,031-134-017
259,125-431-15
260,029-630-011
261,090-067-030
262,1418-11-410-006
263,015-315-008
264,122-111-02
265,031-281-015
266,090-162-005
267,1418-34-211-011
268,1318-15-611-063
269,026-271-008
270,123-170-03
271,027-531-007
272,023-523-002
273,1319-30-617-002
274,033-362-005
275,127-300-50
276,090-202-017
277,031-075-003
278,098-350-009
279,018-030-011
280,1319-30-719-003
281,033-841-036
282,016-422-009
283,018-260-007
284,094-500-013
285,130-082-03
286,112-190-036
287,1319-30-529-001
288,131-021-16
289,033-711-002
290,132-211-05
291,112-090-007
292,085-173-010
293,098-132-001
294,016-531-004
295,092-180-060
296,034-431-004
297,125-173-11
298,130-201-04
299,026-221-038
300,117-080-026
301,090-211-016
302,025-462-009
303,126-271-12
304,097-140-036
305,098-312-003
306,126-172-03
307,1418-10-602-002
308,016-501-009
309,023-191-021
310,092-170-036
311,1418-27-810-051
312,111-240-006
313,098-177-005
314,023-181-025
315,098-138-001
316,033-523-011
317,031-254-030
318,132-222-04
319,1319-19-212-044
320,023-573-008
321,123-272-11
322,034-111-005
323,021-060-016
324,132-360-02
325,023-441-021
326,1319-18-214-011
327,027-221-039
328,035-294-011
329,022-291-018
