taz,hotelmotel,resort,casino,campground,percentHouseSeasonal
246,0,0,0,0.0,0.8113113002468589
249,45,0,0,0.0,0.6596636299789391
245,0,0,0,0.0,0.7582245561138052
250,0,0,0,79.0,0.6596348884381339
243,0,0,0,9.0,0.8108842414475371
242,0,0,0,0.0,0.7908440057102337
241,9,0,0,0.0,0.7907057131795808
240,0,0,0,0.0,0.8029815236464406
239,38,0,0,0.0,0.8053258624508757
238,0,0,0,0.0,0.8068177144173343
237,0,0,0,0.0,0.8068177144173343
236,0,0,0,0.0,0.8068177144173343
235,0,0,0,0.0,0.8068177144173343
234,0,0,0,0.0,0.8068177144173343
233,39,0,0,0.0,0.8068177144173343
386,0,0,0,0.0,0.7054223970859503
385,0,0,0,0.0,0.7054223970859503
369,21,0,0,0.0,0.7038916193844693
387,0,0,0,0.0,0.7062737701503875
391,0,0,0,0.0,0.7478750767702868
368,0,0,0,0.0,0.6941356494535433
392,0,0,0,0.0,0.7429061077126163
370,0,0,0,0.0,0.7124331447803978
374,0,0,0,0.0,0.8022143519131468
393,0,0,0,0.0,0.7314966794958869
383,0,0,0,0.0,0.6437411385864993
373,0,93,0,0.0,0.7085877130487204
382,0,0,0,0.0,0.6437411385864993
384,0,0,0,0.0,0.6437411385864993
366,0,0,0,0.0,0.6551210895331974
390,0,0,0,0.0,0.6437411385864993
371,0,0,0,0.0,0.7085877130487204
372,0,0,0,0.0,0.7085877130487205
381,0,0,0,0.0,0.6437411385864993
380,0,0,0,0.0,0.6437411385864993
389,0,0,0,0.0,0.5975946318515832
377,0,0,0,0.0,0.5207472509024114
394,0,0,0,0.0,0.731496679495887
378,0,0,0,0.0,0.23193904020752268
388,0,0,0,0.0,0.731496679495887
367,0,0,0,0.0,0.6552653741482874
379,0,0,0,0.0,0.23193904020752268
365,0,0,0,0.0,0.7470079011931081
362,16,0,0,0.0,0.7470079011931081
376,0,0,0,0.0,0.7335533008881189
375,0,0,0,0.0,0.7335533008881189
364,0,60,416,0.0,0.747007901193108
361,38,0,0,0.0,0.8297682923894997
363,0,0,48,0.0,0.7816607966388093
360,0,0,0,0.0,0.8297682923894997
395,0,0,0,0.0,0.731496679495887
359,0,0,0,0.0,0.6551210895331974
396,19,0,10,0.0,0.731496679495887
358,0,0,0,0.0,0.7562326280289513
397,0,0,0,0.0,0.731496679495887
357,0,0,0,0.0,0.0
356,0,0,0,0.0,0.0
355,0,0,0,0.0,0.0
353,0,0,0,0.0,0.6551210895331974
354,0,0,0,0.0,0.6551210895331974
352,0,0,0,0.0,0.6551210895331974
331,0,0,0,0.0,0.7638649801661553
335,0,0,0,0.0,0.7638649801661553
336,0,0,0,0.0,0.7638649801661553
247,0,0,0,0.0,0.8113113002468589
244,0,0,0,0.0,0.8113113002468589
