,APN
0,116-090-034
1,026-271-022
2,023-782-026
3,014-235-006
4,111-200-010
5,026-097-008
6,034-392-005
7,085-344-007
8,085-173-015
9,085-304-001
10,1318-15-802-006
11,111-100-013
12,117-080-053
13,115-050-022
14,127-361-27
15,034-704-026
16,090-212-041
17,112-270-051
18,097-161-005
19,1319-30-616-006
20,034-253-023
21,083-083-007
22,033-364-002
23,027-331-010
24,021-100-004
25,126-101-06
26,025-831-033
27,020-180-011
28,090-330-022
29,034-601-003
30,033-703-017
31,034-192-016
32,115-020-003
33,090-121-009
34,034-643-003
35,111-080-027
36,130-205-19
37,125-143-07
38,023-501-027
39,021-261-035
40,031-079-007
41,094-124-017
42,025-743-014
43,122-201-08
44,1319-18-412-014
45,033-694-006
46,034-703-001
47,026-081-023
48,029-414-015
49,031-195-017
50,110-051-046
51,093-230-029
52,112-172-016
53,031-361-006
54,122-213-02
55,015-351-035
56,030-521-025
57,092-021-001
58,022-061-035
59,1318-10-415-019
60,131-122-10
61,095-160-001
62,029-381-035
63,033-251-028
64,090-223-018
65,028-180-046
66,093-415-008
67,125-221-04
68,093-092-005
69,090-212-011
70,122-125-02
71,1318-23-810-037
72,023-562-021
73,129-071-04
74,1318-15-610-016
75,085-081-025
76,1418-15-110-006
77,122-213-09
78,131-070-20
79,115-010-008
80,081-074-011
81,033-631-016
82,028-190-029
83,125-163-23
84,014-292-006
85,032-201-023
86,124-062-07
87,091-220-003
88,025-311-002
89,026-075-016
90,094-171-002
91,021-261-001
92,031-174-017
93,123-250-05
94,124-020-00
95,033-301-003
96,097-151-008
97,090-103-023
98,090-330-005
99,036-573-022
100,092-053-016
101,022-231-028
102,111-240-004
103,093-300-015
104,022-321-012
105,023-625-009
106,125-173-12
107,125-131-33
108,016-151-035
109,125-154-02
110,033-353-021
111,090-124-024
112,112-120-072
113,124-032-25
114,112-080-010
115,083-330-029
116,1318-15-818-008
117,034-270-046
118,1319-18-414-003
119,080-102-005
120,126-241-01
121,032-411-067
122,025-642-001
123,015-154-024
124,026-152-007
125,080-183-012
126,031-275-003
127,034-133-007
128,125-051-10
129,025-401-009
130,094-540-014
131,081-074-002
132,016-051-048
133,093-230-042
134,025-374-012
135,025-755-013
136,083-076-003
137,034-333-001
138,016-081-006
139,1319-30-643-010
140,1418-10-702-010
141,1318-03-212-084
142,035-283-004
143,092-190-016
144,033-734-009
145,032-460-006
146,093-620-078
147,085-020-077
148,029-422-005
149,025-792-039
150,112-140-021
151,083-152-008
152,023-462-020
153,033-481-028
154,093-073-001
155,125-531-11
156,028-280-008
157,081-112-010
158,116-220-042
159,036-412-001
160,111-190-026
161,025-744-019
162,126-130-10
163,131-040-10
164,033-131-006
