FORECASTED_RESIDENTIAL_UNITS,Jurisdiction,Unit_Pool,Future_Units,Unit_Change,Future_Units_Adjusted,Future_Units_Adjusted_MF,Future_Units_Adjusted_SF,Future_Units_Adjusted_Infill,Difference
1162.0,,,,,,,,,
10.0,,,,,,,,,
24.0,,,,,,,,,
34.0,,,,,,,,,
52.0,,,,,,,,,
122.0,,,,,,,,,
175.0,,,,,,,,,
54.0,,,,,,,,,
10.0,,,,,,,,,
23.0,,,,,,,,,
3.0,,,,,,,,,
26.0,,,,,,,,,
24.0,,,,,,,,,
118.0,,,,,,,,,
34.0,,,,,,,,,
152.0,,,,,,,,,
4.0,,,,,,,,,
10.0,,,,,,,,,
14.0,,,,,,,,,
82.0,,,,,,,,,
132.0,,,,,,,,,
215.0,,,,,,,,,
216.0,,,,,,,,,
57.0,,,,,,,,,
134.0,,,,,,,,,
192.0,,,,,,,,,
471.0,,,,,,,,,
41.0,,,,,,,,,
512.0,,,,,,,,,
72.0,,,,,,,,,
48.0,,,,,,,,,
87.0,,,,,,,,,
29.0,,,,,,,,,
46.0,,,,,,,,,
