,APN
0,016-600-020
1,094-254-007
2,034-097-011
3,080-172-019
4,033-383-012
5,015-303-019
6,022-142-008
7,090-071-018
8,034-122-004
9,033-832-003
10,090-104-034
11,036-130-005
12,083-085-022
13,1318-09-810-101
14,093-130-018
15,127-075-02
16,015-351-035
17,1318-23-213-006
18,023-291-008
19,016-481-008
20,026-104-016
21,034-542-003
22,1418-10-602-001
23,083-390-011
24,035-271-027
25,033-703-002
26,036-451-006
27,112-140-008
28,015-211-010
29,129-280-07
30,1319-30-519-010
31,034-762-011
32,124-840-00
33,023-142-021
34,112-220-010
35,033-050-022
36,028-041-001
37,034-664-010
38,029-363-007
39,084-231-003
40,025-354-014
41,097-140-036
42,126-430-14
43,029-372-023
44,091-171-014
45,1319-30-712-009
46,125-503-12
47,122-115-06
48,028-141-040
49,025-206-001
50,1319-30-723-017
51,029-103-020
52,1319-30-612-000
53,125-830-01
54,025-765-002
55,097-242-005
56,128-032-10
57,122-214-08
58,090-067-016
59,132-063-31
60,014-234-012
61,094-254-002
62,122-510-57
63,091-164-018
64,031-224-015
65,034-152-024
66,126-430-27
67,123-272-13
68,092-082-007
69,112-220-036
70,093-241-012
71,124-072-02
72,080-174-006
73,016-483-006
74,025-764-005
75,112-120-055
76,127-076-14
77,1318-22-002-096
78,130-335-05
79,033-833-002
80,126-172-06
81,093-420-034
82,033-613-006
83,094-042-006
84,023-731-002
85,015-064-016
86,025-211-012
87,125-156-08
88,027-084-006
89,090-305-008
90,124-340-14
91,032-251-026
92,033-542-006
93,111-270-050
94,117-140-008
95,1418-34-111-010
96,123-271-17
97,031-276-001
98,030-361-032
99,094-252-023
100,029-660-002
101,083-091-016
102,129-022-09
103,025-763-008
104,033-434-006
105,1319-30-634-000
106,028-273-001
107,031-156-002
108,036-431-008
109,090-370-003
110,081-043-013
111,033-441-009
112,124-062-14
113,127-073-01
114,094-130-004
115,023-561-008
116,124-031-01
117,112-260-008
118,098-272-006
119,023-102-011
120,1319-30-723-019
121,097-050-051
122,091-200-004
123,083-410-018
124,1318-09-810-111
125,1319-30-644-050
126,034-121-030
127,029-372-025
128,125-522-01
129,111-070-003
130,025-226-005
131,026-038-018
132,032-440-006
133,080-133-004
134,085-252-008
135,126-293-31
136,025-682-002
137,021-090-001
138,028-153-024
139,030-521-028
140,031-195-018
141,025-764-027
142,112-240-052
143,016-191-014
144,031-192-009
145,029-163-004
146,016-401-012
147,026-251-015
148,1319-30-721-002
149,1319-30-532-006
150,095-100-011
151,034-784-002
152,094-480-005
153,022-431-003
154,031-030-039
155,093-230-022
156,016-282-007
157,117-210-077
158,097-050-030
159,026-252-011
160,093-480-026
161,085-081-005
162,033-675-001
163,092-090-042
164,031-191-006
165,033-684-001
166,111-110-056
167,131-228-06
168,014-310-009
169,098-043-003
170,034-401-025
171,094-124-017
172,125-353-04
173,123-281-06
174,091-220-026
175,083-310-006
176,122-192-08
177,027-631-026
178,092-215-003
179,112-110-007
180,131-180-02
181,034-020-029
182,083-410-004
183,033-354-006
184,034-531-011
185,1319-30-101-008
186,094-510-002
187,094-043-023
188,031-073-008
189,094-140-014
190,131-233-07
191,098-360-006
192,036-370-012
193,034-733-003
194,035-251-009
195,031-213-008
196,090-221-013
197,1318-15-814-000
198,023-850-015
199,033-362-026
200,031-321-033
201,081-085-018
202,123-190-34
203,029-630-007
204,084-032-009
205,097-242-007
206,126-152-34
207,098-210-039
208,022-171-013
209,115-030-032
210,027-331-014
211,018-130-028
212,131-132-01
213,090-101-026
214,015-031-005
215,022-281-019
216,016-091-049
217,015-391-001
218,023-142-002
219,020-160-003
220,014-190-010
221,094-340-015
222,025-554-008
223,032-390-019
224,036-544-003
225,084-151-015
226,028-154-003
227,131-140-01
228,130-221-11
229,029-604-007
230,1318-15-410-016
231,021-261-036
232,025-702-034
233,093-480-029
234,031-151-003
235,1418-15-110-019
236,097-071-004
237,033-372-015
238,025-611-008
239,027-162-003
240,112-160-014
241,1319-18-311-001
242,034-825-014
243,033-304-001
244,023-142-018
245,029-373-008
246,1318-15-814-006
247,033-792-002
248,025-813-023
249,1318-23-218-016
250,032-161-013
251,029-414-004
252,025-821-021
253,034-801-011
254,025-510-065
255,031-215-002
256,080-071-004
257,014-248-020
258,028-301-037
259,1319-30-516-016
260,023-241-055
261,1319-30-515-004
262,016-544-006
263,117-220-020
264,112-270-052
265,025-901-020
266,084-092-029
267,097-060-044
268,031-193-006
269,094-122-017
270,090-063-033
271,128-032-05
272,132-350-00
273,025-192-007
274,1318-15-821-000
275,084-074-012
276,030-352-015
277,032-142-007
278,090-291-010
279,022-171-072
280,015-252-001
281,036-200-002
282,083-162-019
283,032-279-012
284,022-195-029
285,122-530-32
286,097-245-028
287,033-363-020
288,1418-11-412-023
289,090-135-041
290,022-051-079
291,112-140-023
292,026-105-005
293,132-062-09
294,126-470-07
295,1318-15-820-010
296,1418-27-601-009
297,034-801-014
298,090-063-032
299,030-352-030
300,032-282-001
301,027-082-004
302,122-202-17
303,1319-30-612-006
304,111-180-026
305,098-350-004
306,1318-23-310-044
307,084-181-006
308,1319-30-520-009
309,023-442-002
310,124-921-13
311,031-094-024
312,097-151-001
313,083-062-033
314,1319-30-644-056
315,122-194-20
316,027-720-002
317,033-332-009
318,111-250-032
319,090-181-080
320,030-361-033
321,093-241-007
322,022-342-007
323,033-653-001
324,023-693-007
325,1319-30-634-003
326,028-272-003
327,015-032-020
328,023-102-053
329,034-584-004
330,033-632-012
331,123-102-17
332,1418-15-701-009
333,028-062-008
334,033-822-001
335,022-251-088
336,127-075-12
337,125-564-13
338,127-073-29
339,1418-34-110-034
340,116-030-047
341,1319-18-312-023
342,130-336-11
343,098-085-003
344,126-521-15
345,116-040-014
346,131-201-50
347,033-272-004
348,097-010-003
349,025-701-002
350,094-261-001
351,092-073-008
352,023-451-004
353,022-311-021
354,027-690-002
355,025-452-005
356,022-231-023
357,027-342-018
358,034-192-014
359,036-080-002
360,034-082-011
361,116-210-056
362,090-211-029
363,014-292-008
364,034-442-002
365,093-230-003
366,022-031-062
367,027-312-014
368,111-240-021
369,126-293-24
370,131-261-50
371,112-100-049
372,112-220-034
373,090-303-001
374,022-222-017
375,027-241-027
376,1418-34-210-025
377,030-541-022
378,027-461-004
379,131-201-22
380,035-212-009
381,127-131-16
382,1318-22-002-045
383,083-020-004
384,034-701-006
385,033-833-007
386,025-755-011
387,093-154-001
388,027-084-015
389,127-110-04
390,1318-23-213-001
391,016-541-002
392,130-340-01
393,023-172-001
394,033-413-027
395,131-013-20
396,034-453-006
397,083-410-027
398,117-170-007
399,035-142-014
400,016-361-004
401,090-135-014
402,1318-15-612-024
403,081-131-001
404,026-241-008
405,027-323-020
406,1418-10-701-001
407,092-032-004
408,130-163-09
409,023-101-015
410,034-542-005
411,093-101-002
412,023-784-007
413,127-362-10
414,127-320-08
415,025-321-001
416,117-210-003
417,022-023-001
418,093-160-047
419,016-201-003
420,091-165-001
421,1319-19-311-006
422,117-090-075
423,111-260-025
424,125-134-11
425,132-410-03
426,080-183-004
427,035-233-029
428,022-402-004
429,022-251-046
430,081-062-003
431,032-279-014
432,127-310-11
433,025-812-007
434,125-135-03
435,112-180-063
436,026-093-015
437,125-492-15
438,036-621-006
439,016-091-058
440,022-361-005
441,098-350-003
442,080-071-027
443,090-212-010
444,033-873-030
445,115-040-013
446,117-040-020
447,090-112-039
448,027-136-034
449,1319-19-717-001
450,025-395-007
451,028-070-028
452,032-411-077
453,029-710-012
454,126-120-05
