,APN
0,084-082-006
1,084-151-011
2,033-434-006
3,123-144-09
4,016-482-004
5,125-411-19
6,1318-03-111-056
7,084-025-016
8,028-301-014
9,124-031-11
10,1318-23-213-032
11,027-232-006
12,022-051-082
13,122-181-44
14,1319-30-514-021
15,027-740-002
16,033-524-009
17,031-077-006
18,034-802-005
19,116-220-017
20,092-024-003
21,035-134-007
22,1319-30-719-005
23,032-313-015
24,1318-15-711-010
25,034-010-023
26,090-172-027
27,036-622-003
28,030-300-001
29,122-460-14
30,023-471-021
31,015-301-029
32,125-431-05
33,117-220-041
34,027-134-026
35,1318-23-315-012
36,033-312-018
37,1319-30-717-001
38,023-840-002
39,034-202-008
40,028-152-024
41,023-472-003
42,115-030-026
43,083-262-009
44,016-081-012
45,083-110-012
46,030-280-001
47,093-490-034
48,031-085-007
49,093-220-025
50,028-141-035
51,027-112-008
52,083-400-009
53,025-831-035
54,025-812-013
55,015-202-018
56,094-400-002
57,025-191-005
58,093-416-019
59,025-633-007
60,034-097-017
61,022-061-057
62,111-270-036
63,090-064-027
64,1319-18-414-005
65,092-200-015
66,034-265-008
67,1318-24-411-015
68,026-141-016
69,093-120-022
70,023-601-022
71,036-401-001
72,025-352-017
73,085-241-001
74,126-293-20
75,034-572-007
76,1319-19-212-008
77,1319-30-542-013
78,033-504-007
79,030-361-029
80,034-161-016
81,094-032-013
82,1319-19-810-003
83,025-201-010
84,126-082-40
85,034-734-017
86,027-352-005
87,026-144-017
88,1418-10-702-003
89,034-122-005
90,025-882-002
91,025-051-022
92,125-134-15
93,016-600-001
94,085-321-002
95,015-331-012
96,132-560-30
97,035-133-013
98,115-040-012
99,033-792-002
100,028-280-008
101,117-080-035
102,025-670-030
103,1319-30-644-018
104,023-741-016
105,1319-30-719-012
106,034-501-008
107,123-145-20
108,026-154-027
109,132-053-19
110,031-145-004
111,026-074-021
112,125-010-16
113,022-210-032
114,023-502-029
115,094-536-014
116,022-271-007
117,027-111-011
118,036-100-005
119,027-233-011
120,1318-15-611-025
121,090-051-003
122,035-234-005
123,032-201-018
124,032-242-013
125,132-432-08
126,094-123-002
127,023-142-001
128,031-322-009
129,033-291-015
130,083-320-003
131,123-190-05
132,090-072-031
133,023-441-038
134,116-010-004
135,031-211-011
136,026-112-003
137,023-211-028
138,116-130-015
139,027-156-010
140,131-021-18
