,APN
0,1418-10-710-078
1,025-631-004
2,126-243-03
3,130-180-09
4,093-580-017
5,083-101-011
6,033-737-004
7,093-330-051
8,122-132-13
9,023-531-001
10,023-571-009
11,122-530-05
12,029-052-009
13,025-632-016
14,034-654-008
15,112-130-030
16,1318-10-310-042
17,031-115-017
18,131-233-24
19,036-572-008
20,1319-30-516-013
21,034-098-001
22,022-171-030
23,016-512-004
24,098-151-008
25,126-110-18
26,029-240-012
27,097-020-014
28,1319-30-715-002
29,112-130-031
30,127-280-01
31,026-221-005
32,033-691-005
33,027-142-027
34,129-640-01
35,1319-30-513-001
36,027-421-021
37,126-500-23
38,083-350-045
39,1319-30-532-016
40,032-050-053
41,027-621-036
42,112-180-004
43,131-080-05
44,036-412-001
45,036-041-005
46,016-535-009
47,094-060-010
48,032-510-014
49,125-223-02
50,090-410-006
51,027-132-023
52,031-163-002
53,026-066-014
54,033-211-006
55,083-085-002
56,1318-15-711-020
57,1319-19-310-033
58,127-530-04
59,035-286-010
60,035-120-001
61,035-285-011
62,034-161-044
63,036-462-010
64,035-030-018
65,022-251-015
66,110-051-035
67,1318-00-002-003
68,094-360-004
69,125-185-11
70,034-591-007
71,025-231-007
72,027-135-017
73,032-211-011
74,022-351-028
75,090-340-007
76,084-213-006
77,126-173-11
78,097-200-013
79,132-211-27
80,034-141-005
81,116-040-011
82,131-121-25
83,025-763-005
84,093-220-007
85,025-202-005
86,1318-22-316-006
87,033-466-016
88,025-374-012
89,094-140-033
90,122-100-21
91,131-140-14
92,1318-10-314-016
93,1318-23-810-013
94,034-722-030
95,1319-19-212-067
96,091-200-015
97,097-170-011
98,098-168-001
99,111-120-023
100,022-371-013
101,029-150-009
102,022-210-030
103,085-321-011
104,125-181-35
105,1319-18-310-024
106,025-644-008
107,025-203-001
108,027-363-003
109,125-163-09
110,1318-23-511-007
111,083-380-030
112,1318-15-611-016
113,015-102-031
114,027-652-001
115,026-134-005
116,035-172-003
117,026-038-024
118,116-210-086
119,1418-11-412-002
120,081-093-013
121,117-090-039
122,016-300-047
123,083-410-008
124,1318-03-111-024
125,085-213-003
126,093-550-029
127,029-620-003
128,112-150-005
129,122-530-08
130,098-271-008
131,031-145-009
132,034-721-001
133,016-161-023
134,028-100-031
135,090-380-027
136,022-182-045
137,131-080-29
138,1319-30-542-004
139,094-490-054
140,126-102-07
141,131-080-31
142,081-073-015
143,123-161-05
144,031-313-017
145,028-141-019
146,034-382-003
147,023-891-018
148,015-303-019
149,026-141-020
150,1319-30-631-022
151,029-062-032
152,126-450-07
153,033-413-021
154,083-244-002
155,027-133-020
156,022-431-001
157,036-370-022
158,1318-23-411-004
159,036-030-001
160,123-281-02
161,090-221-010
162,126-570-36
163,116-090-016
164,023-151-023
165,122-214-14
166,025-371-007
167,034-453-003
168,090-330-011
169,1318-09-810-037
170,026-092-035
171,022-321-004
172,122-211-47
173,026-142-007
174,080-071-025
175,116-020-036
176,098-177-006
177,116-110-019
178,034-513-010
179,025-392-002
180,097-245-025
181,034-343-008
182,030-363-017
183,033-631-016
184,036-573-020
