TAZ,adjusted_occupancy,adjusted_seasonal_rate,adjusted_high_income,adjusted_middle_income,adjusted_low_income
9,0.24378698224852072,0.6828402366863905,0.16019417475728157,0.24271844660194175,0.5970873786407767
10,0.24378698224852072,0.6828402366863905,0.16019417475728157,0.24271844660194175,0.5970873786407767
11,0.24378698224852072,0.6828402366863905,0.16019417475728157,0.24271844660194175,0.5970873786407767
12,0.5760223426259782,0.25649992802116756,0.36063670383501095,0.12936315110244004,0.510000145062549
13,0.575026117640183,0.40169569844292596,0.235929937845695,0.18041260568829265,0.5836574564660124
14,0.5369672372440485,0.36836253782266903,0.4622864061944631,0.1650793770408717,0.37263421676466524
15,0.5158227848101266,0.48417721518987344,0.2474437627811861,0.18200408997955012,0.5705521472392638
16,0.5158227848101266,0.48417721518987344,0.2474437627811861,0.18200408997955012,0.5705521472392638
17,0.0,0.0,0.0,0.0,0.0
18,0.5510791366906475,0.40431654676258993,0.2819843342036554,0.4073107049608355,0.31070496083550914
19,0.5412403331820402,0.42854393672234853,0.25538350179665487,0.32122048837729067,0.42339600982605446
20,0.5392491467576792,0.4334470989761092,0.25,0.3037974683544304,0.4462025316455696
21,0.5396233313540991,0.4325256946481877,0.25101166993831514,0.3070716096582826,0.44191672040340224
22,0.0,0.0,0.0,0.0,0.0
23,0.6050372135884383,0.3311728972873717,0.22087664693455325,0.20309789615417706,0.5760254569112697
24,0.6022833384326843,0.3488195644178477,0.19218668068256226,0.32843381120287773,0.4793795081145599
25,0.44815465729349735,0.4147627416520211,0.4235294117647059,0.10980392156862745,0.4666666666666667
26,0.6274205223183186,0.3108157613035869,0.46595170701954974,0.037229306572936924,0.49681898640751343
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0
33,0.5510791366906475,0.40431654676258993,0.2819843342036554,0.4073107049608355,0.31070496083550914
34,0.5661375025987412,0.35673009101208936,0.5174185342484063,0.08376645290151209,0.39881501285008153
35,0.44815465729349735,0.4147627416520211,0.4235294117647059,0.10980392156862745,0.4666666666666667
36,0.0,0.0,0.0,0.0,0.0
37,0.6377888845185758,0.28212294685523787,0.3883792984748779,0.16449426276188522,0.44712643876323677
38,0.564027288796864,0.34193247182229247,0.4117031362414785,0.14909570864620156,0.43920115511231994
39,0.48986331605143774,0.4363357472165716,0.36172973491318117,0.1755860525427499,0.46268421254406894
40,0.6568047337278107,0.3431952662721893,0.21021021021021022,0.26426426426426425,0.5255255255255256
41,0.6568047337278107,0.3431952662721893,0.21021021021021022,0.26426426426426425,0.5255255255255256
42,0.6111395848463128,0.37410402418621036,0.2431161135741519,0.32235498183672523,0.43452890458912286
43,0.7497229882297349,0.15609834825458657,0.27504362784401637,0.16585954109078704,0.5590968310651966
44,0.2780979827089337,0.7060518731988472,0.6528497409326425,0.15025906735751296,0.19689119170984457
45,0.27079975700590336,0.6677416674063639,0.6337536377368387,0.09787059007415656,0.26837577218900477
46,0.6106817670863309,0.3870925134892086,0.5868654267631993,0.24398137887444182,0.16915319436235882
47,0.6361627455359625,0.32396393007812113,0.3317144373673036,0.23749115357395614,0.4307944090587403
48,0.5538793103448276,0.44612068965517243,0.42412451361867703,0.1517509727626459,0.42412451361867703
49,0.6675211593339088,0.27507568895195916,0.24394610379579043,0.20880107274143744,0.5472528234627722
50,0.7955182072829131,0.13445378151260504,0.27816901408450706,0.09154929577464789,0.6302816901408451
51,0.5571116007536835,0.4194644934773432,0.368204653622422,0.309884540807333,0.32191080557024504
52,0.6209987366891642,0.37890578051509965,0.5855928029908928,0.2487855856355763,0.16562161137353099
53,0.27807676934137326,0.7059405189451066,0.6527942352970882,0.15010679253486922,0.19709897216804242
54,0.49725647808887774,0.5027435219111223,0.3649901783403467,0.14841194477313674,0.48659787688651657
55,0.0,0.0,0.0,0.0,0.0
56,0.8813559322033898,0.11864406779661017,0.12179487179487179,0.25,0.6282051282051282
57,0.8813559322033898,0.11864406779661017,0.12179487179487179,0.25,0.6282051282051282
58,0.8325838519624927,0.08411263242331203,0.18643772637618794,0.27472723686569844,0.5388350367581136
59,0.7729616502000536,0.17056405046336726,0.5068457468457469,0.22838013838013838,0.2647741147741148
60,0.7386018237082067,0.2006079027355623,0.15637860082304528,0.22633744855967078,0.6172839506172839
61,0.7386018237082067,0.2006079027355623,0.15637860082304528,0.22633744855967078,0.6172839506172839
62,0.7386018237082067,0.2006079027355623,0.15637860082304528,0.22633744855967078,0.6172839506172839
63,0.0,0.0,0.0,0.0,0.0
64,0.6189024390243902,0.38109756097560976,0.458128078817734,0.27586206896551724,0.2660098522167488
65,0.5317829457364341,0.4015503875968992,0.30612244897959184,0.13994169096209913,0.5539358600583091
66,0.5317829457364341,0.4015503875968992,0.30612244897959184,0.13994169096209913,0.5539358600583091
67,0.49385245901639346,0.47848360655737704,0.483402489626556,0.24273858921161826,0.27385892116182575
68,0.49385245901639346,0.47848360655737704,0.483402489626556,0.24273858921161826,0.27385892116182575
69,0.49385245901639346,0.47848360655737704,0.483402489626556,0.24273858921161826,0.27385892116182575
70,0.49385245901639346,0.47848360655737704,0.483402489626556,0.24273858921161826,0.27385892116182575
71,0.49385245901639346,0.47848360655737704,0.483402489626556,0.24273858921161826,0.27385892116182575
72,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0
