TAZ,adjusted_occupancy
9,0.24378698224852072
10,0.24378698224852072
11,0.24378698224852072
12,0.5760223426259782
13,0.575026117640183
14,0.5369672372440485
15,0.5158227848101266
16,0.5158227848101266
17,nan
18,0.5510791366906475
19,0.5412403331820402
20,0.5392491467576792
21,0.5396233313540991
22,nan
23,0.6050372135884383
24,0.6022833384326843
25,0.44815465729349735
26,0.6274205223183186
27,nan
28,nan
29,nan
30,nan
31,nan
32,nan
33,0.5510791366906475
34,0.5661375025987412
35,0.44815465729349735
36,nan
37,0.6377888845185758
38,0.564027288796864
39,0.48986331605143774
40,0.6568047337278107
41,0.6568047337278107
42,0.6111395848463128
43,0.7497229882297349
44,0.2780979827089337
45,0.27079975700590336
46,0.6106817670863309
47,0.6361627455359625
48,0.5538793103448276
49,0.6675211593339088
50,0.7955182072829131
51,0.5571116007536835
52,0.6209987366891642
53,0.27807676934137326
54,0.49725647808887774
55,nan
56,0.8813559322033898
57,0.8813559322033898
58,0.8325838519624927
59,0.7729616502000536
60,0.7386018237082067
61,0.7386018237082067
62,0.7386018237082067
63,nan
64,0.6189024390243902
65,0.5317829457364341
66,0.5317829457364341
67,0.49385245901639346
68,0.49385245901639346
69,0.49385245901639346
70,0.49385245901639346
71,0.49385245901639346
72,nan
73,nan
74,nan
75,0.4221650703931109
76,0.5103882738136537
77,0.6189024390243902
78,0.5250982564536469
79,0.5149321088759333
80,0.7386018237082067
81,nan
82,0.7407407407407407
83,0.7407407407407407
84,0.30179028132992325
85,0.5386208801143986
86,0.6189024390243902
87,0.6189024390243902
88,0.6189024390243902
89,0.4284023668639053
90,0.4284023668639053
91,0.4284023668639053
92,0.4284023668639053
93,0.4284023668639053
94,0.6699266503667481
95,0.5966598735165575
96,0.7462406015037594
97,0.7462406015037594
98,nan
99,0.5039713429049184
100,0.5633630192550352
101,nan
102,0.5059101654846335
103,0.13063063063063063
104,nan
105,nan
106,nan
107,0.04160559752965974
108,0.10184642668241177
109,0.13063063063063063
110,0.13063063063063063
111,0.09457578487770621
112,nan
113,nan
114,0.03019213174748399
115,0.03019213174748399
116,nan
117,0.03019213174748399
118,0.03019213174748399
119,nan
120,0.03019213174748399
121,0.03019213174748399
122,0.03019213174748399
123,nan
124,0.03019213174748399
125,0.03019213174748399
126,nan
127,nan
128,0.2845786963434022
129,0.2845786963434022
130,0.2845786963434022
131,0.2799616111689317
132,0.13063063063063063
133,0.14298808432630614
134,0.14298808432630614
135,0.14298808432630614
136,0.14298808432630614
137,0.14298808432630614
138,nan
139,0.15608333941349745
140,0.14298808432630614
141,0.24170616113744076
142,0.2408605913878191
143,0.16877577023257026
144,0.168141592920354
145,nan
146,nan
147,0.168141592920354
148,0.281
149,0.2804440472557653
150,nan
151,0.2816810323227262
152,0.332
153,0.30389257503949446
154,0.21794871794871795
155,0.2215128205128205
156,0.21794871794871795
157,0.3177435897435898
158,0.332
159,0.332
160,0.32976317364028757
161,0.332
162,0.3034871794871795
164,0.3409490333919156
165,nan
166,0.3036669702943062
167,0.20404040404040405
168,0.2183142267390943
169,0.25743522599443086
170,0.2509727626459144
171,0.2509727626459144
172,nan
173,0.2509727626459144
174,0.33175355450236965
175,0.2327511341696708
176,0.28356190016052685
177,0.22332233223322331
178,0.22332233223322331
179,0.2474805838268673
180,0.28761651131824234
181,0.2948045184716336
182,0.3050259965337955
183,0.3050259965337955
184,0.2944691810307473
185,nan
186,0.28761651131824234
187,nan
188,0.31372654645222253
189,0.5374421388623594
190,0.5772571286235314
191,0.5596620908130939
192,0.5596620908130939
200,nan
201,nan
202,nan
203,0.7381974248927039
204,nan
205,nan
206,0.9040178571428571
207,nan
208,0.7381974248927039
209,0.4317434210526316
210,0.4317434210526316
211,0.45031639098233295
212,0.7381974248927039
213,0.7381974248927039
214,0.7381974248927039
215,0.5424073668837688
216,0.4317434210526316
217,0.9040178571428571
218,0.4741721854304636
219,0.4741721854304636
220,0.5127811313431119
221,0.4741721854304636
222,0.4741721854304636
223,0.4751447617144202
224,0.5133531157270029
225,0.5133531157270029
226,nan
227,nan
228,nan
229,0.526579739217653
230,0.526579739217653
231,0.526579739217653
232,0.526579739217653
233,0.526579739217653
234,0.526579739217653
235,0.526579739217653
236,0.526579739217653
237,0.526579739217653
238,nan
240,0.526579739217653
241,0.526579739217653
242,0.526579739217653
243,0.526579739217653
244,nan
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,nan
253,nan
254,nan
258,0.4951830443159923
259,0.4961692253506537
260,0.4951830443159923
261,0.4951830443159923
262,0.2996688741721854
263,nan
264,0.3012241450630545
265,0.2996688741721854
266,0.496415770609319
267,0.496415770609319
268,0.49254442257779296
269,0.48673740053050396
270,0.5157660089213458
271,0.5201342281879194
272,0.5201342281879194
273,0.5201342281879194
274,0.6642260121932296
275,0.3844311377245509
276,0.3844311377245509
277,0.5223347312343953
278,0.7545087925134325
279,0.7245339520177668
280,0.7822299651567944
281,0.5098919272509927
282,0.4740024183796856
283,0.4740024183796856
284,nan
285,nan
286,0.6038882138517618
287,0.605472616974563
288,0.27843803056027167
289,0.41209711524914505
290,0.4740024183796856
291,0.6273416775789472
292,0.396036564895015
293,0.27843803056027167
294,0.27843803056027167
295,0.27843803056027167
296,0.27843803056027167
297,0.27843803056027167
