variable,Alternative_1_04282026_2035,Alternative_1_04282026_2050,Alternative_2_04242026_2035,Alternative_2_04242026_2050,Alternative_3_04242026_2035,Alternative_3_04242026_2050,diff_Alternative_2_04242026_vs_alt1_2050,diff_Alternative_3_04242026_vs_alt1_2050
total_residential_units,51062,54331,51511,54484,51062,54331,153,0
total_occ_units,24687,26603,25007,26862,25019,27489,259,886
occ_units_low_inc,10563,11507,10705,11368,10554,11296,-139,-211
occ_units_med_inc,4889,5159,4964,5386,5048,5758,227,599
occ_units_high_inc,9235,9937,9338,10108,9417,10435,171,498
total_persons,55588,57617,56289,58156,56340,59529,539,1912
emp_retail,3778,3855,3778,3855,3778,3855,0,0
emp_srvc,7632,7777,7632,7777,7632,7777,0,0
emp_rec,2286,2318,2286,2318,2286,2318,0,0
emp_game,2580,2598,2580,2598,2580,2598,0,0
emp_other,10874,11032,10874,11032,11050,11208,0,176
total_jobs,27150,27580,27150,27580,27326,27756,0,176
