variable,Alternative_1_2035,Alternative_1_2050,Alternative_2_2035,Alternative_2_2050,Alternative_3_2035,Alternative_3_2050,diff_Alternative_2_vs_alt1_2050,diff_Alternative_3_vs_alt1_2050
total_residential_units,51062,54197,51469,55435,51062,54197,1238,0
total_occ_units,24687,26507,24997,27750,25019,27393,1243,886
occ_units_low_inc,10563,11441,10721,11717,10554,11222,276,-219
occ_units_med_inc,4889,5142,4961,5589,5048,5761,447,619
occ_units_high_inc,9235,9924,9315,10444,9417,10410,520,486
total_persons,55588,57608,56281,60244,56340,59538,2636,1930
emp_retail,3778,3855,3778,3855,3778,3855,0,0
emp_srvc,7632,7777,7632,7777,7632,7777,0,0
emp_rec,2286,2318,2286,2318,2286,2318,0,0
emp_game,2580,2598,2580,2598,2580,2598,0,0
emp_other,10874,11032,11018,11422,10973,11302,390,270
total_jobs,27150,27580,27294,27970,27249,27850,390,270
