TAZ,tau_occupancy_rate,vhr_occupancy_rate
109.0,0.592337,0.5382725733333333
110.0,0.592337,0.5382725733333333
111.0,0.592337,0.5382725733333333
112.0,0.592337,0.5382725733333333
113.0,0.5923369999999999,0.5382725733333333
114.0,0.0,0.5382725733333333
115.0,0.592337,0.5382725733333333
118.0,0.592337,0.5382725733333333
119.0,0.592337,0.5382725733333333
121.0,0.0,0.5382725733333333
123.0,0.0,0.5382725733333333
124.0,0.592337,0.5382725733333333
125.0,0.5923369999999999,0.5382725733333333
126.0,0.0,0.5382725733333333
133.0,0.0,0.5382725733333333
134.0,0.0,0.5382725733333333
135.0,0.0,0.5382725733333333
137.0,0.592337,0.5382725733333333
138.0,0.592337,0.5382725733333333
139.0,0.592337,0.5382725733333333
140.0,0.0,0.5382725733333333
141.0,0.592337,0.5382725733333333
142.0,0.592337,0.5382725733333333
143.0,0.592337,0.5342747949425287
144.0,0.0,0.5382725733333333
145.0,0.0,0.5382725733333333
146.0,0.592337,0.5382725733333333
147.0,0.0,0.5382725733333333
148.0,0.592337,0.5382725733333333
149.0,0.592337,0.5382725733333333
150.0,0.592337,0.0
151.0,0.0,0.5382725733333333
152.0,0.0,0.5382725733333333
153.0,0.0,0.5382725733333333
154.0,0.592337,0.5382725733333333
156.0,0.0,0.5382725733333333
158.0,0.0,0.5382725733333333
159.0,0.592337,0.5382725733333333
160.0,0.592337,0.5382725733333333
161.0,0.592337,0.0
162.0,0.0,0.5382725733333333
165.0,0.0,0.42233699999999996
166.0,0.0,0.422337
167.0,0.0,0.422337
168.0,0.0,0.42233699999999996
169.0,0.0,0.422337
170.0,0.0,0.42233699999999996
171.0,0.0,0.422337
175.0,0.0,0.4223370000000001
176.0,0.0,0.422337
177.0,0.0,0.422337
178.0,0.0,0.422337
179.0,0.0,0.422337
182.0,0.0,0.422337
183.0,0.0,0.422337
185.0,0.0,0.422337
186.0,0.0,0.422337
187.0,0.0,0.422337
188.0,0.0,0.422337
190.0,0.0,0.422337
191.0,0.0,0.422337
192.0,0.0,0.422337
193.0,0.0,0.422337
194.0,0.0,0.422337
195.0,0.0,0.422337
196.0,0.0,0.422337
197.0,0.0,0.422337
199.0,0.0,0.422337
200.0,0.0,0.422337
202.0,0.0,0.422337
203.0,0.592337,0.422337
208.0,0.0,0.422337
211.0,0.0,0.422337
214.0,0.0,0.422337
215.0,0.0,0.422337
220.0,0.0,0.422337
221.0,0.0,0.422337
222.0,0.0,0.422337
224.0,0.0,0.422337
225.0,0.592337,0.422337
229.0,0.0,0.422337
230.0,0.0,0.422337
231.0,0.592337,0.422337
232.0,0.0,0.422337
233.0,0.592337,0.422337
234.0,0.0,0.422337
236.0,0.0,0.422337
237.0,0.0,0.422337
239.0,0.592337,0.422337
241.0,0.592337,0.422337
242.0,0.0,0.422337
243.0,0.0,0.422337
244.0,0.0,0.422337
247.0,0.0,0.422337
248.0,0.0,0.422337
249.0,0.592337,0.422337
251.0,0.0,0.422337
252.0,0.592337,0.422337
253.0,0.0,0.422337
254.0,0.0,0.422337
255.0,0.592337,0.422337
256.0,0.0,0.422337
257.0,0.592337,0.422337
260.0,0.0,0.422337
262.0,0.0,0.422337
264.0,0.0,0.422337
266.0,0.0,0.422337
267.0,0.0,0.422337
268.0,0.0,0.422337
269.0,0.0,0.422337
270.0,0.0,0.422337
271.0,0.0,0.422337
273.0,0.592337,0.422337
