TAZ,total_residential_units,occupied_units,occupancy_rate,seasonal_rate,household_size,high_income_proportion,middle_income_proportion,low_income_proportion,people,hotelmotel,casino,resort,campground,percentHouseSeasonal,tau_occupancy_rate,vhr_occupancy_rate,elementary_school_enrollment,middle_school_enrollment,high_school_enrollment,college_enrollment,emp_other,emp_rec,emp_retail,emp_srvc,emp_gaming
109,172.0,41.93136094674556,0.24378698224852072,0.9872392064086835,2.1565560929127483,0.16019417475728157,0.0,0.8398058252427184,90.42733193382782,1281.0,0.0,258.0,0.0,0.746563139520886,0.6068418486135978,0.5382725733333333,0,0,0,0,71.0,54.0,13.0,445.0,0.0
110,22.0,10.804029660699573,0.338408130965601,1.2647681170314171,2.3663015031445265,0.18485145121762783,0.061171868053703206,0.753976680728669,29.520505035188354,0.0,0.0,1291.0,0.0,0.8536162927202633,0.592337,0.5382725733333333,0,0,0,0,154.0,23.0,117.0,817.0,0.0
111,216.0,52.65798816568047,0.24378698224852072,0.9872392064086835,2.1565560929127483,0.16019417475728157,0.0,0.8398058252427184,113.55990521922563,327.0,0.0,364.0,0.0,0.746563139520886,0.592337,0.5382725733333333,0,0,0,0,88.0,4.0,73.0,251.0,0.0
112,1137.0,652.029734494627,0.5687899194032192,0.8345725035965784,2.4352987545031533,0.21118475917576404,0.21475207900239857,0.5740631618218375,1599.0255987217347,259.0,0.0,0.0,0.0,0.41882678041405275,0.592337,0.5382725733333333,0,0,0,0,23.0,7.0,0.0,136.0,0.0
113,435.0,250.4477553266766,0.5620063399539078,1.5199438905370828,2.7201856151413186,0.21328164625220516,0.1807011598800368,0.6060171938677581,671.9368744794922,464.0,0.0,0.0,0.0,0.710343056031507,0.5923369999999999,0.5382725733333333,0,0,0,0,40.0,3.0,79.0,86.0,0.0
114,309.0,165.92694534393092,0.5365767649153438,1.294106261617989,2.6734313608789084,0.45727973395206795,0.027364082440350258,0.5153561836075817,443.2890623292523,0.0,0.0,0.0,0.0,0.5952773761441604,0.0,0.5382725733333333,0,0,0,0,18.0,0.0,0.0,24.0,0.0
115,284.0,146.49367088607593,0.5158227848101266,1.7851348244490426,2.7595741473291096,0.2310838445807771,0.17586912065439672,0.5930470347648262,404.2601469245542,160.0,0.0,0.0,0.0,0.8643216080402011,0.592337,0.5382725733333333,0,0,0,0,101.0,0.0,0.0,0.0,0.0
116,4.0,2.0632911392405062,0.5158227848101266,1.7851348244490426,2.7595741473291096,0.2310838445807771,0.17586912065439672,0.5930470347648262,5.693804886261327,0.0,0.0,0.0,0.0,0.8643216080402011,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.5171527982206522,1.742445949010406,2.659071138259716,0.23733706161401166,0.1728751681800386,0.5897877702059499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,441.0,7.0,124.0,0.0
118,314.0,173.0388489208633,0.5510791366906475,1.8061373895146506,2.8106773722796485,0.2454308093994778,0.381201044386423,0.3733681462140992,486.35637718718715,200.0,0.0,50.0,0.0,0.8108127561562172,0.592337,0.5382725733333333,0,0,0,0,70.0,154.0,51.0,350.0,0.0
119,133.0,71.9212463476318,0.5422521442022019,1.8379352625362526,2.2844713959812517,0.18272523077940006,0.29747235858962073,0.5198024106309792,158.0335810772478,0.0,0.0,326.0,0.0,0.8465737333757208,0.592337,0.5382725733333333,0,0,0,0,62.0,56.0,30.0,176.0,0.0
