TAZ,total_residential_units,occupied_units,occupancy_rate,seasonal_rate,household_size,high_income_proportion,middle_income_proportion,low_income_proportion,people
142.0,969,844,0.68390470656595,0.8474264705882353,0.0,0.19541206457094307,0.19626168224299065,0.6083262531860663,0
143.0,559,462,0.68390470656595,0.8474264705882353,0.0,0.19541206457094307,0.19626168224299065,0.6083262531860663,0
144.0,275,0,0.2780979827089337,0.9780439121756487,2.432513507645659,0.6217616580310881,0.11917098445595854,0.25906735751295334,0
145.0,730,0,0.2780979827089337,0.9780439121756487,2.432513507645659,0.621761658031088,0.11917098445595854,0.25906735751295334,0
146.0,259,0,0.0,0.0,0.0,0.0,0.0,0.0,0
147.0,631,0,0.0,0.0,0.0,0.0,0.0,0.0,0
148.0,527,0,0.0,0.0,0.0,0.0,0.0,0.0,0
149.0,288,0,0.0,0.0,0.0,0.0,0.0,0.0,0
150.0,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0
151.0,129,0,0.0,0.0,0.0,0.0,0.0,0.0,0
152.0,170,0,0.2780979827089337,0.9780439121756487,2.432513507645659,0.6217616580310881,0.11917098445595854,0.25906735751295334,0
153.0,361,3,0.2780979827089337,0.9780439121756487,2.432513507645659,0.6217616580310881,0.11917098445595854,0.25906735751295334,4
154.0,672,0,0.0,0.0,0.0,0.0,0.0,0.0,0
155.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
156.0,370,0,0.0,0.0,0.0,0.0,0.0,0.0,0
157.0,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0
158.0,510,0,0.0,0.0,0.0,0.0,0.0,0.0,0
159.0,584,0,0.0,0.0,0.0,0.0,0.0,0.0,0
160.0,568,422,0.7386018237082067,0.7674418604651163,1.7783922282787594,0.037037037037037035,0.345679012345679,0.6172839506172839,740
161.0,19,13,0.7386018237082068,0.7674418604651163,1.7783922282787596,0.037037037037037035,0.345679012345679,0.617283950617284,25
162.0,298,237,0.7386018237082067,0.7674418604651163,1.7783922282787594,0.037037037037037035,0.345679012345679,0.6172839506172839,366
163.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
164.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
165.0,375,0,0.0,0.0,0.0,0.0,0.0,0.0,0
166.0,244,0,0.0,0.0,0.0,0.0,0.0,0.0,0
167.0,239,0,0.0,0.0,0.0,0.0,0.0,0.0,0
168.0,143,0,0.0,0.0,0.0,0.0,0.0,0.0,0
169.0,62,0,0.0,0.0,0.0,0.0,0.0,0.0,0
170.0,194,0,0.0,0.0,0.0,0.0,0.0,0.0,0
171.0,67,0,0.0,0.0,0.0,0.0,0.0,0.0,0
172.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
173.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
174.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
175.0,950,380,0.5024630541871922,0.9141914191419142,2.4222928626555515,0.43790849673202614,0.27124183006535946,0.2908496732026144,380
176.0,295,190,0.5034808937109897,0.913558877940721,2.419517428886686,0.43618060250920293,0.27156267998898154,0.2922567175018156,190
177.0,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0
178.0,418,0,0.0,0.0,0.0,0.0,0.0,0.0,0
179.0,338,0,0.0,0.0,0.0,0.0,0.0,0.0,0
180.0,1,1,0.7386018237082067,0.7674418604651163,1.7783922282787594,0.037037037037037035,0.345679012345679,0.6172839506172839,1
181.0,0,0,0.7386018237082067,0.7674418604651163,1.7783922282787594,0.03703703703703704,0.345679012345679,0.6172839506172839,0
182.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0
183.0,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0
184.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
