TAZ,Residential_Units,OccupiedUnits,SeasonalUnits,People,People_raw,LowUnits,MediumUnits,HighUnits
109,172,42,90.54595660749509,90,88.47517159763314,35,0,7
110,22,11,8.022836425153757,30,28.883211444835595,7,2,2
111,216,53,113.70887573964498,114,111.10835502958581,44,0,8
112,1137,652,175.48088991810866,1599,1564.5055671822795,383,130,139
113,435,250,123.30302684206002,672,657.4309890714679,155,46,49
114,309,166,52.09815075314388,443,433.71926405652044,85,4,77
115,284,146,98.97366579734114,404,395.5329113924051,87,26,34
116,4,2,1.3939952929202977,6,5.5708860759493675,1,0,0
117,0,0,0.0,0,0.0,0,0,0
118,314,173,98.74931906522339,486,475.8568345323741,65,66,42
119,133,72,45.31072795334021,158,154.62192574950282,39,20,12
120,24,13,8.268502187507158,27,26.660477815699664,7,3,2
121,418,226,143.61932201879446,480,469.59664227662245,127,61,37
122,0,0,0.0,0,0.0,0,0,0
123,587,357,123.22547508776644,935,915.1393329856638,234,63,60
124,368,222,99.94471434004532,769,752.7031771791868,131,71,20
125,285,128,82.17907948403356,369,361.4591388400703,60,26,43
126,296,185,66.2712213676469,452,442.57932721979626,94,12,79
127,10,5,3.445209244794649,11,11.108532423208192,3,1,1
128,0,0,0.0,0,0.0,0,0,0
129,0,0,0.0,0,0.0,0,0,0
130,0,0,0.0,0,0.0,0,0,0
131,41,22,14.125357903658061,47,45.54498293515359,13,6,4
132,0,0,0.0,0,0.0,0,0,0
133,118,65,37.10961671877822,183,178.8251798561151,24,25,16
134,382,216,102.17904841293019,551,539.0099464993589,89,26,101
135,135,61,38.92693238717379,175,171.21748681898066,28,12,20
136,0,0,0.0,0,0.0,0,0,0
137,396,254,61.50574732999392,507,496.38017063682287,116,53,85
138,703,393,159.61943541392498,807,789.7972013910137,181,73,139
139,561,275,193.0242854678557,542,530.226649748254,143,52,80
140,154,101,40.43748367386341,230,224.54840236686394,56,42,2
141,367,241,96.36725005394722,547,535.1250887573965,135,101,6
142,969,590,309.2057387305532,1642,1606.3220971012609,333,144,114
143,559,419,55.670106645253675,898,878.4666885865272,270,56,94
144,275,76,132.961257610886,186,182.01512968299713,20,9,48
145,730,198,346.3147873427959,460,449.59075172599677,58,40,100
146,259,158,79.29193245052198,355,347.4619701162148,49,26,83
147,631,401,165.3921904984022,984,962.8748436674382,203,92,106
148,527,292,196.10560344827582,433,423.246875,128,99,65
149,288,191,65.07121893556136,476,465.3734872206143,112,46,33
150,46,37,4.854753467652122,84,82.33613445378151,23,7,7
151,129,72,43.72345247195901,183,179.45965528247686,29,19,24
152,170,105,51.26681207356624,237,231.61297716692533,32,17,55
153,361,100,174.53241478751247,244,238.88839475048204,26,12,62
154,672,333,275.7606116406357,621,607.334004183195,206,46,82
155,0,0,0.0,0,0.0,0,0,0
156,370,326,29.968893320039886,743,727.206779661017,205,85,37
157,29,26,2.348913260219342,58,56.997288135593216,16,7,3
158,510,425,38.472357359577465,1011,989.0649212513484,328,18,79
159,584,450,76.91592865066904,1052,1029.4259374325782,179,143,128
160,568,420,80.60894563867525,746,729.9749544072948,259,145,16
161,19,14,2.696425998476813,25,24.418176291793312,9,5,1
