taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,219.0,0.31004566210045664,68,47,3,18,2.002399732150714,136,15,497,60,0,79
110,73.0,0.39520547945205475,29,8,1,20,2.1971519830419433,64,117,823,23,0,156
111,250.0,0.2662,67,47,1,19,2.002399732150714,134,73,251,4,0,88
112,1217.0,0.5796631059983567,705,383,145,177,2.2612171275070914,1594,0,149,7,0,25
113,539.0,0.6382189239332097,344,228,46,70,2.5257395182345377,869,85,92,3,0,44
114,332.0,0.5325301204819277,177,89,6,82,2.4823273823204155,439,0,24,0,0,18
115,313.0,0.5241214057507988,164,93,28,43,2.562312453462999,420,0,0,0,0,101
116,4.0,0.5,2,2,0,0,2.562312453462999,5,0,0,0,0,0
117,0.0,0.0,0,0,0,0,2.468993666577618,0,7,124,441,0,0
118,314.0,0.5509554140127388,173,65,66,42,2.6097626840826837,451,51,350,154,0,70
119,166.0,0.5894578313253012,98,47,23,28,2.121171309409526,208,30,176,56,0,62
120,68.0,0.4227941176470588,29,8,4,17,1.9644395476549656,57,0,121,16,0,231
121,425.0,0.5444705882352942,231,127,63,41,1.9819684920732081,458,0,8,0,0,3
122,2.0,0.35,1,0,0,1,2.6097626840826837,3,0,0,0,0,0
123,618.0,0.6043689320388349,374,213,78,83,2.457649690678103,919,0,2,0,0,19
124,382.0,0.6078534031413613,232,136,72,24,3.23581372684333,751,12,90,6,0,61
125,309.0,0.46245954692556634,143,66,28,49,2.6856830530741806,384,0,6,0,0,5
126,317.0,0.6170347003154574,196,107,12,77,2.2740583858113115,446,0,0,0,0,62
127,10.0,0.5,5,3,1,1,1.9549495015310285,10,0,0,0,0,207
128,0.0,0.0,0,0,0,0,1.9549495015310285,0,71,0,0,0,119
129,0.0,0.0,0,0,0,0,1.9549495015310285,0,0,0,0,0,0
130,0.0,0.0,0,0,0,0,2.6097626840826837,0,0,0,0,0,8
131,62.0,0.6935483870967742,43,33,6,4,1.9549495015310285,84,0,0,0,0,375
132,0.0,0.0,0,0,0,0,1.9549495015310285,0,0,0,0,0,0
133,118.0,0.5508474576271186,65,24,25,16,2.6097626840826837,170,0,0,0,0,5
134,400.0,0.563375,225,93,29,103,2.394294590441734,539,0,0,0,0,0
135,148.0,0.4543918918918919,67,31,12,24,2.6856830530741806,180,0,0,0,0,0
136,0.0,0.0,0,0,0,0,2.6610089331519444,0,0,0,0,0,0
137,410.0,0.6473170731707316,265,117,50,98,1.9318175141039327,512,0,14,0,0,6
138,715.0,0.5627972027972028,402,180,68,154,1.9557348846585265,786,7,141,12,0,52
139,568.0,0.49313380281690145,280,142,53,85,1.8573711559893595,520,3,22,0,0,102
140,192.0,0.6986979166666667,134,82,44,8,2.1018843682126644,282,15,42,6,0,16
141,401.0,0.6463840399002494,259,136,103,20,2.1067902395140217,546,25,58,0,0,54
142,1019.0,0.6233071638861629,635,343,154,138,2.66878471141786,1695,26,61,1,0,62
143,562.0,0.7508896797153025,422,256,60,106,2.0102294271517662,848,13,91,4,0,63
144,283.0,0.27844522968197877,79,20,9,50,2.255718191062934,178,1,1,43,0,66
145,755.0,0.28344370860927154,214,66,42,106,2.1580763417953506,462,0,0,0,0,4
146,265.0,0.6115094339622642,162,51,27,84,2.0908548703975773,339,0,12,9,0,9
147,653.0,0.6326952526799388,413,201,97,115,2.3088819953681763,954,0,3,0,0,99
148,539.0,0.5538033395176253,298,129,99,70,1.3760566879708698,410,24,10,0,0,15
